feature,sample_i_calib_n,run64_n,sample_i_calib_mean,run64_mean,standardized_mean_diff_sample_i_minus_run64,median_delta_sample_i_minus_run64,ks_distance
cfd50,245983,14590,4.645580862135869,5.35157540757375,-0.3908388588678671,-0.8527202606201172,0.48584712345075126
cfd30,245983,14590,4.267711698464931,4.908292638242368,-0.36098040510362245,-0.763253927230835,0.48019319511587305
cfd20,245983,14590,4.0442230980566025,4.650705476409569,-0.3459335365467111,-0.5808460712432861,0.4716234629375038
peak_sample,248745,14630,6.148107499648234,7.2122351332877646,-0.5190013306580616,-1.0,0.46608348069990785
cfd10,245983,14590,3.7403107563327347,4.315332722637581,-0.3340401901822699,-0.7131967544555664,0.4514092451214128
inv_sqrt_amp,248745,14630,0.014763435018624855,0.018638934480375284,-0.8392047370620012,-0.004738026768552821,0.4364442708136472
inv_amp,248745,14630,0.00023782811785513457,0.0003701921293330913,-0.7301689290174741,-0.0001470367857393672,0.4364442708136472
log_amp2,248745,14630,72.61394948269663,64.71162521564266,0.9506610647156851,10.28556925141325,0.4364442708136471
log_amp,248745,14630,8.505483719098825,8.02860848493868,0.9318435319945672,0.615514128646355,0.4364442708136471
rise_10_50,245983,14590,0.9052701058031346,1.03624268493617,-0.3054665225965828,-0.10314226150512695,0.3292247623714346
rise_20_50,245983,14590,0.6013577640792663,0.7008699311641816,-0.2868934462700215,-0.10705423355102539,0.30264712258808946
area_over_amp,248745,14630,7.1336788069999235,6.8849634201552155,0.05520783269038776,0.5759286402960084,0.22804533302633767
peak_to_area,248745,14630,31642.986071786683,33492.97780163025,-0.010422286177906378,-0.009456898302765152,0.22804533302633767
late_over_total,248745,14630,-424288.1588439599,-329706.11559738993,-0.03932013567185136,-0.017702966928482056,0.19780677950680836
tail_mean_8_17,248745,14630,0.45631138009552163,0.4792513540732751,-0.0611361164077415,-0.028149843215942383,0.15323198052308717
tail_area_10_17,248745,14630,3.2471481306082146,3.2146127488374994,0.01012255243389406,0.14723467826843262,0.10823600503234365
width_half,239226,13819,7.985648407052425,7.745735045993404,0.13312528875357138,0.28960657119750977,0.10149150341931745
