family,feature,n,mean,std,q10,q25,median,q75,q90
sample_i_calib,log_amp,248745,8.505483719098825,0.5202857629164731,7.722234744709607,8.215817791832453,8.663023639627777,8.901298460402993,9.032170186304704
sample_i_calib,log_amp2,248745,72.61394948269663,8.557909808882789,59.63290945240025,67.49966198859069,75.0479785807497,79.23311428117269,81.58009827437155
sample_i_calib,inv_sqrt_amp,248745,0.014763435018624855,0.004457486307741036,0.010931736736165652,0.011670987352732655,0.01314765557117125,0.01644212078889967,0.0210444718698259
sample_i_calib,inv_amp,248745,0.00023782811785513457,0.00016684861524432092,0.00011950286806883365,0.0001362119457876456,0.00017286084701815038,0.0002703433360367667,0.0004428697962798937
sample_i_calib,area_over_amp,248745,7.1336788069999235,4.993407218594806,6.641273850748178,7.44905273937532,8.097144630664184,8.629390018484289,8.963237517447807
sample_i_calib,peak_sample,248745,6.148107499648234,1.8083204587068857,5.0,6.0,6.0,6.0,7.0
sample_i_calib,cfd10,245983,3.7403107563327347,1.4373996449753768,3.0386838912963867,3.20523738861084,3.5610110759735107,4.0672571659088135,4.368270492553712
sample_i_calib,cfd20,245983,4.0442230980566025,1.4606710375214929,3.2154619216918947,3.4652984142303467,4.03662109375,4.261082410812378,4.770418930053711
sample_i_calib,cfd30,245983,4.267711698464931,1.4759609335220287,3.3897828102111816,3.7269983291625977,4.19580078125,4.456910848617554,5.07770938873291
sample_i_calib,cfd50,245983,4.645580862135869,1.5056350204556128,3.7402365684509276,4.1715898513793945,4.512461185455322,4.857406854629517,5.436862182617188
sample_i_calib,rise_10_50,245983,0.9052701058031346,0.3398939941149729,0.6591734886169434,0.7610024213790894,0.9263556003570557,1.0018796920776367,1.1172723293304443
sample_i_calib,rise_20_50,245983,0.6013577640792663,0.2739883119854272,0.4514895439147949,0.4857945442199707,0.5907270908355713,0.6861424446105957,0.7609838485717774
sample_i_calib,width_half,239226,7.985648407052425,1.9470809083746026,6.2044148445129395,7.12700629234314,7.79131555557251,9.19091510772705,10.693403482437134
sample_i_calib,tail_mean_8_17,248745,0.45631138009552163,0.4046049066461141,0.41448052525520324,0.47186174988746643,0.5271121859550476,0.5814406275749207,0.623619568347931
sample_i_calib,tail_area_10_17,248745,3.2471481306082146,3.448683455899608,2.586500358581543,3.381887197494507,3.8917136192321777,4.331836223602295,4.65675048828125
sample_i_calib,late_over_total,248745,-424288.1588439599,2719819.511082512,0.3608085930347443,0.44549885392189026,0.48037683963775635,0.5111896395683289,0.5468882203102112
sample_i_calib,peak_to_area,248745,31642.986071786683,175047.68410466,0.1115668304062459,0.1158830459462354,0.12350032580781171,0.134245257080011,0.1505735228668705
run64,log_amp,14630,8.02860848493868,0.5030788312805996,7.315218389752975,7.691428486241453,8.047509510981422,8.370865963433825,8.705612779066742
run64,log_amp2,14630,64.71162521564266,8.059521645503704,53.5124200897801,59.15807215896648,64.76240932933645,70.07139704060462,75.78769386892631
run64,inv_sqrt_amp,14630,0.018638934480375284,0.00477323874367994,0.012870641831001412,0.015215616551228196,0.017885682339724072,0.02137113192473047,0.0257941077511379
run64,inv_amp,14630,0.0003701921293330913,0.00019464175147717832,0.00016565342155087424,0.00023151499067104164,0.0003198976327575176,0.00045672527974423386,0.0006653359946773121
run64,area_over_amp,14630,6.8849634201552155,3.956927191644632,5.45601199776665,7.007963849395683,7.521215990368176,8.429289808357844,8.871956418244562
run64,peak_sample,14630,7.2122351332877646,2.266658505988483,5.0,6.0,7.0,8.0,9.0
run64,cfd10,14590,4.315332722637581,1.9647964314909574,2.045234274864197,3.972477078437805,4.274207830429077,4.670347213745117,5.159213209152222
run64,cfd20,14590,4.650705476409569,2.0034201718560642,2.263489317893982,4.189217805862427,4.617467164993286,5.107226490974426,5.444393682479858
run64,cfd30,14590,4.908292638242368,2.029693795243027,2.4875627040863035,4.380712270736694,4.959054708480835,5.320099949836731,5.73432731628418
run64,cfd50,14590,5.35157540757375,2.063713906848222,2.9749653577804565,4.772588610649109,5.3651814460754395,5.7696720361709595,6.253385448455811
run64,rise_10_50,14590,1.03624268493617,0.5021419870462536,0.6919870853424073,0.9036611318588257,1.0294978618621826,1.1412973403930664,1.2287513732910156
run64,rise_20_50,14590,0.7008699311641816,0.4068852484987464,0.4649993419647217,0.5746263265609741,0.6977813243865967,0.7784231901168823,0.8351675033569336
run64,width_half,13819,7.745735045993404,1.644522121319202,6.626058578491211,7.039928078651428,7.501708984375,8.497895956039429,9.899782371520999
run64,tail_mean_8_17,14630,0.4792513540732751,0.3433464134953636,0.2821096062660217,0.4910881593823433,0.55526202917099,0.6198470592498779,0.6622636020183563
run64,tail_area_10_17,14630,3.2146127488374994,2.9610939351961623,1.662234687805176,3.1235843300819397,3.744478940963745,4.528755187988281,4.95735034942627
run64,late_over_total,14630,-329706.11559738993,2043237.6299669761,0.2625774174928665,0.4327204301953316,0.4980798065662384,0.5486773103475571,0.5955952703952789
run64,peak_to_area,14630,33492.97780163025,179925.6963419978,0.1127147105846761,0.11863395644666404,0.13295722411057687,0.1426948000154044,0.18328405445589022
