fold,method,test_low_runs,test_high_runs,n_test_pulses,score_high_over_low,score_high_over_low_ci_low,score_high_over_low_ci_high,heldout_current_auc,heldout_current_auc_ci_low,heldout_current_auc_ci_high
A_to_B,traditional_single_shape,47,52 53 54 55 56 57,22970,1.0782546625341107,1.0430071451920866,1.10820652206294,0.5545104637516983,0.5163015788229858,0.5963800329416017
A_to_B,cwola_rf_shape,47,52 53 54 55 56 57,22970,1.2232811634501628,1.1744970037406053,1.2585552187332845,0.6685606186811194,0.6573338112106883,0.6771632240852791
A_to_B,shuffled_label_rf,47,52 53 54 55 56 57,22970,1.0114923817293082,1.0056128201347458,1.018072292819732,0.5341337094582838,0.517951006847807,0.5519672022114537
A_to_B,traditional_downstream_topology,47,52 53 54 55 56 57,21125,1.1882351495288817,1.0187892980023623,1.3985760946363324,,,
B_to_A,traditional_single_shape,46,44 45 48 49 50 51,20433,0.9986510727629395,0.9975100316379852,0.9997758257235062,0.5887001822711758,0.568966116865504,0.6111120753546988
B_to_A,cwola_rf_shape,46,44 45 48 49 50 51,20433,1.2335862867799794,1.2013953440459422,1.2604985209749817,0.673696520777484,0.6497767684735599,0.6959811211227203
B_to_A,shuffled_label_rf,46,44 45 48 49 50 51,20433,1.033520135215809,1.0223948318700495,1.0457061565038253,0.5919752177250794,0.5575576057909545,0.6339959612486963
B_to_A,traditional_downstream_topology,46,44 45 48 49 50 51,18521,2.6885108201870795,2.192782729760438,3.5653486272023365,,,
