run,stave,current_group,selected_pulses
44,B2,high_20nA,1884
44,B4,high_20nA,93
44,B6,high_20nA,44
44,B8,high_20nA,17
45,B2,high_20nA,22786
45,B4,high_20nA,969
45,B6,high_20nA,401
45,B8,high_20nA,177
46,B2,low_2nA,675
46,B4,low_2nA,7
46,B6,low_2nA,3
46,B8,low_2nA,2
47,B2,low_2nA,5116
47,B4,low_2nA,85
47,B6,low_2nA,50
47,B8,low_2nA,25
48,B2,high_20nA,13044
48,B4,high_20nA,599
48,B6,high_20nA,245
48,B8,high_20nA,112
49,B2,high_20nA,13779
49,B4,high_20nA,640
49,B6,high_20nA,281
49,B8,high_20nA,115
50,B2,high_20nA,34088
50,B4,high_20nA,659
50,B6,high_20nA,330
50,B8,high_20nA,140
51,B2,high_20nA,14200
51,B4,high_20nA,303
51,B6,high_20nA,177
51,B8,high_20nA,60
52,B2,high_20nA,6893
52,B4,high_20nA,148
52,B6,high_20nA,76
52,B8,high_20nA,35
53,B2,high_20nA,31225
53,B4,high_20nA,559
53,B6,high_20nA,296
53,B8,high_20nA,120
54,B2,high_20nA,29493
54,B4,high_20nA,536
54,B6,high_20nA,298
54,B8,high_20nA,113
55,B2,high_20nA,16735
55,B4,high_20nA,372
55,B6,high_20nA,199
55,B8,high_20nA,81
56,B2,high_20nA,38730
56,B4,high_20nA,825
56,B6,high_20nA,421
56,B8,high_20nA,172
57,B2,high_20nA,12774
57,B4,high_20nA,656
57,B6,high_20nA,273
57,B8,high_20nA,130
