group,runs,current_nA,n_selected_pulses,ml_score_mean,ml_score_median
low_2nA,46 47,2.0,5963,0.12134916220396706,0.05507122053016771
high_20nA,44 45 48 49 50 51 52 53 54 55 56 57,20.0,246303,0.15739906113203156,0.08800302391678966
