method,heldout_run,threshold,clean_efficiency,gross_rejection,n_clean,n_gross
transparent P02 morphology,58,6.838838357588356,1.0,,9,0
transparent P02 morphology,59,7.029772670084726,0.978494623655914,0.0,93,5
transparent P02 morphology,60,6.729081889712787,0.9302325581395349,0.0,129,6
transparent P02 morphology,61,6.753237875543585,0.9431818181818182,0.0,176,8
transparent P02 morphology,62,6.840725051975051,0.954954954954955,1.0,111,1
transparent P02 morphology,63,6.846385135135134,0.9649122807017544,0.0,57,2
transparent P02 morphology,65,6.8341216216216205,1.0,,4,0
shape-only RF morphology,58,0.2620533700020673,0.8888888888888888,,9,0
shape-only RF morphology,59,0.2621599045223578,0.946236559139785,0.8,93,5
shape-only RF morphology,60,0.25227482650414634,0.9224806201550387,1.0,129,6
shape-only RF morphology,61,0.27373015989929345,0.9772727272727273,1.0,176,8
shape-only RF morphology,62,0.264586421886902,0.963963963963964,1.0,111,1
shape-only RF morphology,63,0.259841875558914,0.9122807017543859,1.0,57,2
shape-only RF morphology,65,0.26261164462351094,1.0,,4,0
