method,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,ap_ci_low,ap_ci_high,notes
transparent P02 morphology,0.6385617836395039,0.6107361576471384,0.727284681130835,0.05387322313911205,0.053339306139076295,0.190085775471998,Train-fold-selected transparent early-peak/low-area morphology score.
shape-only RF morphology,0.9943476212906265,0.9804676772496933,0.9994740302432611,0.9111985736771326,0.6547397906531033,0.9913182825682825,"Fixed RF params={'n_estimators': 500, 'max_depth': 5, 'min_samples_leaf': 8}; 93 normalized morphology features."
