sim_run,method,n,balanced_accuracy
0,traditional_bands,2530,0.981245011971269
0,ridge,2530,0.9948349489807078
0,gradient_boosted_trees,2530,0.9972367023919414
0,mlp,2530,0.9960095770151636
0,cnn1d,2530,0.8578475089698584
0,hybrid_cnn_tabular,2530,0.9968151612324625
1,traditional_bands,2504,0.9812646370023419
1,ridge,2504,0.996022756649005
1,gradient_boosted_trees,2504,0.9968033967739074
1,mlp,2504,0.9964315873930769
1,cnn1d,2504,0.8549206178993185
1,hybrid_cnn_tabular,2504,0.9960412673306256
2,traditional_bands,2433,0.9755389718076285
2,ridge,2433,0.9962899439234147
2,gradient_boosted_trees,2433,0.9946528563377084
2,mlp,2433,0.9946457606020428
2,cnn1d,2433,0.8536727527805147
2,hybrid_cnn_tabular,2433,0.9946528563377084
3,traditional_bands,2533,0.9793650793650794
3,ridge,2533,0.9916788239254855
3,gradient_boosted_trees,2533,0.9932620730931807
3,mlp,2533,0.9908851731318346
3,cnn1d,2533,0.86209616080001
3,hybrid_cnn_tabular,2533,0.993266125512787
