method,fpr,tpr,balanced_accuracy
gradient_boosted_trees,0.0031999999999999806,0.9942,0.9955
hybrid_cnn_tabular,0.0026000000000000467,0.993,0.9952
ridge,0.0026000000000000467,0.992,0.9947
mlp,0.0021999999999999797,0.9912,0.9945
traditional_bands,0.0,0.9588,0.9794
cnn1d,0.2814,0.9958,0.8572
