method,species,truth_n,pred_n,purity,purity_ci_low,purity_ci_high,efficiency,efficiency_ci_low,efficiency_ci_high
traditional_bands,proton,5000,5206,0.9604302727621975,0.9558170943469033,0.9635642816688692,1.0,1.0,1.0
traditional_bands,deuteron,5000,4794,1.0,1.0,1.0,0.9588,0.9540135495791419,0.9625098658247829
ridge,proton,5000,5027,0.9920429679729461,0.9882098644134407,0.9951120162932791,0.9974,0.9969647915823553,0.9976470588235294
ridge,deuteron,5000,4973,0.9973858837723708,0.9971110726326541,0.997591328783621,0.992,0.9880510123068956,0.9951749095295537
gradient_boosted_trees,proton,5000,5013,0.9942150408936764,0.9903562290887621,0.9971988795518207,0.9968,0.9959183673469387,0.9980166600555335
gradient_boosted_trees,deuteron,5000,4987,0.9967916583116102,0.995481618402136,0.997997997997998,0.9942,0.9903181189488244,0.9972375690607734
mlp,proton,5000,5033,0.9912576991853765,0.9866666666666667,0.9943605236656596,0.9978,0.9963665724666936,0.9994064107637515
mlp,deuteron,5000,4967,0.9977853835313066,0.996316758747698,0.9989862124898621,0.9912,0.9863618130766145,0.9945054945054945
cnn1d,proton,5000,3614,0.9941892639734367,0.9910810810810811,0.9966555183946488,0.7186,0.7116639477977161,0.7272907576358588
cnn1d,deuteron,5000,6386,0.7796742875039148,0.7744075829383886,0.7848494256442099,0.9958,0.9934432743890323,0.9976322020520916
hybrid_cnn_tabular,proton,5000,5022,0.9930306650736759,0.9904576436222006,0.9944838455476753,0.9974,0.9957610012111425,0.9984313725490196
hybrid_cnn_tabular,deuteron,5000,4978,0.9973885094415428,0.9957072771872445,0.9987975951903808,0.993,0.9901724829522663,0.994475138121547
