fold,heldout_runs,n,tail_rate,auc,average_precision,brier,shuffled_auc
1,61,2799,0.02000714540907467,0.9700210926514243,0.6523892516489885,0.01121800611220043,0.27852064996614756
2,"49,51,60",2694,0.017817371937639197,0.9720883723859914,0.5829522261254795,0.01108470568115625,0.360158415217939
3,"48,52,62",2661,0.009394964299135663,0.963019726858877,0.48488813230395694,0.006484541053460319,0.13452200303490136
4,"46,47,53,55,59",2628,0.0136986301369863,0.9870327503429356,0.7242862813185534,0.006816490134738185,0.40510330932784633
5,"44,45,50,54,56,57,58,63,65",2628,0.014840182648401826,0.9189866397282389,0.4761421283095085,0.01020326290724659,0.2531915104336889
