fold,heldout_runs,train_rows,heldout_rows,raw_sigma68_ns,traditional_sigma68_ns,ml_sigma68_ns
1,61,10611,2799,1.694903362061287,2.014883411686755,1.2563308743314758
2,"49,51,60",10716,2694,1.6680573851189904,1.8404267423756873,1.1798843694649261
3,"48,52,62",10749,2661,1.681010065532353,1.976210597078838,1.2578997714294253
4,"46,47,53,55,59",10782,2628,1.610309485090863,1.9791296742746793,1.1755748756241124
5,"44,45,50,54,56,57,58,63,65",10782,2628,1.7089881082398812,2.149584018741825,1.3439022293637266
