run,group,n_total,n_B2,B2_share,B2_med_amp,B2_fhi,B2_nhi,n_events,share_B2,share_B4,share_B6,share_B8,sample
44,sample_i_analysis,2038,1884,0.9244357212953876,4409.75,0.4124203821656051,777,1912,0.9244357212953876,0.04563297350343474,0.021589793915603533,0.008341511285574092,I
45,sample_i_analysis,24333,22786,0.936423786627214,4735.75,0.4651101553585535,10598,23013,0.936423786627214,0.03982246332141536,0.01647967780380553,0.007274072247565035,I
46,sample_i_analysis,687,675,0.982532751091703,4500.0,0.4237037037037037,286,677,0.982532751091703,0.010189228529839884,0.004366812227074236,0.002911208151382824,I
47,sample_i_analysis,5276,5116,0.9696739954510993,4761.25,0.4652071931196247,2380,5161,0.9696739954510993,0.01611068991660349,0.009476876421531463,0.0047384382107657315,I
48,sample_i_analysis,14000,13044,0.9317142857142857,4091.25,0.3574057037718491,4662,13185,0.9317142857142857,0.04278571428571429,0.0175,0.008,I
49,sample_i_analysis,14815,13779,0.9300708741140735,4165.5,0.3719428115247841,5125,13937,0.9300708741140735,0.043199460006749915,0.018967262909213634,0.0077624029699628755,I
50,sample_i_analysis,35217,34088,0.9679416191044098,7319.0,0.8481870452945318,28913,34257,0.9679416191044098,0.018712553596274526,0.009370474486753556,0.0039753528125621145,I
51,sample_i_analysis,14740,14200,0.9633649932157394,7050.5,0.7954225352112676,11295,14295,0.9633649932157394,0.02055630936227951,0.012008141112618725,0.004070556309362279,I
52,sample_i_analysis,7152,6893,0.9637863534675615,7120.5,0.8009574931089511,5521,6933,0.9637863534675615,0.02069351230425056,0.010626398210290829,0.004893736017897092,I
53,sample_i_analysis,32200,31225,0.96972049689441,6807.5,0.850568454763811,26559,31386,0.96972049689441,0.01736024844720497,0.009192546583850932,0.0037267080745341614,I
54,sample_i_analysis,30440,29493,0.9688896189224704,6806.5,0.851490184111484,25113,29665,0.9688896189224704,0.017608409986859395,0.009789750328515113,0.003712220762155059,I
55,sample_i_analysis,17387,16735,0.9625007189279347,6987.0,0.7895428742157156,13213,16841,0.9625007189279347,0.02139529533559556,0.011445332719848163,0.004658653016621614,I
56,sample_i_analysis,40148,38730,0.9646806814785295,7266.0,0.833436612445133,32279,38932,0.9646806814785295,0.02054896881538308,0.010486201056092458,0.0042841486499950185,I
57,sample_i_analysis,13833,12774,0.9234439384081544,4084.0,0.35979333020197274,4596,12939,0.9234439384081544,0.04742282946577026,0.01973541531121232,0.009397816814863008,I
58,sample_ii_analysis,16781,15791,0.9410047077051428,4081.5,0.33759736558799314,5331,15920,0.9410047077051428,0.03521840176389965,0.016983493236398306,0.006793397294559323,II
59,sample_ii_analysis,21377,13565,0.6345605089582261,3232.0,0.1795798009583487,2436,13863,0.6345605089582261,0.2117696589792768,0.11067970248397811,0.04299012957851897,II
60,sample_ii_analysis,17029,9873,0.5797756767866581,3274.0,0.1433201661095918,1415,10140,0.5797756767866581,0.23724235128310528,0.12854542251453402,0.054436549415702626,II
61,sample_ii_analysis,18965,11015,0.5808067492749802,3255.5,0.14916023604176123,1643,11287,0.5808067492749802,0.23205905615607697,0.13129448984972317,0.05583970471921962,II
62,sample_ii_analysis,19089,11635,0.6095133322856096,3206.0,0.15418994413407822,1794,11912,0.6095133322856096,0.21913143695321913,0.12268845932212269,0.04866677143904867,II
63,sample_ii_analysis,18817,14566,0.7740872615188393,3338.5,0.23458739530413292,3417,14781,0.7740872615188393,0.14056438327044693,0.06127437955040655,0.024073975660307168,II
65,sample_ii_analysis,13038,11768,0.9025924221506366,3050.5,0.17819510537049627,2097,11904,0.9025924221506366,0.06458045712532597,0.02477373830342077,0.008053382420616659,II
