mode,family,run,method,n_events,sigma68_ns,n_pair_residuals
b2_heldout,all_six,59,gradient_boosted_trees,749,3.6744863410145614,4494
b2_heldout,all_six,59,gradient_boosted_trees_shuffled,749,3.983292225890448,4494
b2_heldout,all_six,59,mlp,749,3.57903637234881,4494
b2_heldout,all_six,59,mlp_shuffled,749,4.075733766124368,4494
b2_heldout,all_six,59,cnn1d,749,2.8563084434021553,4494
b2_heldout,all_six,59,cnn1d_shuffled,749,3.3309704586697144,4494
b2_heldout,all_six,59,event_token_attention,749,2.8437977171120448,4494
b2_heldout,all_six,59,event_token_attention_shuffled,749,3.586239775463894,4494
b2_heldout,b2_containing,59,base,749,3.8951763812431084,2247
b2_heldout,b2_containing,59,traditional,749,3.1656415271366662,2247
b2_heldout,b2_containing,59,ridge,749,3.6011860647559817,2247
b2_heldout,b2_containing,59,ridge_shuffled,749,3.8394528084045314,2247
b2_heldout,b2_containing,59,gradient_boosted_trees,749,3.4004685857623254,2247
b2_heldout,b2_containing,59,gradient_boosted_trees_shuffled,749,4.453023923949063,2247
b2_heldout,b2_containing,59,mlp,749,3.2771961194747488,2247
b2_heldout,b2_containing,59,mlp_shuffled,749,4.600778726940246,2247
b2_heldout,b2_containing,59,cnn1d,749,3.075503368891378,2247
b2_heldout,b2_containing,59,cnn1d_shuffled,749,3.840875367000298,2247
b2_heldout,b2_containing,59,event_token_attention,749,3.01448168402559,2247
b2_heldout,b2_containing,59,event_token_attention_shuffled,749,4.398907569240372,2247
b2_heldout,downstream_only,59,base,749,2.8329588920828535,2247
b2_heldout,downstream_only,59,traditional,749,2.040776285426702,2247
b2_heldout,downstream_only,59,ridge,749,1.816751215268843,2247
b2_heldout,downstream_only,59,ridge_shuffled,749,3.1044601537667504,2247
b2_heldout,downstream_only,59,gradient_boosted_trees,749,2.0489316343358905,2247
b2_heldout,downstream_only,59,gradient_boosted_trees_shuffled,749,3.6636888295666705,2247
b2_heldout,downstream_only,59,mlp,749,1.8706344070659948,2247
b2_heldout,downstream_only,59,mlp_shuffled,749,3.703762295908607,2247
b2_heldout,downstream_only,59,cnn1d,749,1.9174149503274553,2247
b2_heldout,downstream_only,59,cnn1d_shuffled,749,2.9455153761694155,2247
b2_heldout,downstream_only,59,event_token_attention,749,1.8338995959413698,2247
b2_heldout,downstream_only,59,event_token_attention_shuffled,749,2.9839130283020165,2247
b2_heldout,all_six,60,base,802,3.014569480503283,4812
b2_heldout,all_six,60,traditional,802,3.2461683986350884,4812
b2_heldout,all_six,60,ridge,802,3.3495486454601666,4812
b2_heldout,all_six,60,ridge_shuffled,802,3.067102258432486,4812
b2_heldout,all_six,60,gradient_boosted_trees,802,3.5887439537205483,4812
b2_heldout,all_six,60,gradient_boosted_trees_shuffled,802,3.4120911412149972,4812
b2_heldout,all_six,60,mlp,802,3.4466442448467736,4812
b2_heldout,all_six,60,mlp_shuffled,802,4.101802757852452,4812
b2_heldout,all_six,60,cnn1d,802,2.5546803948193215,4812
b2_heldout,all_six,60,cnn1d_shuffled,802,3.032745116689704,4812
b2_heldout,all_six,60,event_token_attention,802,2.5004808395537497,4812
b2_heldout,all_six,60,event_token_attention_shuffled,802,3.2301178362968246,4812
b2_heldout,b2_containing,60,base,802,2.9026478460426133,2406
b2_heldout,b2_containing,60,traditional,802,2.283970894638415,2406
b2_heldout,b2_containing,60,ridge,802,2.3456507678566627,2406
b2_heldout,b2_containing,60,ridge_shuffled,802,2.960955234142141,2406
