contrast,mode,family,delta_ns,ci_low,ci_high,method
ridge_minus_base,b2_heldout,all_six,0.3638110771771152,0.13736311040403498,0.621197672627312,
ridge_minus_traditional,b2_heldout,all_six,-0.015100676356783043,-0.07977380489072575,0.05222868107321789,
gradient_boosted_trees_minus_base,b2_heldout,all_six,0.6019687883611627,0.36456729731321175,0.8639596129905102,
gradient_boosted_trees_minus_traditional,b2_heldout,all_six,0.22305703482726452,0.025489839429828437,0.4660468763001735,
mlp_minus_base,b2_heldout,all_six,0.4715392639706445,0.2657816699778117,0.6824368537981221,
mlp_minus_traditional,b2_heldout,all_six,0.09262751043674625,-0.04135526730251745,0.23586840651914137,
cnn1d_minus_base,b2_heldout,all_six,-0.32549751745901184,-0.47614798160356464,-0.15176047563731976,
cnn1d_minus_traditional,b2_heldout,all_six,-0.7044092709929102,-0.8196465495728503,-0.5996368482526557,
event_token_attention_minus_base,b2_heldout,all_six,-0.31166050224200653,-0.47418361043763607,-0.13607792616055117,
event_token_attention_minus_traditional,b2_heldout,all_six,-0.6905722557759049,-0.8011607242381755,-0.6019187827341083,
ridge_shuffled_minus_real,b2_heldout,all_six,-0.2980431941649684,-0.5294302435819743,-0.07757743957727849,
gradient_boosted_trees_shuffled_minus_real,b2_heldout,all_six,0.033499934629545446,-0.21704173055859594,0.29599589139845706,
mlp_shuffled_minus_real,b2_heldout,all_six,0.40447063414660234,0.1966091188254448,0.5996086535043827,
cnn1d_shuffled_minus_real,b2_heldout,all_six,0.29918935764145926,0.13055970735805683,0.44652704771359214,
event_token_attention_shuffled_minus_real,b2_heldout,all_six,0.5351232896965407,0.3286964382233312,0.7072863368158859,
ridge_minus_base,b2_heldout,b2_containing,-0.2884469364320084,-0.4880879561154845,-0.08456435383890108,
ridge_minus_traditional,b2_heldout,b2_containing,0.09373228979287632,0.008150235622400106,0.2145025895793673,
gradient_boosted_trees_minus_base,b2_heldout,b2_containing,-0.35468893579004057,-0.5400135413328323,-0.15795152309373148,
gradient_boosted_trees_minus_traditional,b2_heldout,b2_containing,0.027490290434844158,-0.11236658881697427,0.15497629091985235,
mlp_minus_base,b2_heldout,b2_containing,-0.49094170565100753,-0.659268365765264,-0.2878268267164604,
mlp_minus_traditional,b2_heldout,b2_containing,-0.10876247942612276,-0.34791155182806516,0.054673984345296155,
cnn1d_minus_base,b2_heldout,b2_containing,-0.6005213959264439,-0.7978627289939993,-0.3857509452407681,
cnn1d_minus_traditional,b2_heldout,b2_containing,-0.2183421697015592,-0.3381692128619796,-0.1248406440308228,
event_token_attention_minus_base,b2_heldout,b2_containing,-0.7114361393228297,-0.8526151590421431,-0.5805921450184484,
event_token_attention_minus_traditional,b2_heldout,b2_containing,-0.32925691309794497,-0.46721573545574563,-0.20696517684764792,
ridge_shuffled_minus_real,b2_heldout,b2_containing,0.4732728652320186,0.33726676572856285,0.6159558650562282,
gradient_boosted_trees_shuffled_minus_real,b2_heldout,b2_containing,0.7218150194636103,0.38457783587145056,0.9476328294325866,
mlp_shuffled_minus_real,b2_heldout,b2_containing,1.4224649835618635,1.0535615228385515,1.901356698809056,
cnn1d_shuffled_minus_real,b2_heldout,b2_containing,0.6352438703756965,0.3863819834999419,0.8913596239804387,
event_token_attention_shuffled_minus_real,b2_heldout,b2_containing,1.0331113883967347,0.6962561483217475,1.3483552080708898,
ridge_minus_base,b2_heldout,downstream_only,-0.8196562704687295,-1.0160236608225295,-0.6172872542500697,
ridge_minus_traditional,b2_heldout,downstream_only,-0.040267886712094345,-0.19145113875002545,0.13498147973288185,
gradient_boosted_trees_minus_base,b2_heldout,downstream_only,-0.6576287150179841,-0.8236707216186169,-0.5058464375606206,
gradient_boosted_trees_minus_traditional,b2_heldout,downstream_only,0.12175966873865114,-0.04095329537010624,0.27922234892159986,
mlp_minus_base,b2_heldout,downstream_only,-0.7862885210384559,-0.9328069912654778,-0.6216723771717912,
mlp_minus_traditional,b2_heldout,downstream_only,-0.006900137281820896,-0.19363091549369602,0.20028168490781215,
cnn1d_minus_base,b2_heldout,downstream_only,-0.962430615725686,-1.1060892936308053,-0.8107899646055114,
cnn1d_minus_traditional,b2_heldout,downstream_only,-0.18304223196905076,-0.41030087961911327,0.04241194290975108,
event_token_attention_minus_base,b2_heldout,downstream_only,-0.9522530297880899,-1.0926144523837846,-0.7806751955484584,
event_token_attention_minus_traditional,b2_heldout,downstream_only,-0.17286464603145463,-0.35415201959506604,0.028125344383113347,
ridge_shuffled_minus_real,b2_heldout,downstream_only,1.0939512087585699,0.8409271444640712,1.3068743397890987,
gradient_boosted_trees_shuffled_minus_real,b2_heldout,downstream_only,1.5448295136359842,1.4157365499887664,1.6795321387666133,
mlp_shuffled_minus_real,b2_heldout,downstream_only,1.7592156799072722,1.5828877856258572,1.9375277727923605,
cnn1d_shuffled_minus_real,b2_heldout,downstream_only,1.0315616676211408,0.9052861793253406,1.1642293569477107,
event_token_attention_shuffled_minus_real,b2_heldout,downstream_only,1.0247446212176097,0.8479441279226078,1.1870992495180637,
ridge_minus_base,b2_included,all_six,-0.6663729369951213,-0.7698103536331641,-0.5620889948998633,
ridge_minus_traditional,b2_included,all_six,0.25359358417098976,0.17259298695397338,0.34096429192746497,
gradient_boosted_trees_minus_base,b2_included,all_six,-0.47658228749468895,-0.6624984753389425,-0.2970690251254636,
gradient_boosted_trees_minus_traditional,b2_included,all_six,0.4433842336714222,0.29513218147972414,0.6038455860004842,
mlp_minus_base,b2_included,all_six,-0.3948238417587556,-0.5591047370196305,-0.24345915048279437,
mlp_minus_traditional,b2_included,all_six,0.5251426794073556,0.3731612248184574,0.676321627251418,
cnn1d_minus_base,b2_included,all_six,-0.857352230708587,-0.928718516547214,-0.782298447869468,
cnn1d_minus_traditional,b2_included,all_six,0.06261429045752408,0.014847063724980462,0.11093552924722808,
event_token_attention_minus_base,b2_included,all_six,-0.9928978520157743,-1.0437347472708676,-0.9265843040223406,
event_token_attention_minus_traditional,b2_included,all_six,-0.07293133084966305,-0.16603682905108805,-0.0018078455132175542,
ridge_shuffled_minus_real,b2_included,all_six,1.2385927187410164,1.083595988754814,1.3649543989770727,
gradient_boosted_trees_shuffled_minus_real,b2_included,all_six,1.838157752779248,1.627514018595519,2.068431342556949,
mlp_shuffled_minus_real,b2_included,all_six,1.400812813742848,1.1528612538131155,1.6546875008737352,
cnn1d_shuffled_minus_real,b2_included,all_six,0.8321070595812647,0.7224332812097094,0.9285211743818456,
event_token_attention_shuffled_minus_real,b2_included,all_six,0.834816901724178,0.777418840572527,0.8904360760128994,
ridge_minus_base,b2_included,b2_containing,-0.5201092485678694,-0.9455708991708196,-0.1635517527280481,
ridge_minus_traditional,b2_included,b2_containing,0.0339482147576848,-0.20870291437431357,0.2596399002366363,
gradient_boosted_trees_minus_base,b2_included,b2_containing,-1.0818050241309025,-2.0963641853997674,-0.24500137677278255,
gradient_boosted_trees_minus_traditional,b2_included,b2_containing,-0.5277475608053483,-1.424696833469591,0.29994604486997145,
mlp_minus_base,b2_included,b2_containing,-0.29961715423087415,-1.0076941610053918,0.2609786414651868,
mlp_minus_traditional,b2_included,b2_containing,0.25444030909468013,-0.5027927366201269,0.8196430268254138,
cnn1d_minus_base,b2_included,b2_containing,-0.8888092378216087,-1.0411786972374995,-0.7488580674346403,
cnn1d_minus_traditional,b2_included,b2_containing,-0.3347517744960545,-0.6942534342239302,-0.03780572819558331,
event_token_attention_minus_base,b2_included,b2_containing,-0.9758626114045112,-1.2518597699450122,-0.7633502171133324,
event_token_attention_minus_traditional,b2_included,b2_containing,-0.42180514807895697,-0.7681390707284629,-0.08077260266161249,
ridge_shuffled_minus_real,b2_included,b2_containing,1.0469630937382364,0.6384854670969111,1.4236543081523543,
gradient_boosted_trees_shuffled_minus_real,b2_included,b2_containing,2.2183909420674297,1.5674384742114316,2.920413893948879,
mlp_shuffled_minus_real,b2_included,b2_containing,1.146970434704604,0.7292095601029926,1.5693225619439872,
