method,families,n_features,cv_rmse_ns,params,n_train_rows,target_stave,alpha,train_seconds,train_rmse_ns,arch,last_loss,n_parameters
hgb_all,"waveform,amplitude,q_template,pretrigger,peak_phase,saturation,anomaly,stave,run_family,shape_extra",56,1.7024358984144012,"{'max_iter': 80, 'learning_rate': 0.05, 'max_leaf_nodes': 15, 'l2_regularization': 0.05, 'max_bins': 64, 'random_state': 20260628}",3780,,,,,,,
hgb_no_stave,"waveform,amplitude,q_template,pretrigger,peak_phase,saturation,anomaly,run_family,shape_extra",53,2.8800434796955816,"{'max_iter': 80, 'learning_rate': 0.05, 'max_leaf_nodes': 15, 'l2_regularization': 0.2, 'max_bins': 64, 'random_state': 20260628}",3780,,,,,,,
hgb_no_peak_phase,"waveform,amplitude,q_template,pretrigger,saturation,anomaly,stave,run_family,shape_extra",52,1.7090561406397953,"{'max_iter': 80, 'learning_rate': 0.05, 'max_leaf_nodes': 15, 'l2_regularization': 0.05, 'max_bins': 64, 'random_state': 20260628}",3780,,,,,,,
hgb_no_pretrigger,"waveform,amplitude,q_template,peak_phase,saturation,anomaly,stave,run_family,shape_extra",49,1.7018484435390022,"{'max_iter': 80, 'learning_rate': 0.05, 'max_leaf_nodes': 15, 'l2_regularization': 0.05, 'max_bins': 64, 'random_state': 20260628}",3780,,,,,,,
hgb_no_q_template,"waveform,amplitude,pretrigger,peak_phase,saturation,anomaly,stave,run_family,shape_extra",53,1.7194114399810398,"{'max_iter': 80, 'learning_rate': 0.05, 'max_leaf_nodes': 15, 'l2_regularization': 0.05, 'max_bins': 64, 'random_state': 20260628}",3780,,,,,,,
hgb_no_saturation,"waveform,amplitude,q_template,pretrigger,peak_phase,anomaly,stave,run_family,shape_extra",52,1.7019797816287499,"{'max_iter': 80, 'learning_rate': 0.05, 'max_leaf_nodes': 15, 'l2_regularization': 0.05, 'max_bins': 64, 'random_state': 20260628}",3780,,,,,,,
hgb_no_anomaly,"waveform,amplitude,q_template,pretrigger,peak_phase,saturation,stave,run_family,shape_extra",52,1.6964501750649064,"{'max_iter': 80, 'learning_rate': 0.05, 'max_leaf_nodes': 15, 'l2_regularization': 0.2, 'max_bins': 64, 'random_state': 20260628}",3780,,,,,,,
hgb_support_excluded_sentinel,"waveform,amplitude,shape_extra",28,3.1986683341684796,"{'max_iter': 80, 'learning_rate': 0.05, 'max_leaf_nodes': 15, 'l2_regularization': 0.05, 'max_bins': 64, 'random_state': 20260628}",3780,,,,,,,
hgb_amplitude_only_control,amplitude,4,3.2855793409467573,"{'max_iter': 80, 'learning_rate': 0.05, 'max_leaf_nodes': 7, 'l2_regularization': 0.2, 'max_bins': 64, 'random_state': 20260628}",3780,,,,,,,
hgb_stave_only_sentinel,stave,3,1.8951342265901492,"{'max_iter': 80, 'learning_rate': 0.05, 'max_leaf_nodes': 7, 'l2_regularization': 0.05, 'max_bins': 64, 'random_state': 20260628}",3780,,,,,,,
hgb_run_family_only_sentinel,run_family,3,3.4252979747913828,"{'max_iter': 40, 'learning_rate': 0.05, 'max_leaf_nodes': 7, 'l2_regularization': 0.05, 'max_bins': 64, 'random_state': 20260628}",3780,,,,,,,
hgb_single_stave_B4,"waveform,amplitude,q_template,pretrigger,peak_phase,saturation,anomaly,shape_extra",50,1.9116203516106047,"{'max_iter': 80, 'learning_rate': 0.05, 'max_leaf_nodes': 15, 'l2_regularization': 0.2, 'max_bins': 64, 'random_state': 20260628}",1260,B4,,,,,,
hgb_single_stave_B6,"waveform,amplitude,q_template,pretrigger,peak_phase,saturation,anomaly,shape_extra",50,1.3367917999476482,"{'max_iter': 40, 'learning_rate': 0.05, 'max_leaf_nodes': 7, 'l2_regularization': 0.05, 'max_bins': 64, 'random_state': 20260628}",1260,B6,,,,,,
hgb_single_stave_B8,"waveform,amplitude,q_template,pretrigger,peak_phase,saturation,anomaly,shape_extra",50,1.7737395571653967,"{'max_iter': 40, 'learning_rate': 0.05, 'max_leaf_nodes': 15, 'l2_regularization': 0.2, 'max_bins': 64, 'random_state': 20260628}",1260,B8,,,,,,
ridge_all,"waveform,amplitude,q_template,pretrigger,peak_phase,saturation,anomaly,stave,run_family,shape_extra",56,1.9017154113731458,,3780,,10.0,,,,,
mlp_all,"waveform,amplitude,q_template,pretrigger,peak_phase,saturation,anomaly,stave,run_family,shape_extra",56,,,3780,,,0.8758378028869629,1.5818316445423095,,,
cnn1d_all,"waveform,amplitude,q_template,pretrigger,peak_phase,saturation,anomaly,stave,run_family,shape_extra",56,,,3780,,,0.26643800735473633,,cnn,0.9328914284706116,2641.0
tcn_new_architecture_all,"waveform,amplitude,q_template,pretrigger,peak_phase,saturation,anomaly,stave,run_family,shape_extra",56,,,3780,,,0.30590081214904785,,tcn,0.4714463949203491,3425.0
hgb_shuffled_target_sentinel,"waveform,amplitude,q_template,pretrigger,peak_phase,saturation,anomaly,stave,run_family,shape_extra",56,1.7024358984144012,"{'max_iter': 80, 'learning_rate': 0.05, 'max_leaf_nodes': 15, 'l2_regularization': 0.05, 'max_bins': 64, 'random_state': 20260628}",3780,,,,,,,
