method,metric,bootstrap_unit,value,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf
hgb_single_stave_B4,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.153079018627729,1.0000000000000036,1.250000000000007,-0.341587530623503,-0.42888796120921935,-0.26404258750160514,11460,-0.15087935993878432,1.153079018627729,2.541015758779913,0.024956369982547993,0.8854364654584944,118.70241756327954
hgb_no_saturation,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.3313304471367833,1.232087766715469,1.4746689535572584,-0.16333610211444882,-0.2476213092712359,-0.09427004807723506,11460,1.664750885588731,1.3313304471367833,2.4138141448018566,0.014572425828970332,1.5969548513477831,70.84682744166554
hgb_all,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.3406194215680218,1.2274414748052498,1.46408344369275,-0.15404712768321027,-0.2300655923309308,-0.09604980203048695,11460,1.6642301977424196,1.3406194215680218,2.4257934882330296,0.01474694589877836,1.6205032328926479,69.98236034911477
hgb_no_peak_phase,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.3420208225159305,1.2381733585626795,1.4778358503871118,-0.15264572673530163,-0.24410808395813288,-0.10932568584970095,11460,1.6683788225718104,1.3420208225159305,2.4268947984356286,0.0150087260034904,1.6456084503700619,71.34651941253998
hgb_no_pretrigger,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.3427108148471028,1.2364448591244075,1.4923439960284985,-0.15195573440412935,-0.2331180003130005,-0.09561500097190911,11460,1.6767000216001122,1.3427108148471028,2.4253616452364684,0.014659685863874346,1.6351900583727261,73.88941670024565
hgb_no_anomaly,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.3651320881764941,1.2578461425333995,1.5188028381447838,-0.12953446107473798,-0.19116284302349934,-0.07041117518782039,11460,1.6780975577934107,1.3651320881764941,2.4464851703602846,0.016579406631762654,1.6470685999534092,71.17322699573505
hgb_no_q_template,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.3747346738255417,1.281241753247308,1.4722619209915522,-0.11993187542569039,-0.21940334897677533,-0.04986061745173591,11460,1.6730105294654116,1.3747346738255417,2.4319837446620403,0.014136125654450262,1.639796221469264,71.4865593241188
s03b_binned_timewalk,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.3979715141141966,1.1479715141142055,1.5,-0.09669503513703548,-0.22581734402514675,-0.0842496021479703,11460,1.7959430282284004,1.3979715141141966,2.7030369680061095,0.0356020942408377,1.5469861063593553,193.29390502733492
analytic_timewalk,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.494666549251232,1.374395696795009,1.673872077243238,0.0,0.0,0.0,11460,1.7700686278373716,1.494666549251232,2.6814722510112667,0.020767888307155324,1.5064800482619787,134.21575527506718
hgb_stave_only_sentinel,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.500000000000007,1.3505143516677656,1.7500000000000036,0.005333450748775004,-0.05301629509357386,0.09463257822384068,11460,1.7395060738391948,1.500000000000007,2.704885100872766,0.02399650959860384,1.3996315806253758,220.1275474727083
ridge_all,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.5348987169477926,1.471118075627145,1.6231116533279473,0.04023216769656046,-0.05794067466935324,0.11698290483651556,11460,1.612084420812515,1.5348987169477926,2.5678548398427545,0.016928446771378707,1.5276837256963294,50.27017569766664
hgb_single_stave_B6,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.6358890295670396,1.5,1.76162603795904,0.14122248031580753,0.07996463630232363,0.20144178244737018,11460,-2.2056109711812795,1.6358890295670396,2.612376560007461,0.018760907504363003,1.443048927615919,144.18921559773074
