method,value,reference_value,delta,pass
template_phase_base,2.7035130270822876,2.703513027082288,-4.440892098500626e-16,True
s03a_amp_only_global,2.1299643935400328,2.1299643935400328,0.0,True
hierarchical_shrinkage,1.6353703774060107,1.6353703774060109,-2.220446049250313e-16,True
hgb_timewalk,1.8173943452547099,1.8173943452547097,2.220446049250313e-16,True
