loss,loss_param,alpha,feature,coefficient_ns_per_raw_unit,standardized_coefficient_ns,method,heldout_run
huber,0.75,100.0,stave_B4,-4.217865787202294,-1.9883210001769585,robust_huber,58
huber,0.75,100.0,stave_B6,2.5052321169538954,1.1809777455629369,robust_huber,58
huber,0.75,100.0,stave_B8,1.7126336702475897,0.8073432546136399,robust_huber,58
huber,0.75,100.0,log_amp,-1.4868752605695474,-0.48794621295232415,robust_huber,58
huber,0.75,100.0,inv_amp_1000,-2.641517079566671,-0.3663482609098723,robust_huber,58
huber,0.75,100.0,inv_sqrt_amp_1000,-0.10715923252194375,-0.011183183675369218,robust_huber,58
trimmed,0.1,100.0,stave_B4,-4.239815116639475,-1.998668013301977,robust_trimmed,58
trimmed,0.1,100.0,stave_B6,2.4797892421384473,1.1689838593530146,robust_trimmed,58
trimmed,0.1,100.0,stave_B8,1.7600258745007251,0.8296841539488196,robust_trimmed,58
trimmed,0.1,100.0,log_amp,-1.6923186509319461,-0.5553663435858915,robust_trimmed,58
trimmed,0.1,100.0,inv_amp_1000,-3.038384440816656,-0.421389232906795,robust_trimmed,58
trimmed,0.1,100.0,inv_sqrt_amp_1000,-0.04524952808426484,-0.0047222602465586665,robust_trimmed,58
huber,0.75,100.0,stave_B4,-4.128206200846533,-1.9460550658364963,robust_huber,59
huber,0.75,100.0,stave_B6,2.5061913783410557,1.1814299457174022,robust_huber,59
huber,0.75,100.0,stave_B8,1.6220148225066011,0.764625120119624,robust_huber,59
huber,0.75,100.0,log_amp,-1.3582605532487217,-0.4428534747138053,robust_huber,59
huber,0.75,100.0,inv_amp_1000,-2.4228221076836434,-0.33111242615522224,robust_huber,59
huber,0.75,100.0,inv_sqrt_amp_1000,-0.014767541755973992,-0.0015240858094378443,robust_huber,59
trimmed,0.1,100.0,stave_B4,-4.142126663045484,-1.9526172346485822,robust_trimmed,59
trimmed,0.1,100.0,stave_B6,2.4814600350081677,1.1697714786650446,robust_trimmed,59
trimmed,0.1,100.0,stave_B8,1.660666628038109,0.7828457559839115,robust_trimmed,59
trimmed,0.1,100.0,log_amp,-1.6136651541667109,-0.5261267573721969,robust_trimmed,59
