loss,alpha,loss_param,fold,sigma68_ns,n_pair_residuals,train_weight_mean,train_nonzero_weight_frac,heldout_run
huber,0.1,0.75,0,2.135543365317071,2997,0.8246269092385484,1.0,58
huber,0.1,0.75,1,1.3667648282268403,3534,0.8081135688840702,1.0,58
huber,0.1,0.75,2,1.3877166332846562,4710,0.8097698288856627,1.0,58
huber,0.1,0.75,-1,1.6300082756095227,0,,,58
huber,0.1,1.0,0,2.142498843507344,2997,0.8820112627912655,1.0,58
huber,0.1,1.0,1,1.382376223412867,3534,0.8682702293138214,1.0,58
huber,0.1,1.0,2,1.3921816445061244,4710,0.8676745484898778,1.0,58
huber,0.1,1.0,-1,1.6390189038087783,0,,,58
huber,0.1,1.5,0,2.1454886996733498,2997,0.9446403090892564,1.0,58
huber,0.1,1.5,1,1.3911273480339776,3534,0.9359059530480496,1.0,58
huber,0.1,1.5,2,1.4038813249703692,4710,0.9347509506004039,1.0,58
huber,0.1,1.5,-1,1.6468324575592321,0,,,58
huber,0.1,2.0,0,2.1457009906456874,2997,0.9717036238515353,1.0,58
huber,0.1,2.0,1,1.3941011101336087,3534,0.9670097181067534,1.0,58
huber,0.1,2.0,2,1.4053671495565303,4710,0.965786058148863,1.0,58
huber,0.1,2.0,-1,1.6483897501119422,0,,,58
trimmed,0.1,0.01,0,2.1534351540216026,2997,0.989932071809801,0.989932071809801,58
trimmed,0.1,0.01,1,1.3983075516912271,3534,0.9898793304787855,0.9898793304787855,58
trimmed,0.1,0.01,2,1.405545530362033,4710,0.9898943500229674,0.9898943500229674,58
trimmed,0.1,0.01,-1,1.6524294120249543,0,,,58
trimmed,0.1,0.03,0,2.1506501582628808,2997,0.9699175157690442,0.9699175157690442,58
trimmed,0.1,0.03,1,1.4027648983484082,3534,0.9698974957830544,0.9698974957830544,58
trimmed,0.1,0.03,2,1.422330176652046,4710,0.969989281886388,0.969989281886388,58
trimmed,0.1,0.03,-1,1.658581744421112,0,,,58
trimmed,0.1,0.05,0,2.145660205783039,2997,0.9499029597282872,0.9499029597282872,58
trimmed,0.1,0.05,1,1.397939763037559,3534,0.9499156610873232,0.9499156610873232,58
trimmed,0.1,0.05,2,1.4050964207350864,4710,0.9499310978410657,0.9499310978410657,58
trimmed,0.1,0.05,-1,1.6495654631852281,0,,,58
trimmed,0.1,0.1,0,2.130150458296229,2997,0.8999272197962155,0.8999272197962155,58
trimmed,0.1,0.1,1,1.3703542736470755,3534,0.8999610743479953,0.8999610743479953,58
trimmed,0.1,0.1,2,1.380711333540725,4710,0.9000153115908743,0.9000153115908743,58
trimmed,0.1,0.1,-1,1.6270720218280097,0,,,58
huber,1.0,0.75,0,2.122188367731721,2997,0.8238351133638485,1.0,58
huber,1.0,0.75,1,1.3915600155741585,3534,0.8078427568375238,1.0,58
huber,1.0,0.75,2,1.4742187017382415,4710,0.809385386190217,1.0,58
huber,1.0,0.75,-1,1.6626556950147071,0,,,58
huber,1.0,1.0,0,2.124782633268962,2997,0.8807641850344344,1.0,58
huber,1.0,1.0,1,1.4064314967019602,3534,0.8673433622550236,1.0,58
huber,1.0,1.0,2,1.4700023517728575,4710,0.8667619931293344,1.0,58
huber,1.0,1.0,-1,1.6670721605812602,0,,,58
huber,1.0,1.5,0,2.1228304580614,2997,0.9435286616490773,1.0,58
huber,1.0,1.5,1,1.411165777605413,3534,0.9351050620971383,1.0,58
huber,1.0,1.5,2,1.475317921980854,4710,0.9337755870028916,1.0,58
huber,1.0,1.5,-1,1.6697713858825558,0,,,58
huber,1.0,2.0,0,2.1371355486314645,2997,0.9712993238889752,1.0,58
huber,1.0,2.0,1,1.4187030998917587,3534,0.9666041997601477,1.0,58
huber,1.0,2.0,2,1.4763397650504133,4710,0.9652814704768121,1.0,58
huber,1.0,2.0,-1,1.6773928045245456,0,,,58
trimmed,1.0,0.01,0,2.1421804102915356,2997,0.989932071809801,0.989932071809801,58
trimmed,1.0,0.01,1,1.4295783517273943,3534,0.9898793304787855,0.9898793304787855,58
trimmed,1.0,0.01,2,1.4752342857582945,4710,0.9898943500229674,0.9898943500229674,58
trimmed,1.0,0.01,-1,1.6823310159257414,0,,,58
trimmed,1.0,0.03,0,2.1375865215328487,2997,0.9699175157690442,0.9699175157690442,58
trimmed,1.0,0.03,1,1.4238053641981532,3534,0.9698974957830544,0.9698974957830544,58
trimmed,1.0,0.03,2,1.4961025208628347,4710,0.969989281886388,0.969989281886388,58
trimmed,1.0,0.03,-1,1.685831468864612,0,,,58
trimmed,1.0,0.05,0,2.1317131068025468,2997,0.9499029597282872,0.9499029597282872,58
trimmed,1.0,0.05,1,1.4017785055516394,3534,0.9499156610873232,0.9499156610873232,58
trimmed,1.0,0.05,2,1.4742143667301781,4710,0.9499310978410657,0.9499310978410657,58
trimmed,1.0,0.05,-1,1.6692353263614548,0,,,58
trimmed,1.0,0.1,0,2.1210132655113783,2997,0.8999272197962155,0.8999272197962155,58
trimmed,1.0,0.1,1,1.3900645781232415,3534,0.8999610743479953,0.8999610743479953,58
trimmed,1.0,0.1,2,1.4551006882344975,4710,0.9000153115908743,0.9000153115908743,58
trimmed,1.0,0.1,-1,1.6553928439563723,0,,,58
huber,10.0,0.75,0,2.110601216616112,2997,0.823177870652351,1.0,58
huber,10.0,0.75,1,1.3943038880455052,3534,0.807309734636028,1.0,58
huber,10.0,0.75,2,1.4802900023572163,4710,0.8088749228668811,1.0,58
huber,10.0,0.75,-1,1.6617317023396112,0,,,58
huber,10.0,1.0,0,2.1174755280164685,2997,0.8798911153317763,1.0,58
huber,10.0,1.0,1,1.4014207024314844,3534,0.8666643615119455,1.0,58
huber,10.0,1.0,2,1.4788093691932054,4710,0.8661077102107855,1.0,58
huber,10.0,1.0,-1,1.6659018665470526,0,,,58
huber,10.0,1.5,0,2.1235422798825723,2997,0.9427894187962891,1.0,58
huber,10.0,1.5,1,1.4081595853597226,3534,0.9344702175278674,1.0,58
huber,10.0,1.5,2,1.4835109672497717,4710,0.9329237657214727,1.0,58
