axis_a,axis_b,metric,value,ci_low,ci_high
saturation_boundary,high_amplitude,log_odds_ratio,11.4202157714308,11.27696813265544,11.562073759265786
saturation_boundary,adaptive_lowering,log_odds_ratio,-2.446417807845027,-2.6672089238290466,-2.197335062502731
saturation_boundary,early_pretrigger_activity,log_odds_ratio,-1.5453352993467036,-1.773252879311598,-1.2610204333438602
saturation_boundary,delayed_peak,log_odds_ratio,-2.3382741947490624,-2.6687738227255586,-2.0501265051445614
saturation_boundary,broad_template_mismatch,log_odds_ratio,-1.866750251285295,-2.315790078901357,-1.3016528655141286
saturation_boundary,pileup_score,log_odds_ratio,-2.4586690918541634,-2.5665217933846907,-2.34817782325081
saturation_boundary,timing_tail,log_odds_ratio,-2.019251155482538,-2.378708779032796,-1.5138839028583466
saturation_boundary,charge_transfer_error,log_odds_ratio,-1.5116030737736479,-1.692532672799327,-1.2992241177069335
high_amplitude,adaptive_lowering,log_odds_ratio,-2.630669899329366,-2.7932287785092105,-2.373141695029698
high_amplitude,early_pretrigger_activity,log_odds_ratio,-0.7571971395311966,-0.9608834549704627,-0.5660336991928131
high_amplitude,delayed_peak,log_odds_ratio,-2.678564243528224,-2.8825400589145813,-2.3331447915598287
high_amplitude,broad_template_mismatch,log_odds_ratio,1.1618977153776007,0.7146776769629192,1.6999072921116123
high_amplitude,pileup_score,log_odds_ratio,-4.536835758414571,-4.73575840411775,-4.27943558098
high_amplitude,timing_tail,log_odds_ratio,-2.525687456488003,-2.81931484055314,-1.9985506794192212
high_amplitude,charge_transfer_error,log_odds_ratio,-2.005061734062729,-2.1347180376884674,-1.777355167950202
adaptive_lowering,early_pretrigger_activity,log_odds_ratio,13.683625366835015,13.47106870067702,13.861430662487018
adaptive_lowering,delayed_peak,log_odds_ratio,-1.4461600222216793,-1.664746289956411,-1.2269349626965174
adaptive_lowering,broad_template_mismatch,log_odds_ratio,0.9645049345593116,-0.20961594436393757,1.5266198488717888
adaptive_lowering,pileup_score,log_odds_ratio,-1.2109989726406591,-1.4017478577777582,-1.0384693600578807
adaptive_lowering,timing_tail,log_odds_ratio,-1.2746114976808527,-1.6429817596757728,-0.9507683316928651
adaptive_lowering,charge_transfer_error,log_odds_ratio,3.307203946617123,3.0317877261773374,3.585798642939466
early_pretrigger_activity,delayed_peak,log_odds_ratio,-1.6507262584692663,-1.8324255339567115,-1.4894584084097555
early_pretrigger_activity,broad_template_mismatch,log_odds_ratio,1.219604632956701,0.38974736316634834,1.8841982403070474
early_pretrigger_activity,pileup_score,log_odds_ratio,-0.7351491791955608,-0.8730282740785694,-0.6205120458363743
early_pretrigger_activity,timing_tail,log_odds_ratio,-0.5173126108615409,-0.7660962425316612,-0.24792688844554678
early_pretrigger_activity,charge_transfer_error,log_odds_ratio,3.3841751177764094,3.1638651691381026,3.581790067492557
delayed_peak,broad_template_mismatch,log_odds_ratio,-1.742630677168275,-2.0586436940217534,-1.4622271771540654
delayed_peak,pileup_score,log_odds_ratio,6.4706912417768025,6.048133788256688,7.18001424935751
delayed_peak,timing_tail,log_odds_ratio,2.0263279052526255,1.4892442183038905,2.6852648352360604
delayed_peak,charge_transfer_error,log_odds_ratio,1.1220589878854201,0.8819340702697237,1.3538710870054622
broad_template_mismatch,pileup_score,log_odds_ratio,-5.741943268401819,-6.034770087678809,-5.413455441974234
broad_template_mismatch,timing_tail,log_odds_ratio,1.5210503344982331,0.8721312629534876,2.224979362874917
broad_template_mismatch,charge_transfer_error,log_odds_ratio,1.5022304849568728,0.8689197354735066,1.9308382154690567
pileup_score,timing_tail,log_odds_ratio,1.0007616896037093,0.7434293894561325,1.3134273684219306
pileup_score,charge_transfer_error,log_odds_ratio,-0.2829920922898977,-0.44495460849154483,-0.12895611281172836
timing_tail,charge_transfer_error,log_odds_ratio,0.0825591609788624,-0.15233338817404385,0.32449155812187813
