axis_a,axis_b,partial_correlation
saturation_boundary,saturation_boundary,1.0
saturation_boundary,high_amplitude,0.11486895657195925
saturation_boundary,adaptive_lowering,0.017997714111212208
saturation_boundary,early_pretrigger_activity,-0.026597048752910822
saturation_boundary,delayed_peak,-0.007030230836349266
saturation_boundary,broad_template_mismatch,-0.004338831013425296
saturation_boundary,pileup_score,0.03729328385738108
saturation_boundary,timing_tail,0.00013752832505168296
saturation_boundary,charge_transfer_error,0.008579051418182285
high_amplitude,saturation_boundary,0.11486895657195886
high_amplitude,high_amplitude,1.0
high_amplitude,adaptive_lowering,-0.034573169002753285
high_amplitude,early_pretrigger_activity,-0.018650234662886556
high_amplitude,delayed_peak,0.038958105539477754
high_amplitude,broad_template_mismatch,-0.0014818013163252867
high_amplitude,pileup_score,-0.30880385057400767
high_amplitude,timing_tail,-0.0036507205945778185
high_amplitude,charge_transfer_error,0.003507744095933662
adaptive_lowering,saturation_boundary,0.017997714111213457
adaptive_lowering,high_amplitude,-0.034573169002756636
adaptive_lowering,adaptive_lowering,1.0
adaptive_lowering,early_pretrigger_activity,0.5159894251765382
adaptive_lowering,delayed_peak,-0.013715485853516425
adaptive_lowering,broad_template_mismatch,-0.0019475414127631437
adaptive_lowering,pileup_score,-0.11186834107306357
adaptive_lowering,timing_tail,-0.03607072560963397
adaptive_lowering,charge_transfer_error,0.20320631602842573
early_pretrigger_activity,saturation_boundary,-0.026597048752912075
early_pretrigger_activity,high_amplitude,-0.01865023466288329
early_pretrigger_activity,adaptive_lowering,0.5159894251765357
early_pretrigger_activity,early_pretrigger_activity,1.0
early_pretrigger_activity,delayed_peak,-0.06384655745720746
early_pretrigger_activity,broad_template_mismatch,0.005091279824047235
early_pretrigger_activity,pileup_score,-0.07034333018233908
early_pretrigger_activity,timing_tail,-0.042590168001318776
early_pretrigger_activity,charge_transfer_error,0.22981191454120664
delayed_peak,saturation_boundary,-0.007030230836349411
delayed_peak,high_amplitude,0.0389581055394781
delayed_peak,adaptive_lowering,-0.013715485853519544
delayed_peak,early_pretrigger_activity,-0.0638465574572046
delayed_peak,delayed_peak,1.0
delayed_peak,broad_template_mismatch,0.0015145371964746426
delayed_peak,pileup_score,0.12459932864064074
delayed_peak,timing_tail,0.037426800503027394
delayed_peak,charge_transfer_error,0.08678997791387236
broad_template_mismatch,saturation_boundary,-0.004338831013424863
broad_template_mismatch,high_amplitude,-0.001481801316325416
broad_template_mismatch,adaptive_lowering,-0.0019475414127626584
broad_template_mismatch,early_pretrigger_activity,0.0050912798240464446
broad_template_mismatch,delayed_peak,0.0015145371964748956
broad_template_mismatch,broad_template_mismatch,1.0
broad_template_mismatch,pileup_score,-0.015395476054716936
broad_template_mismatch,timing_tail,0.010245799732205541
broad_template_mismatch,charge_transfer_error,0.006821488619463676
pileup_score,saturation_boundary,0.037293283857381045
pileup_score,high_amplitude,-0.3088038505740074
pileup_score,adaptive_lowering,-0.11186834107305954
pileup_score,early_pretrigger_activity,-0.07034333018234251
pileup_score,delayed_peak,0.12459932864064074
pileup_score,broad_template_mismatch,-0.015395476054716637
pileup_score,pileup_score,1.0
pileup_score,timing_tail,-0.004754981078661265
pileup_score,charge_transfer_error,-0.014479582267107494
timing_tail,saturation_boundary,0.00013752832505163238
timing_tail,high_amplitude,-0.003650720594577773
timing_tail,adaptive_lowering,-0.03607072560963461
timing_tail,early_pretrigger_activity,-0.0425901680013183
timing_tail,delayed_peak,0.037426800503027845
timing_tail,broad_template_mismatch,0.010245799732205503
timing_tail,pileup_score,-0.004754981078661272
timing_tail,timing_tail,1.0
timing_tail,charge_transfer_error,0.028061958570712055
charge_transfer_error,saturation_boundary,0.008579051418181799
charge_transfer_error,high_amplitude,0.0035077440959337632
charge_transfer_error,adaptive_lowering,0.2032063160284304
charge_transfer_error,early_pretrigger_activity,0.2298119145412023
charge_transfer_error,delayed_peak,0.08678997791387226
charge_transfer_error,broad_template_mismatch,0.006821488619463442
charge_transfer_error,pileup_score,-0.014479582267107311
charge_transfer_error,timing_tail,0.02806195857071201
charge_transfer_error,charge_transfer_error,1.0
