axis,scope,n,fraction,run
saturation_boundary,all,16607,0.025918590622985717,
saturation_boundary,run_31,1103,0.03957518567686843,31.0
saturation_boundary,run_32,1105,0.039128895184135974,32.0
saturation_boundary,run_33,1341,0.027515029648932023,33.0
saturation_boundary,run_34,1352,0.03962717627059031,34.0
saturation_boundary,run_35,145,0.012428216336676096,35.0
saturation_boundary,run_36,204,0.01963237416995477,36.0
saturation_boundary,run_37,465,0.018950972001467174,37.0
saturation_boundary,run_39,222,0.015614010409340273,39.0
saturation_boundary,run_40,183,0.012442208322001632,40.0
saturation_boundary,run_41,238,0.014740493001362567,41.0
saturation_boundary,run_42,453,0.025011042402826856,42.0
saturation_boundary,run_44,29,0.01422963689892051,44.0
saturation_boundary,run_45,486,0.01997287634077179,45.0
saturation_boundary,run_46,18,0.026200873362445413,46.0
saturation_boundary,run_47,125,0.023692191053828658,47.0
saturation_boundary,run_48,152,0.010857142857142857,48.0
saturation_boundary,run_49,179,0.012082348970637867,49.0
saturation_boundary,run_50,1855,0.05267342476644802,50.0
saturation_boundary,run_51,646,0.04382632293080054,51.0
saturation_boundary,run_52,324,0.04530201342281879,52.0
saturation_boundary,run_53,1255,0.038975155279503106,53.0
saturation_boundary,run_54,1165,0.03827201051248357,54.0
saturation_boundary,run_55,821,0.04721918674872031,55.0
saturation_boundary,run_56,2032,0.05061273288831324,56.0
saturation_boundary,run_57,162,0.011711125569290826,57.0
saturation_boundary,run_58,124,0.00738930933794172,58.0
saturation_boundary,run_59,76,0.0035552229031201757,59.0
saturation_boundary,run_60,34,0.001996594045451876,60.0
saturation_boundary,run_61,29,0.0015291326127076193,61.0
saturation_boundary,run_62,56,0.0029336266960029336,62.0
saturation_boundary,run_63,113,0.006005208056544614,63.0
saturation_boundary,run_64,79,0.005399863294600136,64.0
saturation_boundary,run_65,36,0.0027611596870685687,65.0
high_amplitude,all,183303,0.28608149677636846,
high_amplitude,run_31,12236,0.43902264002009256,31.0
high_amplitude,run_32,11995,0.42475212464589235,32.0
high_amplitude,run_33,16068,0.3296879167778074,33.0
high_amplitude,run_34,15542,0.45553666686206695,34.0
high_amplitude,run_35,1416,0.12136796091540242,35.0
high_amplitude,run_36,2146,0.20652487729766145,36.0
high_amplitude,run_37,4950,0.20173615356400537,37.0
high_amplitude,run_39,2308,0.16232944155296103,39.0
high_amplitude,run_40,1990,0.1353005167255915,40.0
high_amplitude,run_41,2734,0.1693298649820389,41.0
high_amplitude,run_42,4899,0.27048365724381623,42.0
high_amplitude,run_44,334,0.16388616290480865,44.0
high_amplitude,run_45,5472,0.224879792873875,45.0
high_amplitude,run_46,144,0.2096069868995633,46.0
high_amplitude,run_47,1269,0.24052312357846853,47.0
high_amplitude,run_48,1992,0.1422857142857143,48.0
high_amplitude,run_49,2154,0.1453931825852177,49.0
high_amplitude,run_50,19495,0.5535678791492745,50.0
high_amplitude,run_51,7250,0.4918588873812754,51.0
high_amplitude,run_52,3625,0.506851230425056,52.0
high_amplitude,run_53,13963,0.4336335403726708,53.0
high_amplitude,run_54,13283,0.4363666228646518,54.0
high_amplitude,run_55,8330,0.47909357565997585,55.0
high_amplitude,run_56,21649,0.5392298495566404,56.0
high_amplitude,run_57,1845,0.13337670787247885,57.0
high_amplitude,run_58,1620,0.09653775102794827,58.0
high_amplitude,run_59,813,0.03803152921364083,59.0
high_amplitude,run_60,382,0.022432321334194608,60.0
high_amplitude,run_61,420,0.02214605852886897,61.0
high_amplitude,run_62,514,0.026926502174026926,62.0
high_amplitude,run_63,1233,0.06552585428070362,63.0
high_amplitude,run_64,778,0.0531784005468216,64.0
high_amplitude,run_65,454,0.034821291609142505,65.0
adaptive_lowering,all,36057,0.05627425917342061,
adaptive_lowering,run_31,1115,0.04000574073409637,31.0
adaptive_lowering,run_32,1186,0.0419971671388102,32.0
adaptive_lowering,run_33,551,0.011305578923610398,33.0
adaptive_lowering,run_34,356,0.010434374816812239,34.0
adaptive_lowering,run_35,817,0.07002657066940944,35.0
adaptive_lowering,run_36,739,0.07111923780194399,36.0
adaptive_lowering,run_37,2131,0.08684843297876677,37.0
adaptive_lowering,run_39,1322,0.09298072865381911,39.0
adaptive_lowering,run_40,1363,0.09267065542561871,40.0
adaptive_lowering,run_41,1435,0.08887650191998019,41.0
adaptive_lowering,run_42,1388,0.07663427561837456,42.0
adaptive_lowering,run_44,179,0.08783120706575073,44.0
adaptive_lowering,run_45,2084,0.08564500883573747,45.0
adaptive_lowering,run_46,23,0.033478893740902474,46.0
adaptive_lowering,run_47,183,0.034685367702805156,47.0
adaptive_lowering,run_48,1254,0.08957142857142857,48.0
