axis_a,axis_b,precision,edge_nonzero
saturation_boundary,high_amplitude,-0.07399509305372348,True
saturation_boundary,adaptive_lowering,0.0,False
saturation_boundary,early_pretrigger_activity,0.0,False
saturation_boundary,delayed_peak,-0.0,False
saturation_boundary,broad_template_mismatch,0.0,False
saturation_boundary,pileup_score,-0.0,False
saturation_boundary,timing_tail,-0.0,False
saturation_boundary,charge_transfer_error,-0.0,False
high_amplitude,saturation_boundary,-0.07399509305372348,True
high_amplitude,adaptive_lowering,0.009797591656244537,True
high_amplitude,early_pretrigger_activity,0.0,False
high_amplitude,delayed_peak,-0.0,False
high_amplitude,broad_template_mismatch,-0.0,False
high_amplitude,pileup_score,0.2909882517655197,True
high_amplitude,timing_tail,0.0,False
high_amplitude,charge_transfer_error,0.0,False
adaptive_lowering,saturation_boundary,0.0,False
adaptive_lowering,high_amplitude,0.009797591656244537,True
adaptive_lowering,early_pretrigger_activity,-0.7760275542078754,True
adaptive_lowering,delayed_peak,0.0,False
adaptive_lowering,broad_template_mismatch,-0.0,False
adaptive_lowering,pileup_score,0.12408866389978998,True
adaptive_lowering,timing_tail,0.020343200775586205,True
adaptive_lowering,charge_transfer_error,-0.25612801198939217,True
early_pretrigger_activity,saturation_boundary,0.0,False
early_pretrigger_activity,high_amplitude,0.0,False
early_pretrigger_activity,adaptive_lowering,-0.7760275542078754,True
early_pretrigger_activity,delayed_peak,0.05122315237341488,True
early_pretrigger_activity,broad_template_mismatch,-0.0,False
early_pretrigger_activity,pileup_score,0.09039493889085623,True
early_pretrigger_activity,timing_tail,0.037397584964287585,True
early_pretrigger_activity,charge_transfer_error,-0.3072705144003083,True
delayed_peak,saturation_boundary,-0.0,False
delayed_peak,high_amplitude,-0.0,False
delayed_peak,adaptive_lowering,0.0,False
delayed_peak,early_pretrigger_activity,0.05122315237341488,True
delayed_peak,broad_template_mismatch,0.0,False
delayed_peak,pileup_score,-0.08973929773268818,True
delayed_peak,timing_tail,-0.014743488488561622,True
delayed_peak,charge_transfer_error,-0.047615597382695496,True
broad_template_mismatch,saturation_boundary,0.0,False
broad_template_mismatch,high_amplitude,-0.0,False
broad_template_mismatch,adaptive_lowering,-0.0,False
broad_template_mismatch,early_pretrigger_activity,-0.0,False
broad_template_mismatch,delayed_peak,0.0,False
broad_template_mismatch,pileup_score,0.0,False
broad_template_mismatch,timing_tail,-0.0,False
broad_template_mismatch,charge_transfer_error,-0.0,False
pileup_score,saturation_boundary,-0.0,False
pileup_score,high_amplitude,0.2909882517655197,True
pileup_score,adaptive_lowering,0.12408866389978998,True
pileup_score,early_pretrigger_activity,0.09039493889085623,True
pileup_score,delayed_peak,-0.08973929773268818,True
pileup_score,broad_template_mismatch,0.0,False
pileup_score,timing_tail,-0.0,False
pileup_score,charge_transfer_error,0.0,False
timing_tail,saturation_boundary,-0.0,False
timing_tail,high_amplitude,0.0,False
timing_tail,adaptive_lowering,0.020343200775586205,True
timing_tail,early_pretrigger_activity,0.037397584964287585,True
timing_tail,delayed_peak,-0.014743488488561622,True
timing_tail,broad_template_mismatch,-0.0,False
timing_tail,pileup_score,-0.0,False
timing_tail,charge_transfer_error,-0.0,False
charge_transfer_error,saturation_boundary,-0.0,False
charge_transfer_error,high_amplitude,0.0,False
charge_transfer_error,adaptive_lowering,-0.25612801198939217,True
charge_transfer_error,early_pretrigger_activity,-0.3072705144003083,True
charge_transfer_error,delayed_peak,-0.047615597382695496,True
charge_transfer_error,broad_template_mismatch,-0.0,False
charge_transfer_error,pileup_score,0.0,False
charge_transfer_error,timing_tail,-0.0,False
