method,family,coverage,threshold,accepted_support,rejected_support,accepted_harm_rate,accepted_harm_count_mean,rejected_harm_capture,harmful_pulse_rejection,policy_loss
traditional_atom_action_rule,traditional,0.5,0.6733333333333333,0.501390931764405,0.4986090682355951,0.7924013902617901,0.9786837154427473,0.7921928001245794,0.5565380325674771,1.0002085901372109
traditional_atom_action_rule,traditional,0.6,0.9213333333333332,0.76785029097653,0.23214970902346999,0.8644422466295352,1.5407943365780021,0.4989708660297772,0.25912112424715594,1.365471380599758
traditional_atom_action_rule,traditional,0.7,0.9213333333333332,0.76785029097653,0.23214970902346999,0.8644422466295352,1.5407943365780021,0.4989708660297772,0.25912112424715594,1.365471380599758
traditional_atom_action_rule,traditional,0.8,0.9266666666666667,0.9024509176952101,0.09754908230478992,0.8846606964116465,2.0748939261070216,0.20702180816130322,0.1088824447914343,1.6776388882503432
traditional_atom_action_rule,traditional,0.9,0.9266666666666667,0.9024509176952101,0.09754908230478992,0.8846606964116465,2.0748939261070216,0.20702180816130322,0.1088824447914343,1.6776388882503432
traditional_atom_action_rule,traditional,0.95,0.9486666666666668,0.991214747074247,0.008785252925753021,0.8949893949047154,2.3426857101381486,0.01661509712451844,0.009805933526656256,1.878374297780197
ridge,ml,0.5,0.9996639560880167,0.5,0.5,0.7918238792607277,1.339835006714843,0.7162975551297589,0.5580905643542271,1.0755263241309687
ridge,ml,0.6,0.9998018018378744,0.600003197544286,0.399996802455714,0.826520823896187,1.4710490553971596,0.6262144796441363,0.44646888244479144,1.2003063442520507
ridge,ml,0.7,0.9998979337255328,0.6999984012278571,0.300001598772143,0.8513024312811904,1.5806753685749197,0.5314224391829218,0.3348561231318314,1.3198799920982687
ridge,ml,0.8,0.999971526225747,0.8000015987721429,0.199998401227857,0.8698901845578905,1.770336840632713,0.400224784525075,0.22323444122239572,1.4696654000328153
ridge,ml,0.9,0.9999997636605851,0.899996802455714,0.100003197544286,0.8843461886913115,2.0746451601442453,0.20927303872116562,0.11162168190943565,1.675073149970146
ridge,ml,0.95,0.9999999976912728,0.9499984012278571,0.050001598772143,0.8904334362719937,2.21981471041139,0.10693852955713386,0.055810840954717826,1.7834949067148598
gradient_boosted_trees,ml,0.5,0.8543187566665668,1.0,0.0,0.8959119396303639,2.3613384920381146,0.0,0.0,1.8959119396303639
gradient_boosted_trees,ml,0.6,0.8543187566665668,1.0,0.0,0.8959119396303639,2.3613384920381146,0.0,0.0,1.8959119396303639
gradient_boosted_trees,ml,0.7,0.8543187566665668,1.0,0.0,0.8959119396303639,2.3613384920381146,0.0,0.0,1.8959119396303639
gradient_boosted_trees,ml,0.8,0.8543187566665668,1.0,0.0,0.8959119396303639,2.3613384920381146,0.0,0.0,1.8959119396303639
gradient_boosted_trees,ml,0.9,0.8543187566665668,1.0,0.0,0.8959119396303639,2.3613384920381146,0.0,0.0,1.8959119396303639
gradient_boosted_trees,ml,0.95,0.8543187566665668,1.0,0.0,0.8959119396303639,2.3613384920381146,0.0,0.0,1.8959119396303639
mlp,nn,0.5,0.984873530359341,0.5,0.5,0.7918238792607277,1.5336381658885976,0.6752608380671239,0.5580905643542271,1.1165630411936038
mlp,nn,0.6,0.99258610055162,0.600003197544286,0.399996802455714,0.826520823896187,1.7624104026219722,0.5521811546612321,0.44646888244479144,1.274339669234955
mlp,nn,0.7,0.9949793286063839,0.6999984012278571,0.300001598772143,0.8513024312811904,1.874119245834618,0.4444335362261928,0.3348561231318314,1.4068688950549975
mlp,nn,0.8,0.9963528668249548,0.8000015987721429,0.199998401227857,0.8698901845578905,1.9401660721244642,0.3426880708477491,0.22323444122239572,1.5272021137101413
mlp,nn,0.9,0.9984803600731296,0.899996802455714,0.100003197544286,0.8843461886913115,2.0752313786794097,0.20904960831973568,0.11162168190943565,1.6752965803715758
mlp,nn,0.95,0.9997292144982389,0.9499984012278571,0.050001598772143,0.8904334362719937,2.2150352151193613,0.1088613851330765,0.055810840954717826,1.7815720511389173
1d_cnn,nn,0.5,0.4717271625995636,0.5,0.5,0.9666496130971414,1.6965690349811344,0.6407611529008714,0.4605219718938211,1.32588846019627
1d_cnn,nn,0.6,0.4724460244178772,0.600003197544286,0.399996802455714,0.9160249407125156,1.6599030083402169,0.5782277229733847,0.3865268793218827,1.3377972177391309
1d_cnn,nn,0.7,0.47315822541713715,0.6999984012278571,0.300001598772143,0.8729658432971324,1.6776753799947468,0.5026676235807092,0.31792995761766674,1.3702982197164233
1d_cnn,nn,0.8,0.4742020666599273,0.8000015987721429,0.199998401227857,0.8717987149894582,1.85086483407776,0.3729425783868325,0.22153022529556102,1.4988561366026256
1d_cnn,nn,0.9,0.4770105481147766,0.899996802455714,0.100003197544286,0.8847725294441583,2.125752757891745,0.18979397008740867,0.11119339727860808,1.6949785593567497
1d_cnn,nn,0.95,0.4797321185469627,0.9499984012278571,0.050001598772143,0.8904670946895432,2.2436701138495976,0.09734117822298353,0.055775150568815525,1.7931259164665598
atom_prior_residual_cnn_new_arch,new_architecture,0.5,0.509888082742691,0.5,0.5,0.7918238792607277,2.531064142738377,0.4640615584609031,0.5580905643542271,1.3277623207998246
atom_prior_residual_cnn_new_arch,new_architecture,0.6,0.5174646973609924,0.600003197544286,0.399996802455714,0.826520823896187,2.6365477364171706,0.33006763847606924,0.44646888244479144,1.4964531854201177
atom_prior_residual_cnn_new_arch,new_architecture,0.7,0.521550714969635,0.6999984012278571,0.300001598772143,0.8513024312811904,2.5588178194982127,0.2414605577635294,0.3348561231318314,1.6098418735176612
atom_prior_residual_cnn_new_arch,new_architecture,0.8,0.5315505862236023,0.8000015987721429,0.199998401227857,0.8698901845578905,2.585768957902415,0.12396324908427389,0.22323444122239572,1.7459269354736167
atom_prior_residual_cnn_new_arch,new_architecture,0.9,0.5386894941329956,0.899996802455714,0.100003197544286,0.8843461886913115,2.455358570337342,0.06416853422886044,0.11162168190943565,1.820177654462451
atom_prior_residual_cnn_new_arch,new_architecture,0.95,0.5502918213605881,0.9499984012278571,0.050001598772143,0.8904334362719937,2.418247911074461,0.02710617006438858,0.055810840954717826,1.8633272662076052
