method,family,coverage,stave,accepted_n,accepted_fraction_within_accepted,accepted_harm_rate
traditional_atom_action_rule,traditional,0.5,B2,49977,0.7968017601479545,0.7755367469035757
traditional_atom_action_rule,traditional,0.5,B4,7829,0.12482063709703134,0.8589858219440542
traditional_atom_action_rule,traditional,0.5,B6,3926,0.06259366729377253,0.8494651044319919
traditional_atom_action_rule,traditional,0.5,B8,990,0.01578393546124167,0.8909090909090909
traditional_atom_action_rule,traditional,0.6,B2,73043,0.7604289209307168,0.8464192325068796
traditional_atom_action_rule,traditional,0.6,B4,14380,0.14970589766279735,0.9232267037552155
traditional_atom_action_rule,traditional,0.6,B6,6515,0.06782572484514081,0.9092862624712202
traditional_atom_action_rule,traditional,0.6,B8,2117,0.022039456561345063,0.9489844119036372
traditional_atom_action_rule,traditional,0.7,B2,73043,0.7604289209307168,0.8464192325068796
traditional_atom_action_rule,traditional,0.7,B4,14380,0.14970589766279735,0.9232267037552155
traditional_atom_action_rule,traditional,0.7,B6,6515,0.06782572484514081,0.9092862624712202
traditional_atom_action_rule,traditional,0.7,B8,2117,0.022039456561345063,0.9489844119036372
traditional_atom_action_rule,traditional,0.8,B2,82562,0.7313296661440479,0.8641263535282575
traditional_atom_action_rule,traditional,0.8,B4,18248,0.1616397828031853,0.9395002192021044
traditional_atom_action_rule,traditional,0.8,B6,8747,0.07748044608611694,0.9324339773636675
traditional_atom_action_rule,traditional,0.8,B8,3336,0.029550104966649837,0.9676258992805755
traditional_atom_action_rule,traditional,0.9,B2,82562,0.7313296661440479,0.8641263535282575
traditional_atom_action_rule,traditional,0.9,B4,18248,0.1616397828031853,0.9395002192021044
traditional_atom_action_rule,traditional,0.9,B6,8747,0.07748044608611694,0.9324339773636675
traditional_atom_action_rule,traditional,0.9,B8,3336,0.029550104966649837,0.9676258992805755
traditional_atom_action_rule,traditional,0.95,B2,87854,0.708517141543747,0.8723108794135725
traditional_atom_action_rule,traditional,0.95,B4,20923,0.16873795333758074,0.9472351001290445
traditional_atom_action_rule,traditional,0.95,B6,10840,0.08742146987427116,0.945479704797048
traditional_atom_action_rule,traditional,0.95,B8,4380,0.035323435244401076,0.9753424657534246
ridge,ml,0.5,B2,48569,0.7765076421308436,0.7690296279519858
ridge,ml,0.5,B4,7773,0.12427255867493765,0.8579698957931301
ridge,ml,0.5,B6,5008,0.08006650892114855,0.8819888178913738
ridge,ml,0.5,B8,1198,0.01915329027307028,0.9098497495826378
ridge,ml,0.6,B2,58138,0.7745743291854299,0.8070453059960783
ridge,ml,0.6,B4,9141,0.12178581896666578,0.8792254676731212
ridge,ml,0.6,B6,6135,0.08173679021556662,0.9036674816625917
ridge,ml,0.6,B8,1644,0.02190306163233766,0.9343065693430657
ridge,ml,0.7,B2,66971,0.7647972409697718,0.83249466186857
ridge,ml,0.7,B4,11371,0.12985485399751048,0.9029109137279043
ridge,ml,0.7,B6,7093,0.08100083364737858,0.9166784153390667
ridge,ml,0.7,B8,2132,0.024347071385339227,0.949343339587242
ridge,ml,0.8,B2,73597,0.735403739120877,0.8475753087761729
ridge,ml,0.8,B4,15069,0.15057405797535897,0.9267370097551264
ridge,ml,0.8,B6,8469,0.08462483887406697,0.9302160821820759
ridge,ml,0.8,B8,2942,0.029397364029697132,0.9632902787219578
ridge,ml,0.9,B2,80230,0.712610804185245,0.8601769911504424
ridge,ml,0.9,B4,18538,0.16465635158900752,0.9404466501240695
ridge,ml,0.9,B6,10029,0.08907857104791005,0.9410708944062219
ridge,ml,0.9,B8,3789,0.03365427317783739,0.9714964370546318
ridge,ml,0.95,B2,84128,0.707903837901061,0.8666555724610118
ridge,ml,0.95,B4,19925,0.16766099241844146,0.9445922208281053
ridge,ml,0.95,B6,10640,0.0895313906816671,0.9444548872180452
ridge,ml,0.95,B8,4148,0.03490377899883037,0.973963355834137
gradient_boosted_trees,ml,0.5,B2,88213,0.7051624352497282,0.8728305351818892
gradient_boosted_trees,ml,0.5,B4,21229,0.1697016691181173,0.9479956663055255
gradient_boosted_trees,ml,0.5,B6,11148,0.08911555925049562,0.9469860064585576
gradient_boosted_trees,ml,0.5,B8,4506,0.036020336381658885,0.9760319573901465
gradient_boosted_trees,ml,0.6,B2,88213,0.7051624352497282,0.8728305351818892
gradient_boosted_trees,ml,0.6,B4,21229,0.1697016691181173,0.9479956663055255
gradient_boosted_trees,ml,0.6,B6,11148,0.08911555925049562,0.9469860064585576
gradient_boosted_trees,ml,0.6,B8,4506,0.036020336381658885,0.9760319573901465
gradient_boosted_trees,ml,0.7,B2,88213,0.7051624352497282,0.8728305351818892
gradient_boosted_trees,ml,0.7,B4,21229,0.1697016691181173,0.9479956663055255
gradient_boosted_trees,ml,0.7,B6,11148,0.08911555925049562,0.9469860064585576
gradient_boosted_trees,ml,0.7,B8,4506,0.036020336381658885,0.9760319573901465
gradient_boosted_trees,ml,0.8,B2,88213,0.7051624352497282,0.8728305351818892
gradient_boosted_trees,ml,0.8,B4,21229,0.1697016691181173,0.9479956663055255
gradient_boosted_trees,ml,0.8,B6,11148,0.08911555925049562,0.9469860064585576
gradient_boosted_trees,ml,0.8,B8,4506,0.036020336381658885,0.9760319573901465
gradient_boosted_trees,ml,0.9,B2,88213,0.7051624352497282,0.8728305351818892
gradient_boosted_trees,ml,0.9,B4,21229,0.1697016691181173,0.9479956663055255
gradient_boosted_trees,ml,0.9,B6,11148,0.08911555925049562,0.9469860064585576
gradient_boosted_trees,ml,0.9,B8,4506,0.036020336381658885,0.9760319573901465
gradient_boosted_trees,ml,0.95,B2,88213,0.7051624352497282,0.8728305351818892
gradient_boosted_trees,ml,0.95,B4,21229,0.1697016691181173,0.9479956663055255
gradient_boosted_trees,ml,0.95,B6,11148,0.08911555925049562,0.9469860064585576
gradient_boosted_trees,ml,0.95,B8,4506,0.036020336381658885,0.9760319573901465
mlp,nn,0.5,B2,44257,0.7075685873249344,0.7465259732923605
mlp,nn,0.5,B4,8863,0.1416991750335742,0.8754372108766784
mlp,nn,0.5,B6,7052,0.11274541152394961,0.9161939875212706
mlp,nn,0.5,B8,2376,0.03798682611754173,0.9545454545454546
mlp,nn,0.6,B2,52384,0.6979136134722481,0.7858506414172266
mlp,nn,0.6,B4,10797,0.14384875696128327,0.8977493748263407
mlp,nn,0.6,B6,8608,0.11468464387540302,0.931342936802974
mlp,nn,0.6,B8,3269,0.043552985691065575,0.9669623738146222
mlp,nn,0.7,B2,62489,0.713613575890461,0.820480404551201
mlp,nn,0.7,B4,12132,0.1385453424235157,0.9090009891196835
mlp,nn,0.7,B6,9362,0.10691242134594083,0.9368724631488998
mlp,nn,0.7,B8,3584,0.040928660340082454,0.9698660714285714
mlp,nn,0.8,B2,72852,0.7279594712071705,0.84601658156262
mlp,nn,0.8,B4,13841,0.1383035063001489,0.9202369770970306
mlp,nn,0.8,B6,9667,0.09659562137154391,0.9388641770973415
mlp,nn,0.8,B8,3717,0.03714140112113672,0.9709443099273608
mlp,nn,0.9,B2,80577,0.7156928925443661,0.8607791305211164
mlp,nn,0.9,B4,18051,0.16033076936741691,0.938839953465182
mlp,nn,0.9,B6,10051,0.08927397722629812,0.9411998806088946
mlp,nn,0.9,B8,3907,0.03470236086191889,0.9723573073969798
mlp,nn,0.95,B2,83956,0.7064565259464326,0.8663823907761208
mlp,nn,0.95,B4,19963,0.1679807473851617,0.9446976907278465
mlp,nn,0.95,B6,10635,0.08948931765973023,0.944428772919605
mlp,nn,0.95,B8,4287,0.03607340900867546,0.9748075577326802
1d_cnn,nn,0.5,B2,52794,0.8440557651723476,0.9676288972231692
1d_cnn,nn,0.5,B4,7554,0.1207712476817804,0.9561821551495896
1d_cnn,nn,0.5,B6,1710,0.027339003645200487,0.9789473684210527
1d_cnn,nn,0.5,B8,490,0.007833983500671484,0.9795918367346939
1d_cnn,nn,0.6,B2,61570,0.8202989687974633,0.9114503816793893
1d_cnn,nn,0.6,B4,9508,0.1266753710463908,0.9264829617164493
1d_cnn,nn,0.6,B6,2974,0.039622691785019586,0.9589778076664425
1d_cnn,nn,0.6,B8,1006,0.013402968371126329,0.9701789264413518
1d_cnn,nn,0.7,B2,69854,0.797720602510078,0.8608240043519341
1d_cnn,nn,0.7,B4,11466,0.13093973757237315,0.9136577708006279
1d_cnn,nn,0.7,B6,4601,0.052542624504665,0.9243642686372527
1d_cnn,nn,0.7,B8,1646,0.01879703541288385,0.9611178614823815
1d_cnn,nn,0.8,B2,75855,0.7579663658982584,0.8537077318568321
1d_cnn,nn,0.8,B4,14323,0.14311979775572808,0.9240382601410319
1d_cnn,nn,0.8,B6,7220,0.07214444877444368,0.9246537396121883
1d_cnn,nn,0.8,B8,2679,0.02676938757156989,0.9622993654348637
1d_cnn,nn,0.9,B2,81118,0.7204981081129093,0.8622870386350748
1d_cnn,nn,0.9,B4,18156,0.1612633897642691,0.9391936549900859
1d_cnn,nn,0.9,B6,9535,0.08469081413319596,0.9381227058206607
1d_cnn,nn,0.9,B8,3777,0.03354768798962571,0.971405877680699
1d_cnn,nn,0.95,B2,84476,0.7108321202278675,0.8672522373218429
1d_cnn,nn,0.95,B4,19895,0.1674085542868202,0.9445086705202312
1d_cnn,nn,0.95,B6,10320,0.08683871727770719,0.9427325581395349
1d_cnn,nn,0.95,B8,4150,0.03492060820760512,0.9739759036144578
atom_prior_residual_cnn_new_arch,new_architecture,0.5,B2,35205,0.5628477329411012,0.6813520806703594
atom_prior_residual_cnn_new_arch,new_architecture,0.5,B4,16651,0.266211549529961,0.9336976758152663
atom_prior_residual_cnn_new_arch,new_architecture,0.5,B6,8323,0.13306580546140565,0.9289919500180224
atom_prior_residual_cnn_new_arch,new_architecture,0.5,B8,2369,0.037874912067532136,0.9544111439425919
atom_prior_residual_cnn_new_arch,new_architecture,0.6,B2,45301,0.6035465906365743,0.7523674974062383
atom_prior_residual_cnn_new_arch,new_architecture,0.6,B4,18010,0.23994777372165527,0.9387007218212104
atom_prior_residual_cnn_new_arch,new_architecture,0.6,B6,9028,0.12028031655519732,0.9345369960124058
atom_prior_residual_cnn_new_arch,new_architecture,0.6,B8,2719,0.03622531908657305,0.9602795145273998
atom_prior_residual_cnn_new_arch,new_architecture,0.7,B2,56113,0.6408007582765197,0.8000819774383833
atom_prior_residual_cnn_new_arch,new_architecture,0.7,B4,18702,0.21357360649559765,0.9409688803336541
atom_prior_residual_cnn_new_arch,new_architecture,0.7,B6,9446,0.1078716868226615,0.9374338344272708
atom_prior_residual_cnn_new_arch,new_architecture,0.7,B8,3306,0.037753948405221144,0.9673321234119783
atom_prior_residual_cnn_new_arch,new_architecture,0.8,B2,66194,0.6614306983622611,0.8305284466870109
