method,family,coverage,policy_loss_ci95,accepted_harm_rate_ci95,rejected_harm_capture_ci95,harmful_pulse_rejection_ci95,accepted_support_ci95,threshold_ci95
traditional_atom_action_rule,traditional,0.5,"[0.9784318007596007, 1.3088536876921677]","[0.7643732745138045, 0.8736122740101285]","[0.5645607452413224, 0.7955403947535128]","[0.32052140022309006, 0.5611890480749426]","[0.5002031925615267, 0.7065914737708319]","[0.6733333333333333, 0.9213333333333332]"
traditional_atom_action_rule,traditional,0.6,"[1.1261290354964988, 1.440740393856478]","[0.7976280560610688, 0.8810485550095778]","[0.4263477820731554, 0.6741172883793615]","[0.20324674375661592, 0.45270052641144204]","[0.6038178793322555, 0.8185208275844271]","[0.6986666666666668, 0.9213333333333332]"
traditional_atom_action_rule,traditional,0.7,"[1.307762179151374, 1.4957391359559131]","[0.8411001305811315, 0.8817109750121824]","[0.3755768705817988, 0.560559960395848]","[0.16932903677743988, 0.31744214497090895]","[0.710547668482962, 0.8509223675245834]","[0.9213333333333332, 0.9213333333333332]"
traditional_atom_action_rule,traditional,0.8,"[1.4082870237348208, 1.691953201867373]","[0.8492846214369077, 0.9008483866292482]","[0.18978433581869872, 0.4475442641101266]","[0.09508150795332238, 0.21859800500123658]","[0.8052790469973891, 0.9154508251319949]","[0.9213333333333332, 0.9266666666666667]"
traditional_atom_action_rule,traditional,0.9,"[1.6630440450366046, 1.7931768866367088]","[0.8621973903660001, 0.9064059052678796]","[0.10512264811396912, 0.2098270281632399]","[0.062070955769527966, 0.11102753402663908]","[0.9006180004391882, 0.9439723292677479]","[0.9266666666666667, 0.932]"
traditional_atom_action_rule,traditional,0.95,"[1.777263192336493, 1.894814499590972]","[0.8678250580786627, 0.91220410481552]","[0.015805606895815057, 0.09691014359529405]","[0.009488975213219985, 0.056027989698236066]","[0.9500945924641336, 0.9915252927907049]","[0.932, 0.9486666666666668]"
ridge,ml,0.5,"[0.9968122556975898, 1.1174662820453038]","[0.7372462753785533, 0.8238310169977743]","[0.701478992985333, 0.7369625654960655]","[0.5482887893001104, 0.5756127594641153]","[0.5, 0.5000197841256349]","[0.9995562921232483, 0.9997263805821606]"
ridge,ml,0.6,"[1.142154432460893, 1.2355369288443723]","[0.7810353785964712, 0.853191968380576]","[0.6107693265543869, 0.640158522552956]","[0.43863009898971, 0.4604951062723997]","[0.6, 0.6000210637408406]","[0.9997409187644581, 0.9998524810457482]"
ridge,ml,0.7,"[1.2687010767826836, 1.352968145603317]","[0.8123175683059155, 0.8741661588336062]","[0.5191273163346916, 0.5439702940077595]","[0.3289595350645647, 0.34536250568284715]","[0.7, 0.7000220326234776]","[0.9998387180670125, 0.9999293691639183]"
ridge,ml,0.8,"[1.414229848153892, 1.5178038902979099]","[0.8357760970466744, 0.8898939619372269]","[0.3705344778095635, 0.42056163155366066]","[0.21930876049732767, 0.2302454807274181]","[0.8, 0.800021721173255]","[0.9999202955804424, 0.9999908287493042]"
ridge,ml,0.9,"[1.6303759912359026, 1.7038905414964547]","[0.8540228234528361, 0.9021277314219455]","[0.19766672586010925, 0.22589842611318664]","[0.1096504223770822, 0.11512242624556575]","[0.9, 0.9000195394678856]","[0.9999989964703974, 0.9999998613299448]"
