method_metric,value,ci_low,ci_high,bootstrap_unit,n_bootstrap,n_scored_events,method,method_label,quantity
traditional_template_fit_secondary_fraction,0.01719134414229251,-0.011335324185296444,0.04540458832439387,source_run_within_current_group,450,9522,traditional_template_fit,Traditional bounded two-pulse template fit,secondary_fraction
traditional_template_fit_overlap_score,0.008541186143238294,-0.028440844081977716,0.04500073341108742,source_run_within_current_group,450,9522,traditional_template_fit,Traditional bounded two-pulse template fit,overlap_score
ridge_secondary_fraction,0.015525515699858506,0.005544403705438472,0.024242168250871228,source_run_within_current_group,450,9522,ridge,Ridge/logistic linear calibration,secondary_fraction
ridge_overlap_score,0.0224329314715137,-0.005459852106516021,0.05342103706007375,source_run_within_current_group,450,9522,ridge,Ridge/logistic linear calibration,overlap_score
gradient_boosted_trees_secondary_fraction,0.006751292300261205,0.0015740217048473152,0.010767754001615207,source_run_within_current_group,450,9522,gradient_boosted_trees,Histogram gradient-boosted trees,secondary_fraction
gradient_boosted_trees_overlap_score,0.019900728104091703,0.00914179540554912,0.029657311178629003,source_run_within_current_group,450,9522,gradient_boosted_trees,Histogram gradient-boosted trees,overlap_score
mlp_secondary_fraction,0.004635357744794651,-0.00564814130120749,0.023957033125175307,source_run_within_current_group,450,9522,mlp,Multilayer perceptron,secondary_fraction
mlp_overlap_score,0.04035977189838772,0.026494223998658768,0.05396572923297383,source_run_within_current_group,450,9522,mlp,Multilayer perceptron,overlap_score
one_d_cnn_secondary_fraction,0.01529336565533287,0.009977811454524456,0.01994095062983056,source_run_within_current_group,450,9522,one_d_cnn,Compact 1D-CNN,secondary_fraction
one_d_cnn_overlap_score,0.052099025345291074,0.03704173057521027,0.06706211176000004,source_run_within_current_group,450,9522,one_d_cnn,Compact 1D-CNN,overlap_score
residual_shape_extratrees_secondary_fraction,0.007815380968571423,0.002054759098221963,0.013071416620954499,source_run_within_current_group,450,9522,residual_shape_extratrees,Residual-shape ExtraTrees ensemble,secondary_fraction
residual_shape_extratrees_overlap_score,0.017262072637250585,0.0012116682969353378,0.03424661460932296,source_run_within_current_group,450,9522,residual_shape_extratrees,Residual-shape ExtraTrees ensemble,overlap_score
