heldout_run,heldout_group,method,method_label,score_threshold_at_fixed_coverage,fixed_positive_coverage,injected_overlap_ap,baseline_control_fpr_at_fixed_coverage,baseline_control_fpr_score50,recovered_time_rms_ns,charge_bias_at_fixed_coverage,charge_res68_at_fixed_coverage,lattice_utility_loss,n_lattice_events,n_baseline_controls
44,high_20nA,gradient_boosted_trees,Histogram gradient-boosted trees,0.8021043345238253,0.8,0.9684014144583775,0.03125,0.140625,13.233026533327735,-0.027937132265246935,0.07750623715949917,0.3649547866329653,640,320
44,high_20nA,mlp,Multilayer perceptron,0.39954127279791507,0.8,0.9131909768554733,0.11875,0.10625,15.995787958492349,-0.04604930752079332,0.14696224922565715,0.7172679293721315,640,320
44,high_20nA,one_d_cnn,Compact 1D-CNN,0.2370194852352141,0.8,0.8853715647862255,0.2625,0.115625,17.885712166967355,-0.05233849287775941,0.08634277046899308,1.001881100647619,640,320
44,high_20nA,residual_shape_extratrees,Residual-shape ExtraTrees ensemble,0.42487795343776147,0.8,0.9203383602548492,0.2,0.13125,17.41128223958531,-0.051117615156665804,0.08974789980048699,0.83816818269712,640,320
44,high_20nA,ridge,Ridge/logistic linear calibration,0.38771688277443495,0.8,0.8252203542444947,0.1875,0.15,20.233481668797047,-0.0400692018630187,0.11372011730033169,0.9564874857788188,640,320
44,high_20nA,traditional_template_fit,Traditional bounded two-pulse template fit,0.0,1.0,0.5456078126759303,1.0,0.315625,,-0.1827317645676755,0.34758145091438886,3.9847054028061337,640,320
45,high_20nA,gradient_boosted_trees,Histogram gradient-boosted trees,0.6123040022444595,0.8,0.9594296793751843,0.053125,0.065625,18.03077498712408,-0.027854957252755747,0.10368725870328477,0.5037472239199072,640,320
45,high_20nA,mlp,Multilayer perceptron,0.45877848464794285,0.8,0.8458060278139097,0.171875,0.140625,19.145155560249865,-0.009143686974184415,0.23705325962916912,0.9834553632925672,640,320
45,high_20nA,one_d_cnn,Compact 1D-CNN,0.19972371160984018,0.8,0.8540982679051972,0.25,0.115625,17.12943194330224,-0.08674915332744484,0.12742892129061187,1.0741977060041374,640,320
45,high_20nA,residual_shape_extratrees,Residual-shape ExtraTrees ensemble,0.41286567186862433,0.8,0.9127938676565657,0.20625,0.053125,18.75444459731545,-0.06622513907991956,0.10963866520739961,0.9100004940971966,640,320
45,high_20nA,ridge,Ridge/logistic linear calibration,0.36427137317849373,0.8,0.7909582550259948,0.2,0.165625,21.780679448285735,-0.04435584544055371,0.13265915958550611,1.0583152431036367,640,320
45,high_20nA,traditional_template_fit,Traditional bounded two-pulse template fit,0.0,1.0,0.5496894155469888,1.0,0.30625,,-0.18878755756699075,0.32393211048784265,3.9630302525078447,640,320
46,low_2nA,gradient_boosted_trees,Histogram gradient-boosted trees,0.9791963588742435,0.8,0.9974304603903249,0.0,0.025,9.725884895724837,-0.00763610305726574,0.047481189294177044,0.17926039315767836,640,320
