check,method,value,flag,note
traditional_template_fit_actual_current_auc_from_overlap_score,traditional_template_fit,0.43173721984557173,False,Flagged if the score nearly identifies beam current by itself.
traditional_template_fit_actual_current_auc_from_secondary_fraction,traditional_template_fit,0.45242785069885005,False,Flagged if the secondary-fraction estimate nearly identifies beam current by itself.
ridge_actual_current_auc_from_overlap_score,ridge,0.5142919331997061,False,Flagged if the score nearly identifies beam current by itself.
ridge_actual_current_auc_from_secondary_fraction,ridge,0.5788069732228464,False,Flagged if the secondary-fraction estimate nearly identifies beam current by itself.
gradient_boosted_trees_actual_current_auc_from_overlap_score,gradient_boosted_trees,0.6234531647751179,False,Flagged if the score nearly identifies beam current by itself.
gradient_boosted_trees_actual_current_auc_from_secondary_fraction,gradient_boosted_trees,0.637435418952041,False,Flagged if the secondary-fraction estimate nearly identifies beam current by itself.
mlp_actual_current_auc_from_overlap_score,mlp,0.6165922802109784,False,Flagged if the score nearly identifies beam current by itself.
mlp_actual_current_auc_from_secondary_fraction,mlp,0.5635611104097996,False,Flagged if the secondary-fraction estimate nearly identifies beam current by itself.
one_d_cnn_actual_current_auc_from_overlap_score,one_d_cnn,0.611982496140342,False,Flagged if the score nearly identifies beam current by itself.
one_d_cnn_actual_current_auc_from_secondary_fraction,one_d_cnn,0.6021870498078151,False,Flagged if the secondary-fraction estimate nearly identifies beam current by itself.
residual_shape_extratrees_actual_current_auc_from_overlap_score,residual_shape_extratrees,0.609432553747865,False,Flagged if the score nearly identifies beam current by itself.
residual_shape_extratrees_actual_current_auc_from_secondary_fraction,residual_shape_extratrees,0.6281513535042201,False,Flagged if the secondary-fraction estimate nearly identifies beam current by itself.
heldout_run_excluded_from_training,all,1.0,False,High-current runs are never in training; low-current controls leave the scored run out.
identifier_features_excluded,all,1.0,False,"Tabular/NN features exclude run, event number, current, group, downstream label, and stratum labels."
synthetic_train_source_runs_exclude_heldout,all,1.0,False,Fold diagnostics record raw source runs used to make synthetic overlays.
