file,path,stack,run,bytes,sha256,entries,trigger_summary,non_beam_trigger_entries,has_trigger_branch,has_run_metadata_branch,filename_token_hit
hrda_run_0000.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0000.root,a,0,5508,6fca844c2c753e659d872d92e71f21bc157eb78840f4c089732165814d54db66,0,empty,0,True,False,False
hrda_run_0001.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0001.root,a,1,5508,5feb92ef0163475261341f8ac0d8eb685ea3a8d54ffff3304fdbbdce1f96f624,0,empty,0,True,False,False
hrda_run_0002.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0002.root,a,2,5508,5fc5076330746bf9ce5cac841dee22617e77fdd1554347d77b6caa7733576ad4,0,empty,0,True,False,False
hrda_run_0003.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0003.root,a,3,5508,971662d9b640fd1079f61164eb9d0030175fa6a6b2283d3f6c51833046a708e2,0,empty,0,True,False,False
hrda_run_0012.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0012.root,a,12,3578244,b76b311989d3f018926c69e7b54416cfe6d64d4e07401560dec289edafc7f3b6,15043,1:15043,0,True,False,False
hrda_run_0013.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0013.root,a,13,12145402,cbb407a2fb5beb7c90bf6ea51d240227a0738425a594802bca6a60e04e399470,51109,1:51109,0,True,False,False
hrda_run_0014.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0014.root,a,14,837346,ab8be41bcaec9d42f265954bec7b4cc585c6ae06238e111d509ed5596c5b1e82,3495,1:3495,0,True,False,False
hrda_run_0015.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0015.root,a,15,24746939,ee6288d430ec70031fe39191a59993885521803a0428da2d7f21756325071c3c,103882,1:103882,0,True,False,False
hrda_run_0016.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0016.root,a,16,2874850,0c25c045141c511785d37cd51ebb40f33b9273f7fcc8a105fbd33e018012769e,11984,1:11984,0,True,False,False
hrda_run_0017.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0017.root,a,17,1365754,38da2637211678d50ad432f725c0b8c22124e1086549ae8f7873349c6cb22508,5670,1:5670,0,True,False,False
hrda_run_0018.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0018.root,a,18,18111007,e490257706a631560bfa944774205af40c78da75a09d6df42144959e1e217528,75391,1:75391,0,True,False,False
hrda_run_0019.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0019.root,a,19,17810450,e4e8e7b6782d63a154f244744f4ea79f83d9ffa42f35a09c42d71f108b12df3d,73816,1:73816,0,True,False,False
hrda_run_0020.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0020.root,a,20,13971057,52c9831547f434171b29c49becde4556d089bb6e3f05c9a268c0b9159864b499,57759,1:57759,0,True,False,False
hrda_run_0021.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0021.root,a,21,5508,af5a0159a5595fe7eb4d22da0449c618ba4825cb6f95b5237980839e317a1c8d,0,empty,0,True,False,False
hrda_run_0022.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0022.root,a,22,5508,b096534ba15bc3aa2375d8a6e22b4c09e39469f847b7ff00d1ff40d72189848c,0,empty,0,True,False,False
hrda_run_0023.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0023.root,a,23,944893,9142fddebec619f78fd19191f4b01614f96ce0ce799efacdcf69a211b50ec4f4,3815,1:3815,0,True,False,False
hrda_run_0024.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0024.root,a,24,6184513,18df8b1021468e6f34314a1aeeb554ae065c67893b51740b539febee7de1ead8,24988,1:24988,0,True,False,False
hrda_run_0025.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0025.root,a,25,828833,6e3b8fe55bd8e353acdd96c3b8bd918816fc948913746d23be8d34ddf56d339e,3315,1:3315,0,True,False,False
hrda_run_0026.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0026.root,a,26,13404039,f632b71c9d406a647f34930cd9b64df6b46f168d1c27172d97fd0b8f919cf1ee,54079,1:54079,0,True,False,False
hrda_run_0027.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0027.root,a,27,8618874,c1a1b4c410cf7f47ca36079fba392ee12a27b001e2f710ffb67c55db43e05159,34986,1:34986,0,True,False,False
hrda_run_0028.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0028.root,a,28,1292921,66aaa1135131d58c5ebee53e4b4ebcd5da04c9cae34ff6378554ccc28c5d297d,5222,1:5222,0,True,False,False
hrda_run_0029.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0029.root,a,29,6393883,a80e4ebffd33cc41b3684a448b4f3772cf40345cb247de6357ff6764dd0a01ee,25873,1:25873,0,True,False,False
hrda_run_0030.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0030.root,a,30,1303672,fc3af114a79eaa4226bff472ece5212c06585314411aefd3f4565e0211b1d19e,5243,1:5243,0,True,False,False
