run,sampled_events,sampled_quiet_fraction,ml_mean_quiet_probability,ml_p95_quiet_probability
12,1000,0.081,0.3634524849915243,0.5052907478567913
13,2618,0.10236822001527884,0.36534841193144874,0.5146462230686674
14,1000,0.101,0.3825004043955152,0.5421879323366704
15,5000,0.097,0.3699598929278698,0.5184281246201412
16,1000,0.11,0.3744368187594102,0.5286025738906596
17,1000,0.104,0.4316408226257925,0.5735973008693416
18,3023,0.10949388025140588,0.4285199698019381,0.5742072117239561
19,3000,0.113,0.29927879600479557,0.5556338764623387
20,3000,0.13233333333333333,0.21856325137482205,0.5134582906165785
23,1000,0.382,0.287468474991483,0.5390467459380278
24,1000,0.36,0.2771632115104139,0.534033349389564
25,1000,0.492,0.5005389656196904,0.7660880494569279
26,3000,0.384,0.4864715899259204,0.764278112045366
27,2000,0.3435,0.49320666349665726,0.7739184346418758
28,1000,0.325,0.32207899007241697,0.5651599332331904
29,1667,0.4391121775644871,0.33103997074262775,0.5596408866385293
30,1000,0.357,0.3226167661441814,0.5563391891497762
31,2000,0.263,0.3076394499612613,0.5688036240172959
32,2000,0.294,0.3146009014326697,0.5648421524505656
33,3000,0.14266666666666666,0.3854517698123076,0.5984750961289657
34,2000,0.1335,0.3782073715786726,0.5913790863068642
35,2000,0.4955,0.39056689009962603,0.6080565520214518
36,1000,0.469,0.38800585703488444,0.6119683256415701
37,2426,0.45919208573784004,0.3824588041477411,0.6086140829023787
39,2000,0.4945,0.3882366327247274,0.6122508804140021
40,2000,0.5025,0.39288276767621827,0.6141647173433734
41,2000,0.4555,0.38415059207665986,0.6092523740526441
42,2000,0.421,0.3716045594368234,0.6129405327649737
43,11,0.5454545454545454,0.4854932285853424,0.6486850213204503
44,1000,0.476,0.3833569953458553,0.6231297476689195
45,2000,0.44,0.36786113420181227,0.6096263406483091
46,1000,0.467,0.3840174786581188,0.6076766559365582
47,1000,0.467,0.3863672089507091,0.6091121125871989
48,2000,0.5165,0.393069753762873,0.6189973717020945
49,2000,0.5,0.3927628133275662,0.6075545945913867
50,2000,0.1705,0.3246082868292177,0.5963510974740865
51,1000,0.244,0.3305115402743971,0.5957594750112843
52,1000,0.264,0.3344937355439096,0.6008595456896837
53,2000,0.162,0.34790779125474053,0.5930020523158827
54,2000,0.152,0.34484655709608536,0.5906140455281474
55,1000,0.244,0.34033790944501763,0.5936833140800618
56,3000,0.194,0.320200455024978,0.5854802108825525
57,2000,0.4805,0.3798251925552247,0.6030873843460742
58,2000,0.487,0.44286408362528995,0.6116119019214962
59,2000,0.605,0.3832877357297765,0.5944588357870199
60,2000,0.6575,0.4160936619307778,0.6038633781582045
61,2000,0.629,0.42144534446988335,0.6041431146457426
62,2000,0.6315,0.40700615212301194,0.6061939101714106
63,2000,0.5345,0.3916190198144586,0.5807984121225009
64,2000,0.6275,0.43819938071119674,0.606825820993967
65,2000,0.6485,0.42781744644146946,0.6037949238786081
