run,run_id,stack,raw_root_present,raw_archive_present,extracted_root_present,sorted_root_present,entries,trigger_summary,non_beam_trigger_entries,has_trigger_branch,root_status,trigger_mode_label,confidence_label,evidence_basis,file,path,bytes,sha256
0,run_0000,a,True,True,True,False,0,empty,0,True,empty_placeholder,empty_placeholder_no_events,high_direct_root_empty,extracted raw ROOT and root.zip member have zero h101 entries,hrda_run_0000.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0000.root,5508,6fca844c2c753e659d872d92e71f21bc157eb78840f4c089732165814d54db66
0,run_0000,b,False,False,False,False,0,,0,False,missing,not_available_in_current_mirror,high_for_absence_in_current_mirror,no extracted raw ROOT row and no root.zip member for this stack/run,,,0,
1,run_0001,a,True,True,True,False,0,empty,0,True,empty_placeholder,empty_placeholder_no_events,high_direct_root_empty,extracted raw ROOT and root.zip member have zero h101 entries,hrda_run_0001.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0001.root,5508,5feb92ef0163475261341f8ac0d8eb685ea3a8d54ffff3304fdbbdce1f96f624
1,run_0001,b,False,False,False,False,0,,0,False,missing,not_available_in_current_mirror,high_for_absence_in_current_mirror,no extracted raw ROOT row and no root.zip member for this stack/run,,,0,
2,run_0002,a,True,True,True,False,0,empty,0,True,empty_placeholder,empty_placeholder_no_events,high_direct_root_empty,extracted raw ROOT and root.zip member have zero h101 entries,hrda_run_0002.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0002.root,5508,5fc5076330746bf9ce5cac841dee22617e77fdd1554347d77b6caa7733576ad4
2,run_0002,b,False,False,False,False,0,,0,False,missing,not_available_in_current_mirror,high_for_absence_in_current_mirror,no extracted raw ROOT row and no root.zip member for this stack/run,,,0,
3,run_0003,a,True,True,True,False,0,empty,0,True,empty_placeholder,empty_placeholder_no_events,high_direct_root_empty,extracted raw ROOT and root.zip member have zero h101 entries,hrda_run_0003.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0003.root,5508,971662d9b640fd1079f61164eb9d0030175fa6a6b2283d3f6c51833046a708e2
3,run_0003,b,False,False,False,False,0,,0,False,missing,not_available_in_current_mirror,high_for_absence_in_current_mirror,no extracted raw ROOT row and no root.zip member for this stack/run,,,0,
4,run_0004,a,False,False,False,False,0,,0,False,missing,not_available_in_current_mirror,high_for_absence_in_current_mirror,no extracted raw ROOT row and no root.zip member for this stack/run,,,0,
4,run_0004,b,False,False,False,False,0,,0,False,missing,not_available_in_current_mirror,high_for_absence_in_current_mirror,no extracted raw ROOT row and no root.zip member for this stack/run,,,0,
5,run_0005,a,False,False,False,False,0,,0,False,missing,not_available_in_current_mirror,high_for_absence_in_current_mirror,no extracted raw ROOT row and no root.zip member for this stack/run,,,0,
5,run_0005,b,False,False,False,False,0,,0,False,missing,not_available_in_current_mirror,high_for_absence_in_current_mirror,no extracted raw ROOT row and no root.zip member for this stack/run,,,0,
6,run_0006,a,False,False,False,False,0,,0,False,missing,not_available_in_current_mirror,high_for_absence_in_current_mirror,no extracted raw ROOT row and no root.zip member for this stack/run,,,0,
6,run_0006,b,False,False,False,False,0,,0,False,missing,not_available_in_current_mirror,high_for_absence_in_current_mirror,no extracted raw ROOT row and no root.zip member for this stack/run,,,0,
7,run_0007,a,False,False,False,False,0,,0,False,missing,not_available_in_current_mirror,high_for_absence_in_current_mirror,no extracted raw ROOT row and no root.zip member for this stack/run,,,0,
7,run_0007,b,False,False,False,False,0,,0,False,missing,not_available_in_current_mirror,high_for_absence_in_current_mirror,no extracted raw ROOT row and no root.zip member for this stack/run,,,0,
8,run_0008,a,False,False,False,False,0,,0,False,missing,not_available_in_current_mirror,high_for_absence_in_current_mirror,no extracted raw ROOT row and no root.zip member for this stack/run,,,0,
8,run_0008,b,False,False,False,False,0,,0,False,missing,not_available_in_current_mirror,high_for_absence_in_current_mirror,no extracted raw ROOT row and no root.zip member for this stack/run,,,0,
9,run_0009,a,False,False,False,False,0,,0,False,missing,not_available_in_current_mirror,high_for_absence_in_current_mirror,no extracted raw ROOT row and no root.zip member for this stack/run,,,0,
9,run_0009,b,False,False,False,False,0,,0,False,missing,not_available_in_current_mirror,high_for_absence_in_current_mirror,no extracted raw ROOT row and no root.zip member for this stack/run,,,0,
10,run_0010,a,False,False,False,False,0,,0,False,missing,not_available_in_current_mirror,high_for_absence_in_current_mirror,no extracted raw ROOT row and no root.zip member for this stack/run,,,0,
10,run_0010,b,False,False,False,False,0,,0,False,missing,not_available_in_current_mirror,high_for_absence_in_current_mirror,no extracted raw ROOT row and no root.zip member for this stack/run,,,0,
11,run_0011,a,False,False,False,False,0,,0,False,missing,not_available_in_current_mirror,high_for_absence_in_current_mirror,no extracted raw ROOT row and no root.zip member for this stack/run,,,0,
11,run_0011,b,False,False,False,False,0,,0,False,missing,not_available_in_current_mirror,high_for_absence_in_current_mirror,no extracted raw ROOT row and no root.zip member for this stack/run,,,0,
12,run_0012,a,True,True,True,True,15043,1:15043,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrda_run_0012.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0012.root,3578244,b76b311989d3f018926c69e7b54416cfe6d64d4e07401560dec289edafc7f3b6
12,run_0012,b,True,True,True,True,14791,1:14791,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrdb_run_0012.root,/home/billy/ccb-data/extracted/root/root/hrdb_run_0012.root,4273035,84f09fe5eabb8f0af30907c82be33dfae19cf1b78d2799ac7141da7e98649cf9
13,run_0013,a,True,True,True,True,51109,1:51109,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrda_run_0013.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0013.root,12145402,cbb407a2fb5beb7c90bf6ea51d240227a0738425a594802bca6a60e04e399470
13,run_0013,b,True,True,True,True,50629,1:50629,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrdb_run_0013.root,/home/billy/ccb-data/extracted/root/root/hrdb_run_0013.root,14618059,197371909cb36ea89946a68ece98137bf49a3e349f9b6839b8b29dc4ba2adaef
14,run_0014,a,True,True,True,True,3495,1:3495,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrda_run_0014.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0014.root,837346,ab8be41bcaec9d42f265954bec7b4cc585c6ae06238e111d509ed5596c5b1e82
14,run_0014,b,True,True,True,True,3479,1:3479,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrdb_run_0014.root,/home/billy/ccb-data/extracted/root/root/hrdb_run_0014.root,1013221,7c9844c61e99f8f62a395218dcacc26e002e6f7d5b9577c78193999ae367721d
15,run_0015,a,True,True,True,True,103882,1:103882,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrda_run_0015.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0015.root,24746939,ee6288d430ec70031fe39191a59993885521803a0428da2d7f21756325071c3c
15,run_0015,b,True,True,True,True,103871,1:103871,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrdb_run_0015.root,/home/billy/ccb-data/extracted/root/root/hrdb_run_0015.root,30026478,a229b6ef8651735b2de0ba40770c497cadfc0203a66b68483c493973eae92b45
16,run_0016,a,True,True,True,True,11984,1:11984,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrda_run_0016.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0016.root,2874850,0c25c045141c511785d37cd51ebb40f33b9273f7fcc8a105fbd33e018012769e
16,run_0016,b,True,True,True,True,11533,1:11533,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrdb_run_0016.root,/home/billy/ccb-data/extracted/root/root/hrdb_run_0016.root,3337504,95be7d907516b8bb0f9b39c2ed8acea42e875ee9abe69bc23d08dcac5cacf89f
17,run_0017,a,True,True,True,True,5670,1:5670,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrda_run_0017.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0017.root,1365754,38da2637211678d50ad432f725c0b8c22124e1086549ae8f7873349c6cb22508
17,run_0017,b,True,True,True,True,5648,1:5648,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrdb_run_0017.root,/home/billy/ccb-data/extracted/root/root/hrdb_run_0017.root,1638803,1d3f22478e067daadaf46e5abd56d855fd051ea96b60c0bbf51309bfee80caa8
18,run_0018,a,True,True,True,True,75391,1:75391,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrda_run_0018.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0018.root,18111007,e490257706a631560bfa944774205af40c78da75a09d6df42144959e1e217528
18,run_0018,b,True,True,True,True,75023,1:75023,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrdb_run_0018.root,/home/billy/ccb-data/extracted/root/root/hrdb_run_0018.root,21681973,860a6ca70cdb62a751904e3386144500b4062a174e54dc92d6f40f2a15509f13
19,run_0019,a,True,True,True,True,73816,1:73816,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrda_run_0019.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0019.root,17810450,e4e8e7b6782d63a154f244744f4ea79f83d9ffa42f35a09c42d71f108b12df3d
19,run_0019,b,True,True,True,True,73470,1:73470,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrdb_run_0019.root,/home/billy/ccb-data/extracted/root/root/hrdb_run_0019.root,21343485,3adb7099d18eb008578f661b5549dea8494d55f822ddc5874ea7a318ae90f388
20,run_0020,a,True,True,True,True,57759,1:57759,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrda_run_0020.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0020.root,13971057,52c9831547f434171b29c49becde4556d089bb6e3f05c9a268c0b9159864b499
20,run_0020,b,True,True,True,True,57388,1:57388,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrdb_run_0020.root,/home/billy/ccb-data/extracted/root/root/hrdb_run_0020.root,16657460,4e270cfa9eb6b2ae7e26c8df7eb93d807dd1e26db5094935e956d60f6c175fa0
21,run_0021,a,True,True,True,True,0,empty,0,True,empty_placeholder,empty_placeholder_no_events,high_direct_root_empty,extracted raw ROOT and root.zip member have zero h101 entries,hrda_run_0021.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0021.root,5508,af5a0159a5595fe7eb4d22da0449c618ba4825cb6f95b5237980839e317a1c8d
21,run_0021,b,True,True,True,True,0,empty,0,True,empty_placeholder,empty_placeholder_no_events,high_direct_root_empty,extracted raw ROOT and root.zip member have zero h101 entries,hrdb_run_0021.root,/home/billy/ccb-data/extracted/root/root/hrdb_run_0021.root,5508,38b898ee1b21d205ffa22f452b3db93f0db452b873733faf101b3cf8ce3cbd26
22,run_0022,a,True,True,True,True,0,empty,0,True,empty_placeholder,empty_placeholder_no_events,high_direct_root_empty,extracted raw ROOT and root.zip member have zero h101 entries,hrda_run_0022.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0022.root,5508,b096534ba15bc3aa2375d8a6e22b4c09e39469f847b7ff00d1ff40d72189848c
22,run_0022,b,True,True,True,True,0,empty,0,True,empty_placeholder,empty_placeholder_no_events,high_direct_root_empty,extracted raw ROOT and root.zip member have zero h101 entries,hrdb_run_0022.root,/home/billy/ccb-data/extracted/root/root/hrdb_run_0022.root,5508,6ab44f4b8c26f8fcd6ca30c2dddebe73d931952f2b666d1bfd68008bdcea0cd2
23,run_0023,a,True,True,True,True,3815,1:3815,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrda_run_0023.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0023.root,944893,9142fddebec619f78fd19191f4b01614f96ce0ce799efacdcf69a211b50ec4f4
23,run_0023,b,True,True,True,True,3806,1:3806,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrdb_run_0023.root,/home/billy/ccb-data/extracted/root/root/hrdb_run_0023.root,1085562,ec7bfad1c22184d21c1b3a90e48e60ffa1aed323593f529f038f3489ad1eea50
24,run_0024,a,True,True,True,True,24988,1:24988,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrda_run_0024.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0024.root,6184513,18df8b1021468e6f34314a1aeeb554ae065c67893b51740b539febee7de1ead8
24,run_0024,b,True,True,True,True,24908,1:24908,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrdb_run_0024.root,/home/billy/ccb-data/extracted/root/root/hrdb_run_0024.root,7084801,892b473418d486354346906d502939db8829edaa40e5f7dd09c71726cb497483
25,run_0025,a,True,True,True,True,3315,1:3315,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrda_run_0025.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0025.root,828833,6e3b8fe55bd8e353acdd96c3b8bd918816fc948913746d23be8d34ddf56d339e
25,run_0025,b,True,True,True,True,3315,1:3315,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrdb_run_0025.root,/home/billy/ccb-data/extracted/root/root/hrdb_run_0025.root,758140,2efd146fc1a059e943ece30b5e73064a75204e9a75c48808471d1574a3f54f1a
26,run_0026,a,True,True,True,True,54079,1:54079,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrda_run_0026.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0026.root,13404039,f632b71c9d406a647f34930cd9b64df6b46f168d1c27172d97fd0b8f919cf1ee
26,run_0026,b,True,True,True,True,53953,1:53953,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrdb_run_0026.root,/home/billy/ccb-data/extracted/root/root/hrdb_run_0026.root,12367441,72c8d6c536fe74cf3a1cf06657613d1b043a846168a758fe3ac021b00b8d6950
27,run_0027,a,True,True,True,True,34986,1:34986,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrda_run_0027.root,/home/billy/ccb-data/extracted/root/root/hrda_run_0027.root,8618874,c1a1b4c410cf7f47ca36079fba392ee12a27b001e2f710ffb67c55db43e05159
27,run_0027,b,True,True,True,True,34979,1:34979,0,True,populated,beam_trigger_only,high_direct_root_trigger,TRIGGER branch present; all populated entries equal beam trigger value,hrdb_run_0027.root,/home/billy/ccb-data/extracted/root/root/hrdb_run_0027.root,8098305,b2b40fa970ef8d3dd3e44d9d71b6e77c740c441bb8429dc7ed6097caf9c92994
