run,selected,sample_rows
31,0,2139
31,1,2644
32,0,2320
32,1,2651
33,0,2470
33,1,4338
34,0,1627
34,1,3038
35,0,1903
35,1,1152
36,0,1387
36,1,1036
37,0,3654
37,1,2570
39,0,2147
39,1,1447
40,0,2371
40,1,1577
41,0,2417
41,1,1640
42,0,2305
42,1,1767
44,0,293
44,1,204
45,0,3385
45,1,2546
46,0,58
46,1,65
47,0,582
47,1,558
48,0,2293
48,1,1502
49,0,2260
49,1,1526
50,0,2182
50,1,3124
51,0,1081
51,1,1379
52,0,541
52,1,636
53,0,1884
53,1,2991
54,0,1770
54,1,2789
55,0,1300
55,1,1644
56,0,2419
56,1,3679
57,0,7903
57,1,3327
58,0,1696
58,1,1774
59,0,2588
59,1,2333
60,0,2267
60,1,1858
61,0,2294
61,1,1966
62,0,2332
62,1,2007
63,0,2069
63,1,1959
64,0,1966
64,1,1600
65,0,7601
65,1,3479
