run,stave,s01b_rows,rebuilt_rows,delta,pass
31,B2,26948,26948,0,True
31,B4,592,592,0,True
31,B6,237,237,0,True
31,B8,94,94,0,True
32,B2,27316,27316,0,True
32,B4,605,605,0,True
32,B6,224,224,0,True
32,B8,95,95,0,True
33,B2,47724,47724,0,True
33,B4,559,559,0,True
33,B6,318,318,0,True
33,B8,136,136,0,True
34,B2,33373,33373,0,True
34,B4,412,412,0,True
34,B6,244,244,0,True
34,B8,89,89,0,True
35,B2,11029,11029,0,True
35,B4,403,403,0,True
35,B6,163,163,0,True
35,B8,72,72,0,True
36,B2,9847,9847,0,True
36,B4,340,340,0,True
36,B6,143,143,0,True
36,B8,61,61,0,True
37,B2,22956,22956,0,True
37,B4,997,997,0,True
37,B6,423,423,0,True
37,B8,161,161,0,True
39,B2,13174,13174,0,True
39,B4,663,663,0,True
39,B6,273,273,0,True
39,B8,108,108,0,True
40,B2,13575,13575,0,True
40,B4,707,707,0,True
40,B6,310,310,0,True
40,B8,116,116,0,True
41,B2,14963,14963,0,True
41,B4,758,758,0,True
41,B6,298,298,0,True
41,B8,127,127,0,True
42,B2,16977,16977,0,True
42,B4,711,711,0,True
42,B6,307,307,0,True
42,B8,117,117,0,True
44,B2,1884,1884,0,True
44,B4,93,93,0,True
44,B6,44,44,0,True
44,B8,17,17,0,True
45,B2,22786,22786,0,True
45,B4,969,969,0,True
45,B6,401,401,0,True
45,B8,177,177,0,True
46,B2,675,675,0,True
46,B4,7,7,0,True
46,B6,3,3,0,True
46,B8,2,2,0,True
47,B2,5116,5116,0,True
47,B4,85,85,0,True
47,B6,50,50,0,True
47,B8,25,25,0,True
48,B2,13044,13044,0,True
48,B4,599,599,0,True
48,B6,245,245,0,True
48,B8,112,112,0,True
49,B2,13779,13779,0,True
49,B4,640,640,0,True
49,B6,281,281,0,True
49,B8,115,115,0,True
50,B2,34088,34088,0,True
50,B4,659,659,0,True
50,B6,330,330,0,True
50,B8,140,140,0,True
51,B2,14200,14200,0,True
51,B4,303,303,0,True
51,B6,177,177,0,True
51,B8,60,60,0,True
52,B2,6893,6893,0,True
52,B4,148,148,0,True
52,B6,76,76,0,True
52,B8,35,35,0,True
53,B2,31225,31225,0,True
53,B4,559,559,0,True
53,B6,296,296,0,True
53,B8,120,120,0,True
54,B2,29493,29493,0,True
54,B4,536,536,0,True
54,B6,298,298,0,True
54,B8,113,113,0,True
55,B2,16735,16735,0,True
55,B4,372,372,0,True
55,B6,199,199,0,True
55,B8,81,81,0,True
56,B2,38730,38730,0,True
56,B4,825,825,0,True
56,B6,421,421,0,True
56,B8,172,172,0,True
57,B2,12774,12774,0,True
57,B4,656,656,0,True
57,B6,273,273,0,True
57,B8,130,130,0,True
58,B2,15791,15791,0,True
58,B4,591,591,0,True
58,B6,285,285,0,True
58,B8,114,114,0,True
59,B2,13565,13565,0,True
59,B4,4527,4527,0,True
59,B6,2366,2366,0,True
59,B8,919,919,0,True
60,B2,9873,9873,0,True
60,B4,4040,4040,0,True
60,B6,2189,2189,0,True
60,B8,927,927,0,True
61,B2,11015,11015,0,True
61,B4,4401,4401,0,True
61,B6,2490,2490,0,True
61,B8,1059,1059,0,True
62,B2,11635,11635,0,True
62,B4,4183,4183,0,True
62,B6,2342,2342,0,True
62,B8,929,929,0,True
63,B2,14566,14566,0,True
63,B4,2645,2645,0,True
63,B6,1153,1153,0,True
63,B8,453,453,0,True
64,B2,11907,11907,0,True
64,B4,1689,1689,0,True
64,B6,763,763,0,True
64,B8,271,271,0,True
65,B2,11768,11768,0,True
65,B4,842,842,0,True
65,B6,323,323,0,True
65,B8,105,105,0,True
