threshold_definition,threshold_label,live_time_source,live_time_label,live_tau_ns,live_tau_ci95_low_ns,live_tau_ci95_high_ns,censored_fraction,analysis_method,source_method,failure_definition,failure_definition_label,required_delay_ns,required_delay_ci95_low_ns,required_delay_ci95_high_ns,timing_bias_ns_at_required_delay,timing_sigma68_ns_at_required_delay,charge_bias_fraction_at_required_delay,charge_res68_fraction_at_required_delay,accepted_event_timing_rms_ns,accepted_event_timing_rms_ci95_low_ns,accepted_event_timing_rms_ci95_high_ns,charge_bias_fraction,charge_bias_ci95_low_fraction,charge_bias_ci95_high_fraction,charge_res68_fraction,charge_res68_ci95_low_fraction,charge_res68_ci95_high_fraction,failure_rate,failure_rate_ci95_low,failure_rate_ci95_high,dominant_limit,operational_tau_ns,operational_tau_ci95_low_ns,operational_tau_ci95_high_ns,rmax_mhz,rmax_ci95_low_mhz,rmax_ci95_high_mhz,definition_sensitivity_slope_mhz_per_ns,within_two_pulse_grid_support
5pct,5%,template_exponential_cross,traditional template exponential crossing,141.0557117938371,139.2608060119394,142.95621711047474,0.9352692958384736,ml,compact_mlp_classifier_regressor,timing_bias1ns_charge_bias20pct,|timing bias| <= 1 ns and |charge bias| <= 20%,20.0,15.0,60.0,0.0775170176868833,5.173478808070508,-0.0120707653824584,0.0582724774045865,9.413916300715876,7.9126245851014385,11.480804820010556,-0.0078653969539085,-0.0165633015521281,0.0025717763626692,0.0839636251419016,0.0758252365136644,0.0910488192965884,0.3233333333333333,0.2866144975288303,0.362397414277684,live_time,141.0557117938371,139.2608060119394,142.95621711047474,2.6939710215733546,2.6581565158956386,2.7286930966593794,-0.019098631223886796,False
5pct,5%,template_exponential_cross,traditional template exponential crossing,141.0557117938371,139.2608060119394,142.95621711047474,0.9352692958384736,ml,compact_mlp_classifier_regressor,timing_bias2ns_charge_bias20pct,|timing bias| <= 2 ns and |charge bias| <= 20%,7.5,7.5,7.5,1.720543493715181,7.9021669354563215,0.0103352283703176,0.0896473172729415,9.413916300715876,7.9126245851014385,11.480804820010556,-0.0078653969539085,-0.0165633015521281,0.0025717763626692,0.0839636251419016,0.0758252365136644,0.0910488192965884,0.3233333333333333,0.2866144975288303,0.362397414277684,live_time,141.0557117938371,139.2608060119394,142.95621711047474,2.6939710215733546,2.6581565158956386,2.7286930966593794,-0.019098631223886796,False
5pct,5%,template_exponential_cross,traditional template exponential crossing,141.0557117938371,139.2608060119394,142.95621711047474,0.9352692958384736,ml,compact_mlp_classifier_regressor,sigma68_8ns_charge_res68_12pct,timing sigma68 <= 8 ns and charge res68 <= 12%,5.0,5.0,5.0,2.0061542930531395,7.18245571312352,0.0272066662165166,0.0750663543401247,9.413916300715876,7.9126245851014385,11.480804820010556,-0.0078653969539085,-0.0165633015521281,0.0025717763626692,0.0839636251419016,0.0758252365136644,0.0910488192965884,0.3233333333333333,0.2866144975288303,0.362397414277684,live_time,141.0557117938371,139.2608060119394,142.95621711047474,2.6939710215733546,2.6581565158956386,2.7286930966593794,-0.019098631223886796,False
5pct,5%,template_exponential_cross,traditional template exponential crossing,141.0557117938371,139.2608060119394,142.95621711047474,0.9352692958384736,ml,compact_mlp_classifier_regressor,combined_planning,bias1/20 plus sigma68/res68 planning cut,20.0,20.0,20.0,0.0775170176868833,5.173478808070508,-0.0120707653824584,0.0582724774045865,9.413916300715876,7.9126245851014385,11.480804820010556,-0.0078653969539085,-0.0165633015521281,0.0025717763626692,0.0839636251419016,0.0758252365136644,0.0910488192965884,0.3233333333333333,0.2866144975288303,0.362397414277684,live_time,141.0557117938371,139.2608060119394,142.95621711047474,2.6939710215733546,2.6581565158956386,2.7286930966593794,-0.019098631223886796,False
5pct,5%,template_exponential_cross,traditional template exponential crossing,141.0557117938371,139.2608060119394,142.95621711047474,0.9352692958384736,traditional,constrained_template_fit,timing_bias1ns_charge_bias20pct,|timing bias| <= 1 ns and |charge bias| <= 20%,60.0,40.0,60.0,-0.414785264712818,5.317698227138216,-0.0620441693574869,0.1117131002561201,13.832357856727976,12.66180049811332,15.03715894943445,-0.0301410377049208,-0.0427684956369275,-0.022900198810098,0.0992363389886935,0.0878238963816404,0.1074442834573917,0.1716666666666666,0.1435689951314951,0.2024140211640211,live_time,141.0557117938371,139.2608060119394,142.95621711047474,2.6939710215733546,2.6581565158956386,2.7286930966593794,-0.019098631223886796,False
5pct,5%,template_exponential_cross,traditional template exponential crossing,141.0557117938371,139.2608060119394,142.95621711047474,0.9352692958384736,traditional,constrained_template_fit,timing_bias2ns_charge_bias20pct,|timing bias| <= 2 ns and |charge bias| <= 20%,40.0,40.0,40.0,-0.1324033790962442,8.065149890292776,-0.0308525037381873,0.0741490404417804,13.832357856727976,12.66180049811332,15.03715894943445,-0.0301410377049208,-0.0427684956369275,-0.022900198810098,0.0992363389886935,0.0878238963816404,0.1074442834573917,0.1716666666666666,0.1435689951314951,0.2024140211640211,live_time,141.0557117938371,139.2608060119394,142.95621711047474,2.6939710215733546,2.6581565158956386,2.7286930966593794,-0.019098631223886796,False
5pct,5%,template_exponential_cross,traditional template exponential crossing,141.0557117938371,139.2608060119394,142.95621711047474,0.9352692958384736,traditional,constrained_template_fit,sigma68_8ns_charge_res68_12pct,timing sigma68 <= 8 ns and charge res68 <= 12%,50.0,50.0,50.0,-1.397252135137812,6.57203377444012,-0.0813032636077086,0.0850998174103659,13.832357856727976,12.66180049811332,15.03715894943445,-0.0301410377049208,-0.0427684956369275,-0.022900198810098,0.0992363389886935,0.0878238963816404,0.1074442834573917,0.1716666666666666,0.1435689951314951,0.2024140211640211,live_time,141.0557117938371,139.2608060119394,142.95621711047474,2.6939710215733546,2.6581565158956386,2.7286930966593794,-0.019098631223886796,False
5pct,5%,template_exponential_cross,traditional template exponential crossing,141.0557117938371,139.2608060119394,142.95621711047474,0.9352692958384736,traditional,constrained_template_fit,combined_planning,bias1/20 plus sigma68/res68 planning cut,60.0,60.0,60.0,-0.414785264712818,5.317698227138216,-0.0620441693574869,0.1117131002561201,13.832357856727976,12.66180049811332,15.03715894943445,-0.0301410377049208,-0.0427684956369275,-0.022900198810098,0.0992363389886935,0.0878238963816404,0.1074442834573917,0.1716666666666666,0.1435689951314951,0.2024140211640211,live_time,141.0557117938371,139.2608060119394,142.95621711047474,2.6939710215733546,2.6581565158956386,2.7286930966593794,-0.019098631223886796,False
5pct,5%,censored_exponential,traditional censored exponential mean,2832.9805505812237,2030.4246954846883,3646.838929815533,0.9352692958384736,ml,compact_mlp_classifier_regressor,timing_bias1ns_charge_bias20pct,|timing bias| <= 1 ns and |charge bias| <= 20%,20.0,15.0,60.0,0.0775170176868833,5.173478808070508,-0.0120707653824584,0.0582724774045865,9.413916300715876,7.9126245851014385,11.480804820010556,-0.0078653969539085,-0.0165633015521281,0.0025717763626692,0.0839636251419016,0.0758252365136644,0.0910488192965884,0.3233333333333333,0.2866144975288303,0.362397414277684,live_time,2832.9805505812237,2030.4246954846883,3646.838929815533,0.13413434833572646,0.10419983095311024,0.18715296403016274,-4.7347430009078955e-05,False
5pct,5%,censored_exponential,traditional censored exponential mean,2832.9805505812237,2030.4246954846883,3646.838929815533,0.9352692958384736,ml,compact_mlp_classifier_regressor,timing_bias2ns_charge_bias20pct,|timing bias| <= 2 ns and |charge bias| <= 20%,7.5,7.5,7.5,1.720543493715181,7.9021669354563215,0.0103352283703176,0.0896473172729415,9.413916300715876,7.9126245851014385,11.480804820010556,-0.0078653969539085,-0.0165633015521281,0.0025717763626692,0.0839636251419016,0.0758252365136644,0.0910488192965884,0.3233333333333333,0.2866144975288303,0.362397414277684,live_time,2832.9805505812237,2030.4246954846883,3646.838929815533,0.13413434833572646,0.10419983095311024,0.18715296403016274,-4.7347430009078955e-05,False
