live_time_source,analysis_method,min_rmax_mhz,max_rmax_mhz,median_rmax_mhz,min_operational_tau_ns,max_operational_tau_ns,live_time_dominates_fraction,within_two_pulse_grid_fraction
censored_exponential,ml,0.13413434833572646,0.5500134815941982,0.2244237687621511,690.8921557678568,2832.9805505812237,1.0,0.0
censored_exponential,traditional,0.13413434833572646,0.5500134815941982,0.2244237687621511,690.8921557678568,2832.9805505812237,1.0,0.0
ml_ipcw_aft,ml,0.9367058515265033,2.983264527444447,2.0476751129334025,127.37723943156972,405.676978937126,1.0,0.0
ml_ipcw_aft,traditional,0.9367058515265033,2.983264527444447,2.0476751129334025,127.37723943156972,405.676978937126,1.0,0.0
template_exponential_cross,ml,2.3575634953452456,3.73041983539769,2.8695411637805206,101.86521002119034,161.18335762759685,1.0,0.0
template_exponential_cross,traditional,2.3575634953452456,3.73041983539769,2.8695411637805206,101.86521002119034,161.18335762759685,1.0,0.0
