threshold_definition,threshold_label,live_time_source,live_time_label,live_tau_ns,live_tau_ci95_low_ns,live_tau_ci95_high_ns,censored_fraction
5pct,5%,template_exponential_cross,traditional template exponential crossing,141.0557117938371,139.2608060119394,142.95621711047474,0.9352692958384736
5pct,5%,censored_exponential,traditional censored exponential mean,2832.9805505812237,2030.4246954846883,3646.838929815533,0.9352692958384736
5pct,5%,ml_ipcw_aft,ML IPCW AFT mean,192.59764957922656,187.739433492172,197.669336498805,0.9352692958384736
10pct,10%,template_exponential_cross,traditional template exponential crossing,124.79018394263473,123.34907890309188,126.3128510727213,0.8630373869324725
10pct,10%,censored_exponential,traditional censored exponential mean,1357.2395240902038,934.582143645324,1801.0678371308938,0.8630373869324725
10pct,10%,ml_ipcw_aft,ML IPCW AFT mean,179.0489111795885,172.84015384640838,185.25607562492496,0.8630373869324725
20pct,20%,template_exponential_cross,traditional template exponential crossing,101.86521002119034,100.90676316079998,102.84904960671788,0.7388853651837736
20pct,20%,censored_exponential,traditional censored exponential mean,690.8921557678568,468.4433871136639,920.7977049285298,0.7388853651837736
20pct,20%,ml_ipcw_aft,ML IPCW AFT mean,127.37723943156972,119.62269018032671,135.5748945830021,0.7388853651837736
noise_floor,noise floor,template_exponential_cross,traditional template exponential crossing,161.18335762759685,158.95884149353788,163.5877869164058,0.9235921476515752
noise_floor,noise floor,censored_exponential,traditional censored exponential mean,2250.2852529798265,1614.6659463471394,2865.2378603374104,0.9235921476515752
noise_floor,noise floor,ml_ipcw_aft,ML IPCW AFT mean,405.676978937126,393.6345305626292,418.1219131816349,0.9235921476515752
