granularity,dimension,stratum,stave,method,sigma68_ci_low_ns,sigma68_ci_high_ns,pull_width68,pull_width68_ci_low,pull_width68_ci_high,n,bias_ns,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt3ns,tail_frac_abs_gt5ns,tail_frac_abs_gt8ns
single_stave,all,all,B4,ml,1.286252964946108,1.4523413119090545,0.4734681552919743,0.4249250923768237,0.5300620094592798,3820,-3.176782053311576,-3.2733638450113958,1.3979946282265123,2.441371759609595,0.06727748691099476,0.017277486910994764,0.011780104712041885
single_stave,all,all,B6,ml,1.2466537602860925,1.3929311808247629,0.39198549055557824,0.34848951358955826,0.41623584805699093,3820,2.357933292672827,2.4333858709477063,1.3197859680470425,1.8434081091745735,0.04554973821989529,0.013089005235602094,0.006544502617801047
single_stave,all,all,B8,ml,1.3475931885119514,1.4819097235178202,0.5471975912489893,0.517664649750428,0.5673396561711914,3820,0.8188487606387483,0.7862198131734495,1.4250970196532422,2.2936089749700317,0.06963350785340314,0.020418848167539267,0.00968586387434555
single_stave,all,all,B4,traditional,0.8846600464780623,1.1961639413529233,,,,3820,2.0206128335529816,1.9574374008728093,1.067582440158593,2.399719233148925,0.048167539267015703,0.016230366492146597,0.011780104712041885
single_stave,all,all,B6,traditional,0.8392135104823716,1.0244999001604702,,,,3820,-1.2418446503677227,-1.1506073153378082,0.9555712352976036,1.7168892309439885,0.032984293193717276,0.013612565445026177,0.007853403141361256
single_stave,all,all,B8,traditional,0.8085409896183245,1.0213542019469422,,,,3820,-0.7787681831852585,-0.8296924665124408,0.9400591204857187,2.1328096398633214,0.03848167539267016,0.015706806282722512,0.009424083769633508
single_stave,amplitude_bin,"amp_adc[1000,1500)",B4,ml,1.423678645272833,2.197956459703575,0.3689982250751562,0.3172557637294075,0.4809115454664473,343,-2.55072862044127,-2.1492827264787167,1.7038177143803646,2.4782272919651116,0.10495626822157435,0.023323615160349854,0.011661807580174927
single_stave,amplitude_bin,"amp_adc[1000,1500)",B6,ml,0.9667240085583434,1.5084737884702621,0.36713329922482607,0.2878000460153164,0.46085542127044926,188,3.2088992727355263,3.2919740472209043,1.3020468498985285,1.737106047896432,0.031914893617021274,0.005319148936170213,0.005319148936170213
single_stave,amplitude_bin,"amp_adc[1000,1500)",B8,ml,1.2422987662386982,2.0323526563745435,0.3347731464825116,0.28102135111162124,0.5025067610365953,94,2.8562360811291945,2.8525896078213435,1.4897657295456563,4.700531072856912,0.1276595744680851,0.05319148936170213,0.0425531914893617
single_stave,amplitude_bin,"amp_adc[1000,1500)",B4,traditional,0.32304058736949437,0.6875535287080492,,,,343,2.1137759113816257,2.2978032338624246,0.3987003128246669,1.981204359107984,0.03206997084548105,0.008746355685131196,0.008746355685131196
