run,event_id,pair,method,residual_ns,pull,amplitude_bin,charge_bin,peak_sample_bin,saturation_flag,p09_anomaly_class
58,58:391631:10103:2692,B4-B6,traditional,3.0628201975748937,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_9,False,unassigned_common
58,58:391631:10103:2692,B4-B8,traditional,1.374602258190606,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_9,False,unassigned_common
58,58:391631:10103:2692,B6-B8,traditional,-1.6882179393842875,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_8,False,unassigned_common
58,58:391841:10300:2900,B4-B6,traditional,2.104074646181587,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_13,False,unassigned_common
58,58:391841:10300:2900,B4-B8,traditional,1.5827734510304055,,"amp_adc[4000,7000)","charge[14000,24000)",peakmax_12,False,unassigned_common
58,58:391841:10300:2900,B6-B8,traditional,-0.5213011951511817,,"amp_adc[4000,7000)","charge[14000,24000)",peakmax_13,False,unassigned_common
58,58:392066:10514:3123,B4-B6,traditional,4.088527445569881,,"amp_adc[1500,2500)","charge[14000,24000)",peakmax_8,False,unassigned_common
58,58:392066:10514:3123,B4-B8,traditional,4.762614134101902,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_8,False,unassigned_common
58,58:392066:10514:3123,B6-B8,traditional,0.6740866885320216,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_8,False,unassigned_common
58,58:392204:10642:3261,B4-B6,traditional,3.147648324953039,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_10,False,unassigned_common
58,58:392204:10642:3261,B4-B8,traditional,1.0191510885691883,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_10,False,unassigned_common
58,58:392204:10642:3261,B6-B8,traditional,-2.1284972363838506,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_8,False,unassigned_common
58,58:392294:10722:3348,B4-B6,traditional,4.241258934025794,,"amp_adc[1000,1500)","charge[8000,14000)",peakmax_9,False,unassigned_common
58,58:392294:10722:3348,B4-B8,traditional,3.1064415592718007,,"amp_adc[1500,2500)","charge[14000,24000)",peakmax_9,False,unassigned_common
58,58:392294:10722:3348,B6-B8,traditional,-1.1348173747539931,,"amp_adc[1500,2500)","charge[14000,24000)",peakmax_9,False,unassigned_common
58,58:392636:11042:3687,B4-B6,traditional,0.7221034149159493,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_10,False,unassigned_common
58,58:392636:11042:3687,B4-B8,traditional,1.146013878734351,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_9,False,unassigned_common
58,58:392636:11042:3687,B6-B8,traditional,0.4239104638184017,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_10,False,unassigned_common
58,58:393248:11615:4294,B4-B6,traditional,2.10937942410861,,"amp_adc[1500,2500)","charge[8000,14000)",peakmax_16,False,novel_delayed_peak
58,58:393248:11615:4294,B4-B8,traditional,1.8443300008536028,,"amp_adc[2500,4000)","charge[8000,14000)",peakmax_16,False,novel_delayed_peak
58,58:393248:11615:4294,B6-B8,traditional,-0.26504942325500735,,"amp_adc[2500,4000)","charge[8000,14000)",peakmax_16,False,novel_delayed_peak
58,58:394656:12923:5698,B4-B6,traditional,2.743924679878333,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_11,False,unassigned_common
58,58:394656:12923:5698,B4-B8,traditional,-0.08342501602862029,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_11,False,unassigned_common
58,58:394656:12923:5698,B6-B8,traditional,-2.8273496959069533,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_9,False,unassigned_common
58,58:394684:12945:5726,B4-B6,traditional,2.0792712558589557,,"amp_adc[1500,2500)","charge[14000,24000)",peakmax_5,False,unassigned_common
58,58:394684:12945:5726,B4-B8,traditional,2.0426386147505156,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_4,False,unassigned_common
58,58:394684:12945:5726,B6-B8,traditional,-0.03663264110844011,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_5,False,unassigned_common
58,58:394786:13037:5828,B4-B6,traditional,2.1120725274845995,,"amp_adc[1500,2500)","charge[4000,8000)",peakmax_17,False,novel_delayed_peak
58,58:394786:13037:5828,B4-B8,traditional,1.9563507954662214,,"amp_adc[1000,1500)","charge[1000,4000)",peakmax_17,False,novel_delayed_peak
58,58:394786:13037:5828,B6-B8,traditional,-0.15572173201837813,,"amp_adc[1500,2500)","charge[1000,4000)",peakmax_17,False,novel_delayed_peak
58,58:394965:13201:6007,B4-B6,traditional,1.0438888301060274,,"amp_adc[1500,2500)","charge[8000,14000)",peakmax_8,False,unassigned_common
58,58:394965:13201:6007,B4-B8,traditional,2.2977623963869647,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_8,False,unassigned_common
58,58:394965:13201:6007,B6-B8,traditional,1.2538735662809373,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_8,False,unassigned_common
58,58:395467:13673:6509,B4-B6,traditional,3.2105303866880845,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_10,False,unassigned_common
58,58:395467:13673:6509,B4-B8,traditional,3.729974855080229,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_10,False,unassigned_common
58,58:395467:13673:6509,B6-B8,traditional,0.5194444683921446,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_8,False,unassigned_common
58,58:396978:15063:8018,B4-B6,traditional,1.6101591424066513,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_11,False,unassigned_common
58,58:396978:15063:8018,B4-B8,traditional,1.4326080314301919,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_11,False,unassigned_common
58,58:396978:15063:8018,B6-B8,traditional,-0.17755111097645937,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_9,False,unassigned_common
58,58:398418:42:9453,B4-B6,traditional,2.015500197894603,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_8,False,unassigned_common
58,58:398418:42:9453,B4-B8,traditional,0.7289271804707838,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_8,False,unassigned_common
58,58:398418:42:9453,B6-B8,traditional,-1.2865730174238195,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_8,False,unassigned_common
58,58:398580:196:9615,B4-B6,traditional,2.2787975365313855,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_11,False,unassigned_common
58,58:398580:196:9615,B4-B8,traditional,2.343456598680106,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_10,False,unassigned_common
58,58:398580:196:9615,B6-B8,traditional,0.06465906214872064,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_11,False,unassigned_common
58,58:399270:859:10304,B4-B6,traditional,1.944661295314475,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_11,False,unassigned_common
58,58:399270:859:10304,B4-B8,traditional,2.1424531414353254,,"amp_adc[1500,2500)","charge[8000,14000)",peakmax_12,False,unassigned_common
58,58:399270:859:10304,B6-B8,traditional,0.19779184612085032,,"amp_adc[1500,2500)","charge[14000,24000)",peakmax_12,False,unassigned_common
58,58:399602:1163:10635,B4-B6,traditional,2.1048278921504533,,"amp_adc[1500,2500)","charge[8000,14000)",peakmax_11,False,unassigned_common
58,58:399602:1163:10635,B4-B8,traditional,2.100404556881159,,"amp_adc[1500,2500)","charge[14000,24000)",peakmax_11,False,unassigned_common
58,58:399602:1163:10635,B6-B8,traditional,-0.004423335269294171,,"amp_adc[1500,2500)","charge[14000,24000)",peakmax_11,False,unassigned_common
58,58:399989:1517:11021,B4-B6,traditional,1.7645280764024989,,"amp_adc[1000,1500)","charge[8000,14000)",peakmax_12,False,unassigned_common
58,58:399989:1517:11021,B4-B8,traditional,2.067560595231626,,"amp_adc[1500,2500)","charge[14000,24000)",peakmax_14,False,novel_delayed_peak
58,58:399989:1517:11021,B6-B8,traditional,0.3030325188291272,,"amp_adc[1500,2500)","charge[8000,14000)",peakmax_14,False,novel_delayed_peak
58,58:400792:2281:11821,B4-B6,traditional,-19.53317094421434,,"amp_adc[1500,2500)","charge[8000,14000)",peakmax_9,False,dropout
58,58:400792:2281:11821,B4-B8,traditional,-22.7724232974957,,"amp_adc[1500,2500)","charge[8000,14000)",peakmax_10,False,dropout
58,58:400792:2281:11821,B6-B8,traditional,-3.2392523532813584,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_10,False,unassigned_common
58,58:401022:2495:12051,B4-B6,traditional,2.1579818563246533,,"amp_adc[1500,2500)","charge[14000,24000)",peakmax_6,False,unassigned_common
58,58:401022:2495:12051,B4-B8,traditional,2.0850856022537414,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_8,False,unassigned_common
58,58:401022:2495:12051,B6-B8,traditional,-0.07289625407091194,,"amp_adc[1500,2500)","charge[14000,24000)",peakmax_8,False,unassigned_common
58,58:401083:2548:12110,B4-B6,traditional,-0.875741580719442,,"amp_adc[1500,2500)","charge[14000,24000)",peakmax_9,False,unassigned_common
58,58:401083:2548:12110,B4-B8,traditional,-2.2079646059238627,,"amp_adc[1500,2500)","charge[8000,14000)",peakmax_10,False,unassigned_common
58,58:401083:2548:12110,B6-B8,traditional,-1.3322230252044207,,"amp_adc[1500,2500)","charge[8000,14000)",peakmax_10,False,unassigned_common
58,58:401283:2737:12310,B4-B6,traditional,2.0760996896019037,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_9,False,unassigned_common
58,58:401283:2737:12310,B4-B8,traditional,1.3435427186781226,,"amp_adc[1500,2500)","charge[14000,24000)",peakmax_10,False,unassigned_common
58,58:401283:2737:12310,B6-B8,traditional,-0.7325569709237811,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_10,False,unassigned_common
58,58:401498:2943:12525,B4-B6,traditional,3.085589528477115,,"amp_adc[1500,2500)","charge[14000,24000)",peakmax_7,False,unassigned_common
58,58:401498:2943:12525,B4-B8,traditional,2.680606437697378,,"amp_adc[4000,7000)","charge[24000,40000)",peakmax_7,False,unassigned_common
58,58:401498:2943:12525,B6-B8,traditional,-0.40498309077973715,,"amp_adc[4000,7000)","charge[24000,40000)",peakmax_7,False,unassigned_common
58,58:401532:2974:12559,B4-B6,traditional,1.07032391107996,,"amp_adc[1500,2500)","charge[14000,24000)",peakmax_9,False,unassigned_common
58,58:401532:2974:12559,B4-B8,traditional,1.9522261675612853,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_8,False,unassigned_common
58,58:401532:2974:12559,B6-B8,traditional,0.8819022564813253,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_9,False,unassigned_common
58,58:401733:3159:12760,B4-B6,traditional,1.9646151757302448,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_7,False,unassigned_common
58,58:401733:3159:12760,B4-B8,traditional,2.257053550507628,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_7,False,unassigned_common
58,58:401733:3159:12760,B6-B8,traditional,0.2924383747773831,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_7,False,unassigned_common
58,58:402308:3701:13332,B4-B6,traditional,2.446424988651472,,"amp_adc[1000,1500)","charge[4000,8000)",peakmax_5,False,unassigned_common
58,58:402308:3701:13332,B4-B8,traditional,2.3952084337282145,,"amp_adc[1000,1500)","charge[4000,8000)",peakmax_5,False,unassigned_common
58,58:402308:3701:13332,B6-B8,traditional,-0.05121655492325772,,"amp_adc[1000,1500)","charge[4000,8000)",peakmax_5,False,unassigned_common
58,58:402542:3915:13565,B4-B6,traditional,2.094725393540486,,"amp_adc[1500,2500)","charge[8000,14000)",peakmax_12,False,unassigned_common
58,58:402542:3915:13565,B4-B8,traditional,2.1026616215919915,,"amp_adc[1500,2500)","charge[14000,24000)",peakmax_12,False,unassigned_common
58,58:402542:3915:13565,B6-B8,traditional,0.007936228051505623,,"amp_adc[1500,2500)","charge[14000,24000)",peakmax_12,False,unassigned_common
58,58:402594:3966:13616,B4-B6,traditional,2.1390093641377064,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_12,False,unassigned_common
58,58:402594:3966:13616,B4-B8,traditional,1.8013119782485774,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_12,False,unassigned_common
58,58:402594:3966:13616,B6-B8,traditional,-0.337697385889129,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_11,False,unassigned_common
58,58:402626:3997:13647,B4-B6,traditional,2.0592452186913732,,"amp_adc[1500,2500)","charge[14000,24000)",peakmax_5,False,unassigned_common
58,58:402626:3997:13647,B4-B8,traditional,1.5292797927651307,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_5,False,unassigned_common
58,58:402626:3997:13647,B6-B8,traditional,-0.5299654259262425,,"amp_adc[2500,4000)","charge[24000,40000)",peakmax_5,False,unassigned_common
58,58:402712:4076:13733,B4-B6,traditional,1.8644784983920601,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_13,False,unassigned_common
58,58:402712:4076:13733,B4-B8,traditional,2.1024200136554754,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_13,False,unassigned_common
58,58:402712:4076:13733,B6-B8,traditional,0.23794151526341523,,"amp_adc[2500,4000)","charge[14000,24000)",peakmax_13,False,unassigned_common
58,58:403406:4719:14427,B4-B6,traditional,2.0237485783147804,,"amp_adc[1500,2500)","charge[1000,4000)",peakmax_17,False,novel_delayed_peak
58,58:403406:4719:14427,B4-B8,traditional,1.4046642115157795,,"amp_adc[2500,4000)","charge[4000,8000)",peakmax_17,False,novel_delayed_peak
