granularity,dimension,stratum,pair,traditional_sigma68_ns,ml_sigma68_ns,ml_minus_traditional_sigma68_ns,method
pairwise,all,all,B4-B6,1.196986056387738,1.5313569904049165,0.33437093401717854,ml_minus_traditional
pairwise,all,all,B4-B8,1.2029419536997898,1.644583140338673,0.4416411866388832,ml_minus_traditional
pairwise,all,all,B6-B8,1.023596727955002,1.5815530476808117,0.5579563197258097,ml_minus_traditional
pairwise,amplitude_bin,"amp_adc[1000,1500)",B4-B6,0.519819663907309,1.7801405786453575,1.2603209147380485,ml_minus_traditional
pairwise,amplitude_bin,"amp_adc[1000,1500)",B4-B8,0.5776794892906186,2.231150466442961,1.6534709771523426,ml_minus_traditional
pairwise,amplitude_bin,"amp_adc[1000,1500)",B6-B8,0.7534555137001537,1.3940291730888805,0.6405736593887268,ml_minus_traditional
pairwise,amplitude_bin,"amp_adc[1500,2500)",B4-B6,1.0963612487346412,1.5180774073267898,0.4217161585921485,ml_minus_traditional
pairwise,amplitude_bin,"amp_adc[1500,2500)",B4-B8,1.0338773932849425,1.848526979300678,0.8146495860157354,ml_minus_traditional
pairwise,amplitude_bin,"amp_adc[1500,2500)",B6-B8,0.9053421224466771,1.6642199950243979,0.7588778725777208,ml_minus_traditional
pairwise,amplitude_bin,"amp_adc[2500,4000)",B4-B6,1.2816384631446311,1.460869138027007,0.17923067488237576,ml_minus_traditional
pairwise,amplitude_bin,"amp_adc[2500,4000)",B4-B8,1.170081256499019,1.4725513666456567,0.3024701101466376,ml_minus_traditional
pairwise,amplitude_bin,"amp_adc[2500,4000)",B6-B8,0.9944885471779848,1.4959545924066884,0.5014660452287035,ml_minus_traditional
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B6,8.23939498324394,9.232539289698348,0.9931443064544077,ml_minus_traditional
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B8,2.3959588863521013,2.8625987994278974,0.4666399130757961,ml_minus_traditional
pairwise,amplitude_bin,"amp_adc[4000,7000)",B6-B8,1.810790456697787,1.9981932992261027,0.18740284252831563,ml_minus_traditional
pairwise,charge_bin,"charge[1000,4000)",B4-B6,0.23247249179382512,0.7357000625058632,0.503227570712038,ml_minus_traditional
pairwise,charge_bin,"charge[1000,4000)",B4-B8,0.08808290217071568,1.6411064688517851,1.5530235666810694,ml_minus_traditional
