row_index,run,event_id,stave,method,residual_ns,pull,amplitude_bin,charge_bin,peak_sample_bin,saturation_flag,p09_anomaly_class
0,58,58:391631:10103:2692,B4,traditional,2.21871122788275,,"amp_adc[2500,4000)","charge[14000,24000)",peak_9,False,unassigned_common
1,58,58:391631:10103:2692,B6,traditional,-2.3755190684795906,,"amp_adc[2500,4000)","charge[14000,24000)",peak_8,False,unassigned_common
2,58,58:391631:10103:2692,B8,traditional,0.15680784059684072,,"amp_adc[2500,4000)","charge[24000,40000)",peak_8,False,unassigned_common
3,58,58:391841:10300:2900,B4,traditional,1.8434240486059963,,"amp_adc[2500,4000)","charge[14000,24000)",peak_12,False,unassigned_common
4,58,58:391841:10300:2900,B6,traditional,-1.3126879206663773,,"amp_adc[2500,4000)","charge[14000,24000)",peak_13,False,unassigned_common
5,58,58:391841:10300:2900,B8,traditional,-0.5307361279396048,,"amp_adc[4000,7000)","charge[24000,40000)",peak_12,False,unassigned_common
6,58,58:392066:10514:3123,B4,traditional,4.425570789835895,,"amp_adc[1500,2500)","charge[14000,24000)",peak_8,False,unassigned_common
7,58,58:392066:10514:3123,B6,traditional,-1.707220378518933,,"amp_adc[1500,2500)","charge[14000,24000)",peak_8,False,unassigned_common
8,58,58:392066:10514:3123,B8,traditional,-2.718350411316962,,"amp_adc[4000,7000)","charge[40000,80000)",peak_7,False,unassigned_common
9,58,58:392204:10642:3261,B4,traditional,2.0833997067611136,,"amp_adc[2500,4000)","charge[24000,40000)",peak_10,False,unassigned_common
10,58,58:392204:10642:3261,B6,traditional,-2.6380727806684448,,"amp_adc[2500,4000)","charge[14000,24000)",peak_8,False,unassigned_common
11,58,58:392204:10642:3261,B8,traditional,0.5546730739073311,,"amp_adc[2500,4000)","charge[24000,40000)",peak_7,False,unassigned_common
12,58,58:392294:10722:3348,B4,traditional,3.6738502466487972,,"amp_adc[1500,2500)","charge[8000,14000)",peak_9,False,unassigned_common
13,58,58:392294:10722:3348,B6,traditional,-2.6880381543898935,,"amp_adc[1000,1500)","charge[4000,8000)",peak_9,False,unassigned_common
14,58,58:392294:10722:3348,B8,traditional,-0.9858120922589038,,"amp_adc[2500,4000)","charge[14000,24000)",peak_9,False,unassigned_common
15,58,58:392636:11042:3687,B4,traditional,0.9340586468251502,,"amp_adc[4000,7000)","charge[24000,40000)",peak_8,False,unassigned_common
16,58,58:392636:11042:3687,B6,traditional,-0.1490964755487738,,"amp_adc[2500,4000)","charge[14000,24000)",peak_10,False,unassigned_common
17,58,58:392636:11042:3687,B8,traditional,-0.7849621712763764,,"amp_adc[2500,4000)","charge[24000,40000)",peak_9,False,unassigned_common
18,58,58:393248:11615:4294,B4,traditional,1.9768547124810993,,"amp_adc[1500,2500)","charge[8000,14000)",peak_16,False,novel_delayed_peak
19,58,58:393248:11615:4294,B6,traditional,-1.1872144236818087,,"amp_adc[1500,2500)","charge[8000,14000)",peak_16,False,novel_delayed_peak
20,58,58:393248:11615:4294,B8,traditional,-0.7896402887992906,,"amp_adc[2500,4000)","charge[8000,14000)",peak_15,False,novel_delayed_peak
