granularity,dimension,stratum,stave,traditional_sigma68_ns,ml_sigma68_ns,ml_minus_traditional_sigma68_ns,method
single_stave,all,all,B4,1.067582440158593,1.3979946282265123,0.3304121880679194,ml_minus_traditional
single_stave,all,all,B6,0.9555712352976036,1.3197859680470425,0.36421473274943894,ml_minus_traditional
single_stave,all,all,B8,0.9400591204857187,1.4250970196532422,0.4850378991675235,ml_minus_traditional
single_stave,amplitude_bin,"amp_adc[1000,1500)",B4,0.3987003128246669,1.7038177143803646,1.3051174015556977,ml_minus_traditional
single_stave,amplitude_bin,"amp_adc[1000,1500)",B6,0.9213995012874083,1.3020468498985285,0.38064734861112015,ml_minus_traditional
single_stave,amplitude_bin,"amp_adc[1000,1500)",B8,1.0116056388717323,1.4897657295456563,0.47816009067392407,ml_minus_traditional
single_stave,amplitude_bin,"amp_adc[1500,2500)",B4,1.012209702635942,1.2142068581786898,0.20199715554274777,ml_minus_traditional
single_stave,amplitude_bin,"amp_adc[1500,2500)",B6,0.9520242386801882,1.2708237905598474,0.31879955187965925,ml_minus_traditional
single_stave,amplitude_bin,"amp_adc[1500,2500)",B8,0.880702600959794,1.4080460980667628,0.5273434971069688,ml_minus_traditional
single_stave,amplitude_bin,"amp_adc[2500,4000)",B4,1.1848984371735523,1.395091944463118,0.21019350728956576,ml_minus_traditional
single_stave,amplitude_bin,"amp_adc[2500,4000)",B6,0.9462519297596957,1.2251818217925625,0.2789298920328668,ml_minus_traditional
single_stave,amplitude_bin,"amp_adc[2500,4000)",B8,0.85617167876837,1.3073039058865736,0.45113222711820367,ml_minus_traditional
single_stave,amplitude_bin,"amp_adc[4000,7000)",B4,8.027817902393108,8.265215337006037,0.2373974346129284,ml_minus_traditional
single_stave,amplitude_bin,"amp_adc[4000,7000)",B6,4.182809252930237,4.095770805567442,-0.08703844736279542,ml_minus_traditional
single_stave,amplitude_bin,"amp_adc[4000,7000)",B8,1.2596035315009562,1.3949727320933647,0.13536920059240853,ml_minus_traditional
single_stave,amplitude_bin,"amp_adc[7000,12000)",B4,0.0,0.0,0.0,ml_minus_traditional
single_stave,amplitude_bin,"amp_adc[7000,12000)",B8,2.8836092569207734,3.5289207009847416,0.6453114440639682,ml_minus_traditional
single_stave,charge_bin,"charge[1000,4000)",B4,0.1766177243427689,0.9447486474455877,0.7681309231028188,ml_minus_traditional
single_stave,charge_bin,"charge[1000,4000)",B6,0.27845488299319554,0.8826447398103445,0.604189856817149,ml_minus_traditional
single_stave,charge_bin,"charge[1000,4000)",B8,0.1414796215272156,1.4273301450142988,1.2858505234870832,ml_minus_traditional
single_stave,charge_bin,"charge[14000,24000)",B4,1.2014847245045834,1.3530455527163352,0.15156082821175176,ml_minus_traditional
single_stave,charge_bin,"charge[14000,24000)",B6,1.041963683760553,1.254005387738438,0.21204170397788502,ml_minus_traditional
single_stave,charge_bin,"charge[14000,24000)",B8,0.8410918571692747,1.380478846769833,0.5393869896005583,ml_minus_traditional
single_stave,charge_bin,"charge[24000,40000)",B4,1.3510944787428565,1.637501500604858,0.2864070218620016,ml_minus_traditional
single_stave,charge_bin,"charge[24000,40000)",B6,1.0857291332694425,1.2717923239687867,0.18606319069934418,ml_minus_traditional
single_stave,charge_bin,"charge[24000,40000)",B8,0.9009632226890368,1.2430181951462638,0.34205497245722694,ml_minus_traditional
single_stave,charge_bin,"charge[4000,8000)",B4,0.30429919302529895,1.3257191619746476,1.0214199689493486,ml_minus_traditional
single_stave,charge_bin,"charge[4000,8000)",B6,0.27443217822087324,1.3881638542139705,1.1137316759930973,ml_minus_traditional
single_stave,charge_bin,"charge[4000,8000)",B8,0.4479699687859909,1.883433100090859,1.4354631313048682,ml_minus_traditional
single_stave,charge_bin,"charge[40000,80000)",B4,16.861787607666663,14.92764661819117,-1.9341409894754928,ml_minus_traditional
single_stave,charge_bin,"charge[40000,80000)",B6,5.879426389996644,6.49510836128672,0.6156819712900754,ml_minus_traditional
single_stave,charge_bin,"charge[40000,80000)",B8,1.4822765889971903,1.4544600771383922,-0.027816511858798076,ml_minus_traditional
single_stave,charge_bin,"charge[8000,14000)",B4,0.789842665629404,1.1488880995681077,0.3590454339387037,ml_minus_traditional
single_stave,charge_bin,"charge[8000,14000)",B6,0.7211554898375124,1.279188418512998,0.5580329286754856,ml_minus_traditional
single_stave,charge_bin,"charge[8000,14000)",B8,0.8033086530161568,1.7067152773944747,0.9034066243783179,ml_minus_traditional
single_stave,peak_sample_bin,peak_10,B4,1.3419822367529286,1.2026734725615573,-0.13930876419137128,ml_minus_traditional
single_stave,peak_sample_bin,peak_10,B6,1.1174174736261564,1.5723371515728464,0.45491967794668997,ml_minus_traditional
single_stave,peak_sample_bin,peak_10,B8,1.197698037825645,1.5382807411397135,0.3405827033140685,ml_minus_traditional
single_stave,peak_sample_bin,peak_11,B4,1.224738525174586,1.66978468021983,0.44504615504524403,ml_minus_traditional
