granularity,dimension,stratum,pair,method,sigma68_ci_low_ns,sigma68_ci_high_ns,pull_width68,pull_width68_ci_low,pull_width68_ci_high,n,bias_ns,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt3ns,tail_frac_abs_gt5ns,tail_frac_abs_gt8ns
pairwise,all,all,B4-B6,ml,1.397941102344673,1.597406816031131,0.33954711325826914,0.29545157586545506,0.3713082474200738,3820,-3.689810230656269,-3.7873727352938573,1.5313569904049165,2.4455180701862265,0.07486910994764398,0.015183246073298429,0.009947643979057591
pairwise,all,all,B4-B8,ml,1.555289485220632,1.7250559552020464,0.3849630504444932,0.3673211399780648,0.40637309305427427,3820,-2.6637538759668824,-2.6613496939060077,1.644583140338673,2.9092742844904413,0.11020942408376963,0.028272251308900525,0.013089005235602094
pairwise,all,all,B6-B8,ml,1.5083544779643274,1.6478946385192605,0.3923549554499718,0.3712888572737485,0.41116908334350977,3820,1.026056354689386,1.0861370456509611,1.5815530476808117,2.2467057469843428,0.07565445026178011,0.015445026178010472,0.0062827225130890054
pairwise,all,all,B4-B6,traditional,0.999219806148743,1.300104305290966,,,,3820,2.174971655947137,2.0562048259577246,1.196986056387738,2.3910801927774727,0.06570680628272252,0.014921465968586388,0.00968586387434555
pairwise,all,all,B4-B8,traditional,0.988703303861014,1.3127339312103734,,,,3820,1.8662540111588268,1.8541062402796484,1.2029419536997898,2.8021698008940708,0.06832460732984293,0.01963350785340314,0.013612565445026177
pairwise,all,all,B6-B8,traditional,0.9506383806811469,1.0898648422387422,,,,3820,-0.3087176447883095,-0.2053220011757091,1.023596727955002,2.0258900688071604,0.04476439790575916,0.009162303664921465,0.005235602094240838
pairwise,amplitude_bin,"amp_adc[1000,1500)",B4-B6,ml,1.5653251822507301,2.3146312194592085,0.25311810801607126,0.18650122431084093,0.3190437532841894,197,-3.630513116895618,-3.228103498290494,1.7801405786453575,1.8225046388134605,0.116751269035533,0.02030456852791878,0.0
pairwise,amplitude_bin,"amp_adc[1000,1500)",B4-B8,ml,1.116676056397084,3.703220962525342,0.34905586717800025,0.25406118296179453,0.5825983599703057,42,-3.11150131350752,-2.281211789621583,2.231150466442961,4.798203590857795,0.2619047619047619,0.09523809523809523,0.023809523809523808
pairwise,amplitude_bin,"amp_adc[1000,1500)",B6-B8,ml,0.5403924263686289,6.61768093664772,0.29928121186707934,0.1400857478583201,2.554442595707712,17,-1.363575286784392,0.16259348605791502,1.3940291730888805,6.5852472371889235,0.11764705882352941,0.058823529411764705,0.058823529411764705
pairwise,amplitude_bin,"amp_adc[1000,1500)",B4-B6,traditional,0.324878160498732,0.8298937473076572,,,,197,2.190002409521982,2.3216785418266284,0.519819663907309,1.066737821763073,0.025380710659898477,0.0,0.0
pairwise,amplitude_bin,"amp_adc[1000,1500)",B4-B8,traditional,0.200810472229675,2.404410629109247,,,,42,1.2711879110831905,2.397286287487834,0.5776794892906186,4.656129249544513,0.09523809523809523,0.023809523809523808,0.023809523809523808
pairwise,amplitude_bin,"amp_adc[1000,1500)",B6-B8,traditional,0.20316115759752934,5.760331312970434,,,,17,-1.8446006458834348,-0.02365565168091166,0.7534555137001537,7.0063944340167925,0.058823529411764705,0.058823529411764705,0.058823529411764705
pairwise,amplitude_bin,"amp_adc[1500,2500)",B4-B6,ml,1.3741846506814497,1.615097494903398,0.3050425422785026,0.2798620990319925,0.3216932294814753,1998,-3.8855180324114142,-3.947370962111439,1.5180774073267898,1.9871895484864224,0.06056056056056056,0.0055055055055055055,0.003003003003003003
pairwise,amplitude_bin,"amp_adc[1500,2500)",B4-B8,ml,1.7317106466961028,2.016987669840821,0.354195881132799,0.3203341737739465,0.39605957382536494,975,-3.171100697768909,-3.095051062063895,1.848526979300678,2.8553065293515094,0.13025641025641024,0.02666666666666667,0.008205128205128205
pairwise,amplitude_bin,"amp_adc[1500,2500)",B6-B8,ml,1.5246813048348002,1.822837104700714,0.3606216276497947,0.31129610612505026,0.40058497162131856,928,0.6839951302567711,0.710731888525757,1.6642199950243979,1.7736518496846299,0.08512931034482758,0.005387931034482759,0.0010775862068965517
pairwise,amplitude_bin,"amp_adc[1500,2500)",B4-B6,traditional,0.9525459196423203,1.282872856263846,,,,1998,2.0597860933465806,2.057507684176322,1.0963612487346412,1.864256923587211,0.062062062062062065,0.0065065065065065065,0.0025025025025025025
pairwise,amplitude_bin,"amp_adc[1500,2500)",B4-B8,traditional,0.8274741337815484,1.1892816437524423,,,,975,1.6882555293534163,2.0185742225506758,1.0338773932849425,2.5987354534281244,0.06051282051282051,0.011282051282051283,0.008205128205128205
pairwise,amplitude_bin,"amp_adc[1500,2500)",B6-B8,traditional,0.666652476873452,0.9760620227454574,,,,928,-0.3279435856259988,-0.05392096081077824,0.9053421224466771,1.3086331589859201,0.03987068965517242,0.005387931034482759,0.0021551724137931034
pairwise,amplitude_bin,"amp_adc[2500,4000)",B4-B6,ml,1.2721509844524321,1.6303882253012347,0.3849620580833977,0.3242614491549262,0.402785718881298,1606,-3.486834970477997,-3.6052816796857847,1.460869138027007,2.6844304985600775,0.07285180572851806,0.021170610211706103,0.014943960149439602
pairwise,amplitude_bin,"amp_adc[2500,4000)",B4-B8,ml,1.3392662251382117,1.5536672421134754,0.37033008716910765,0.3434805335793943,0.3908853189240537,2590,-2.6818571164897698,-2.6079013263809614,1.4725513666456567,2.463612433954087,0.0749034749034749,0.013127413127413128,0.008494208494208495
