run,method,family,n_target_rows,pedestal_mae_adc,pedestal_rmse_adc,pedestal_bias_adc,pedestal_q05_adc,pedestal_q95_adc,n_pair_rows,timing_sigma68_shift_ns,timing_full_rms_shift_ns,timing_tail_gt0p5_fraction,timing_tail_gt5_fraction,timing_shift_bias_ns,n_charge_rows,charge_bias_delta_adc,charge_abs_delta_adc,pedestal_width68_adc
58,traditional_mean3,traditional,67124,46.51510637029974,275.39462110390343,1.5581891827645365e-15,-23.0,25.33333333333303,1412,0.0706624473525339,4.370367668264478,0.1211048158640226,0.0049575070821529,0.1032002887873149,67124,-5.084276860735358,15.829658542399144,10.0
58,gradient_boosted_trees,ml,67124,20.85430973071685,86.52171653574634,5.025168023338573,-17.69708906401015,39.2091372040581,1408,0.2099459486961211,7.707671157591106,0.1789772727272727,0.0198863636363636,-0.0431622151549905,67124,-10.109444884073929,38.26819246262952,15.178497911602324
59,traditional_mean3,traditional,85508,314.3756373672639,818.4727975077075,1.265727996339272e-15,-1290.6499999999996,1083.766666666663,15012,0.0956692705550008,1.4411422534227658,0.1414868105515587,0.0006661337596589,0.0112794742720107,85508,-47.1848482013379,109.861022750308,31.66666666666697
59,gradient_boosted_trees,ml,85508,65.68029861903487,307.2718980806595,-6.099638827244895,-189.0862703233209,137.64214352854876,14890,0.2619531953495621,2.609371988131448,0.2147750167897918,0.024916051040967,-0.0231467795660538,85508,-41.085209374093,215.47461996636332,26.014340672983963
60,traditional_mean3,traditional,68116,304.12580499931494,812.5399678976019,-1.7825113436885006e-15,-1300.4166666666663,1101.416666666667,14800,0.102284413564451,0.957090542397144,0.1488513513513513,0.0006756756756756,0.0308159210657747,68116,-49.775118914792415,106.55183314737606,24.0
60,gradient_boosted_trees,ml,68116,53.3912115120715,226.8560931866376,2.2233497410058085,-141.6911816812476,126.50366521777232,14658,0.2516057083274347,2.0063637169130684,0.2243143675808432,0.0212170828216673,0.0056551293678089,68116,-51.99846865579822,215.1880618997322,23.45257329857759
61,traditional_mean3,traditional,75860,277.81597679936726,753.1098645707523,-7.193472463271249e-16,-1144.333333333333,1015.333333333333,16980,0.0861571547050007,1.219900644339112,0.1360424028268551,0.0007656065959952,0.0192477245004952,75860,-46.5205114684946,96.42415414359786,22.0
61,gradient_boosted_trees,ml,75860,48.66427679615493,184.7000632126643,-3.3108420893475428,-137.68793168757938,105.64972383064868,16831,0.2309608890061376,2.626242032072032,0.2049194937912185,0.0187154655100707,-0.015418927259158,75860,-43.20966937914704,194.20080707930015,21.820855177865838
62,traditional_mean3,traditional,76356,284.09388478530394,761.7862624940301,1.0839229119039301e-15,-1174.4166666666663,1017.4166666666664,15332,0.0906320408698477,1.3279683689383084,0.1447299765196973,0.0005870075658752,0.0240312230018346,76356,-44.0506181570538,98.87598878935512,23.66666666666697
62,gradient_boosted_trees,ml,76356,56.91578192558686,207.00709537676585,-2.213890684137738,-167.36587897306003,127.07672273537446,15168,0.2411953070242768,2.265524048179033,0.2085311181434599,0.0215585443037974,-0.0502608147948588,76356,-41.83672747291608,198.1978856992597,26.63470537192825
63,traditional_mean3,traditional,75268,264.60465713627747,790.2004801569612,2.900020306445007e-16,-911.866666666666,905.2166666666644,7264,0.0979949274058026,0.8823068871917683,0.144135462555066,0.0002753303964757,0.0467419603038618,75268,-37.281952489769886,92.65954987511292,18.0
63,gradient_boosted_trees,ml,75268,58.25536438002193,269.44702261227326,1.23380222600976,-142.9004370487398,120.25371490548306,7204,0.2551877092850344,2.2625382323249896,0.2147418101054969,0.0209605774569683,0.0060134666643289,75268,-38.51575471577964,182.19191240674175,21.103828775646434
65,traditional_mean3,traditional,52152,216.86481822365397,739.4983436947297,-7.324508642902091e-16,-398.74999999999983,602.1499999999988,1592,0.075485936791233,0.4542152500409803,0.1017587939698492,0.0,0.0410224776432411,52152,-29.206665132689057,75.43410287876463,14.0
65,gradient_boosted_trees,ml,52152,48.192028053013935,236.15853749717155,3.3865980364561983,-98.83835929433644,80.11426253385768,1579,0.20229192247908,0.9016738521950054,0.1526282457251425,0.006333122229259,-0.0654157362396259,52152,-32.59326316914526,152.3766967101699,20.745175092380123
