method,family,n_target_rows,pedestal_mae_adc,pedestal_rmse_adc,pedestal_bias_adc,pedestal_q05_adc,pedestal_q95_adc,n_pair_rows,timing_sigma68_shift_ns,timing_full_rms_shift_ns,timing_tail_gt0p5_fraction,timing_tail_gt5_fraction,timing_shift_bias_ns,n_charge_rows,charge_bias_delta_adc,charge_abs_delta_adc,pedestal_mae_adc_ci_low,pedestal_mae_adc_ci_high,pedestal_rmse_adc_ci_low,pedestal_rmse_adc_ci_high,pedestal_bias_adc_ci_low,pedestal_bias_adc_ci_high,timing_sigma68_shift_ns_ci_low,timing_sigma68_shift_ns_ci_high,timing_full_rms_shift_ns_ci_low,timing_full_rms_shift_ns_ci_high,timing_tail_gt0p5_fraction_ci_low,timing_tail_gt0p5_fraction_ci_high,timing_tail_gt5_fraction_ci_low,timing_tail_gt5_fraction_ci_high,charge_bias_delta_adc_ci_low,charge_bias_delta_adc_ci_high,charge_abs_delta_adc_ci_low,charge_abs_delta_adc_ci_high,risk_score,pedestal_width68_adc,pedestal_width68_adc_ci_low,pedestal_width68_adc_ci_high,charge_res68_delta_adc,charge_res68_delta_adc_ci_low,charge_res68_delta_adc_ci_high,prediction_outside_target_0p1_99p9_fraction,prediction_outside_target_0p1_99p9_fraction_ci_low,prediction_outside_target_0p1_99p9_fraction_ci_high,adoption_score,adoption_rank
traditional_mean3,traditional,500384,249.23525798853143,734.8356158293427,-2.0993204829645474e-16,-888.0,867.9499999999923,72392,0.09216163874601657,1.3400403133620917,0.14139683942977124,0.0007044977345563046,0.025848662344601748,500384,-37.94753629212762,86.90781613054507,169.40545832663676,295.5841340541266,610.0964643074298,797.9167879916605,-8.444122913127993e-16,8.52897266085092e-16,0.08814394575788781,0.0961483485740969,1.0470745862490383,1.769067924500064,0.1355120469736338,0.1452747372059284,0.0005048274121284786,0.001056422741081436,-45.88823910830541,-24.95961423366177,58.98664478570694,103.22267007970014,0.046254276820122904,18.0,13.408333333333667,23.33333333333394,8.166666666666515,4.352083333333065,29.75,0.00041168382682100146,0.00041168382682100146,0.00041168382682100146,0.03147125786454513,1
ridge,ml,500384,174.02551020032368,463.09722318606464,-10.111772236147187,-478.6538818944499,383.2251998070051,72080,0.6184082303177757,3.199903137566662,0.6008185349611542,0.004855715871254162,-0.6140019715434468,500384,-27.83576405598046,178.47620086112502,140.84027349693565,197.12401842283745,389.8239712485952,513.8183758974828,-16.520609336506304,-0.5868167982113904,0.5939211402117982,0.662757903171709,2.1924375166120664,4.380363808994996,0.574363849078678,0.6496332171873487,0.00410715970681256,0.0062214373944392476,-31.40850982260079,-25.024487575747315,142.75073004966984,201.18765411149712,0.061621027795837606,85.91316128157123,79.72661451283784,92.93892290041282,83.07638766293965,77.87346735758611,90.00858907621432,0.12145072584255293,0.12145072584255293,0.12145072584255293,0.08717589308674006,2
target_masked_residual_cnn,new_architecture,500384,53.85463758638087,244.3379952914751,7.034573352588201,-83.13792548040142,106.83121539961066,71681,0.47509309756184775,2.939399127012609,0.3078221564989328,0.013211311226126867,0.0725281528811958,500384,-44.98210964471585,185.98045163221764,42.88498596497459,64.16455785180969,192.51254100116833,287.9798406515964,-2.7885534678884296,21.47690686340888,0.4496475101212165,0.515481297626009,2.2521590193838517,4.023321062135542,0.2906365428630011,0.33537548658051713,0.010087387004924007,0.015797790495916505,-65.97783486109772,-25.730211755719726,133.57243526421547,219.0395010776411,0.044538927848291616,37.47112005006033,32.0537169855415,43.09078841231219,41.84326209771463,33.95754494043245,50.28444811169077,0.07863960478352625,0.07863960478352625,0.07863960478352625,0.05226405878432493,3
one_dimensional_cnn,ml,500384,87.72784057399956,338.41271724489917,-21.319843682155494,-192.34896773394962,122.80736487099709,71505,0.4199798832075822,2.63873887736979,0.2805258373540312,0.018026711418781902,-0.016140947537696175,500384,-16.62769260997216,165.94858428116274,66.87035606224893,102.89697295462769,266.71761636049644,387.29802113674333,-26.54493266396814,-14.991283040515068,0.39972493990732405,0.4441912759139658,2.279674005967048,3.4548477321755837,0.26647768612485795,0.293681865829304,0.014696392370334503,0.020592257822440764,-26.257164130269636,-5.456506382292464,124.9540011471385,195.4175198239004,0.052292610834351674,30.915986791622437,25.862578685921942,35.21069277924725,32.09334853925625,26.056215043438424,38.191896562511445,0.05031335934002686,0.05031335934002686,0.05031335934002686,0.05430440770686268,4
gradient_boosted_trees,ml,500384,51.137566987913345,229.32146753689756,-0.3667852663444194,-132.27469326185002,105.18238378145654,71738,0.2439947919590777,2.5762631426724494,0.2110178705846274,0.02109063536758761,-0.019576479656294797,500384,-37.58075102578323,174.220017655751,39.22982722881502,59.27325668181575,182.62315523656292,271.4653731208741,-3.222915933070958,2.3827241038642506,0.233126935744208,0.25498137325413156,2.1865678485307773,3.2414833510982706,0.2042430284484477,0.21732031779519786,0.01877960080292976,0.023199528658382252,-44.325249854556645,-27.548755359356253,124.02330793731815,204.20080362174554,0.046592002626778886,21.944881544056297,19.179052643817773,25.01349424342918,20.881367916282777,18.3519031782644,24.68142232726311,0.012084718935857261,0.012084718935857261,0.012084718935857261,0.047206441379053006,5
mlp,ml,500384,94.5689806804057,323.1197482535214,2.8990435831385986,-182.34301539316755,224.24071739925455,71583,0.5189041902238869,2.6693179087507835,0.3214590056298283,0.02937848371820125,-0.3185630007650497,500384,-40.846579875266265,178.67220059522316,75.08530222943978,112.52052175006678,277.43154600836453,366.6733072812131,-3.8951095772019992,10.805311759279988,0.4622983934985103,0.605064801132143,2.2407026715311336,3.428159094452659,0.30092688608117735,0.35065320650559106,0.021523665630713656,0.03689562442150604,-50.5580818760083,-28.532093619511347,133.54612431762675,211.88962471037138,0.06518086542427319,37.508109638970126,30.75940911623117,43.149473054687235,39.73557327720439,31.772638822120978,47.18998252539351,0.049448023917631256,0.049448023917631256,0.049448023917631256,0.07069260779620697,6
