fold,method,n_runs,n_eval,n_minority,q_mse,q_mse_ci,q_template_shift,q_template_shift_ci,timing_sigma68_ns,timing_sigma68_ns_ci,accepted_support_fraction,accepted_support_fraction_ci,minority_false_support_rate,minority_false_support_rate_ci
holdout_sample_i,empirical,14,31253,10844,0.11012806977828327,"[0.09449427160483434, 0.12713668555738714]",0.0,"[0.0, 0.0]",1.710714285714283,"[1.4285714285714286, 2.0535714285714284]",1.0,"[1.0, 1.0]",0.0,"[0.0, 0.0]"
holdout_sample_i,ridge,14,31253,10844,0.0507889225358966,"[0.040650753432546344, 0.06013916030966815]",-0.05933914724238668,"[-0.0707099931375618, -0.04963195213589497]",0.9821428571428571,"[0.625, 1.3392857142857142]",0.6644608279217874,"[0.6095921932726309, 0.7229472835029308]",0.0052651356033978315,"[0.0036657886523698588, 0.006817399834302347]"
holdout_sample_i,gradient_boosted_trees,14,31253,10844,0.05453290779829556,"[0.04206008811431883, 0.06668155885390435]",-0.05559516197998771,"[-0.06641540212140035, -0.04516894916334616]",0.8035714285714286,"[0.44642857142857145, 1.1607142857142858]",0.6644608279217874,"[0.6106078210838602, 0.7207006215423178]",0.007611612803609874,"[0.005269850033862928, 0.009955636415023988]"
holdout_sample_i,mlp,14,31253,10844,0.05801528200955429,"[0.04678891591829767, 0.06811758461184476]",-0.05211278776872898,"[-0.06372331207888142, -0.04153763487505203]",1.25,"[0.9821428571428571, 1.5178571428571428]",0.6644608279217874,"[0.6106983750918562, 0.7211154916346695]",0.14665788899295681,"[0.13129129580184246, 0.16045223081205634]"
holdout_sample_i,cnn_early_1d,14,31253,10844,0.049356474757653965,"[0.040605863435158235, 0.0572799458790519]",-0.0607715950206293,"[-0.07269751412032757, -0.050409885110122815]",1.4285714285714286,"[1.25, 1.6964285714285714]",0.6644608279217874,"[0.6101575963740985, 0.7209035146681458]",0.020980271622610572,"[0.01699992906359686, 0.02410911007534716]"
holdout_sample_i,support_gated_mixture,14,31253,10844,0.07727398677122009,"[0.06088488144429995, 0.09344334904352342]",-0.03285408300706318,"[-0.043126033084841885, -0.023108874283199233]",1.3392857142857142,"[0.9352678571428573, 1.6964285714285714]",0.6644608279217874,"[0.6122757353290363, 0.721881695832716]",0.007611612803609874,"[0.005338569484059839, 0.009831404534541817]"
holdout_sample_i,shuffled_template_ridge,14,31253,10844,0.10446771240218852,"[0.08793090491792196, 0.12097017911721818]",-0.005660357376094742,"[-0.007717796364335, -0.0032921230394085755]",1.9642857142857142,"[1.6071428571428572, 2.4107142857142856]",0.6644608279217874,"[0.6087822185438826, 0.7235795078619798]",0.05062397827413917,"[0.041501484363295496, 0.05711862178193255]"
holdout_sample_ii,empirical,7,53128,31876,0.08982640599166124,"[0.08077970912824475, 0.10186571476339437]",0.0,"[0.0, 0.0]",1.25,"[1.25, 1.25]",1.0,"[1.0, 1.0]",0.0,"[0.0, 0.0]"
holdout_sample_ii,ridge,7,53128,31876,0.0404838472134833,"[0.03665310961119379, 0.04460996500426413]",-0.04934255877817795,"[-0.058330159074415806, -0.04256875401669755]",1.25,"[1.25, 1.25]",0.831009970634337,"[0.8111150475543929, 0.8533006676741395]",0.14205261239487524,"[0.13372196711143763, 0.1503257403460299]"
holdout_sample_ii,gradient_boosted_trees,7,53128,31876,0.03806913968844538,"[0.033015595796636744, 0.043179984726016585]",-0.05175726630321586,"[-0.06067445519617852, -0.044766494929507496]",1.25,"[1.25, 1.25]",0.831009970634337,"[0.8120473119929899, 0.8533957849611493]",0.12964792944390535,"[0.11670330999362125, 0.14663261506492622]"
holdout_sample_ii,mlp,7,53128,31876,0.040652677258241766,"[0.03654200036227497, 0.04490136178593072]",-0.04917372873341948,"[-0.05884182121090099, -0.04170755343266761]",1.25,"[1.25, 1.25]",0.831009970634337,"[0.8107449450137219, 0.8535427319972526]",0.4687081181466103,"[0.4218646030778021, 0.5061223062324455]"
holdout_sample_ii,cnn_early_1d,7,53128,31876,0.028620992431601714,"[0.025498328730874476, 0.03189482459300762]",-0.06120541356005954,"[-0.07157036717560286, -0.05344896498867567]",1.25,"[1.25, 1.25]",0.831009970634337,"[0.81060100084723, 0.8533957849611493]",0.006741642020489076,"[0.005180811762941136, 0.008459479341194011]"
holdout_sample_ii,support_gated_mixture,7,53128,31876,0.05100133118296439,"[0.046237435384189465, 0.055728438813293486]",-0.038825074808696854,"[-0.04687081309787083, -0.03307376596683367]",1.25,"[1.25, 1.25]",0.831009970634337,"[0.8112478119747238, 0.8527932784691294]",0.12964792944390535,"[0.11679448204516123, 0.14700903718025282]"
holdout_sample_ii,shuffled_template_ridge,7,53128,31876,0.08368773260947068,"[0.07663130802506975, 0.09067205686864542]",-0.006138673382190562,"[-0.017720298382011418, 0.002567272710509949]",1.9642857142857142,"[1.4285714285714286, 2.3214285714285716]",0.831009970634337,"[0.8115853746771187, 0.8536377301477489]",0.6246803071624093,"[0.5723897276931843, 0.6627066256027364]"
