fold,n_eval,stave,amp_region,rise_width_region,cfd_phase_region,tail_shape_region,saturation_region,current_family,empirical_q_mse,empirical_timing_abs_ns,ridge_q_mse,ridge_timing_abs_ns,gradient_boosted_trees_q_mse,gradient_boosted_trees_timing_abs_ns,mlp_q_mse,mlp_timing_abs_ns,cnn_early_1d_q_mse,cnn_early_1d_timing_abs_ns,support_gated_mixture_q_mse,support_gated_mixture_timing_abs_ns,best_method,ridge_minus_empirical_q_mse,gbt_minus_empirical_q_mse,mlp_minus_empirical_q_mse,cnn_minus_empirical_q_mse
holdout_sample_i,76,B2,a1000_1500,rise_mid,phase_early,tail_compact,unsaturated,high_20nA,0.303997456064341,14.473684210526315,0.009741909038778867,1.0526315789473684,0.010678865672002573,0.19736842105263158,0.018365058069684838,1.513157894736842,0.013587523559442708,2.3026315789473686,0.010678865672002573,0.19736842105263158,ridge,-0.2942555470255621,-0.29331859039233843,-0.2856323979946561,-0.29040993250489827
holdout_sample_i,99,B2,a1000_1500,rise_mid,phase_early,tail_mid,unsaturated,high_20nA,0.2923181969084393,15.0,0.0017943735977915716,0.20202020202020202,0.0011730573157907886,0.0,0.011575889002047018,1.6919191919191918,0.004753291323268408,1.1363636363636365,0.0011730573157907886,0.0,gradient_boosted_trees,-0.29052382331064774,-0.2911451395926485,-0.28074230790639226,-0.2875649055851709
holdout_sample_i,25,B2,a1000_1500,rise_mid,phase_early,tail_mid,unsaturated,low_2nA,0.28895673297900776,15.0,0.0015344702538979405,0.4,0.00088170866692877,0.0,0.010892252965738959,1.5,0.004858408777262358,1.6,0.00088170866692877,0.0,gradient_boosted_trees,-0.28742226272510984,-0.288075024312079,-0.2780644800132688,-0.2840983242017454
holdout_sample_i,44,B2,a1000_1500,rise_mid,phase_late,tail_compact,unsaturated,high_20nA,0.28619948027747344,13.522727272727273,0.007443979871850123,1.0795454545454546,0.004673737296743628,0.17045454545454544,0.015029152293813504,0.5681818181818182,0.013690445328516465,2.102272727272727,0.004673737296743628,0.17045454545454544,gradient_boosted_trees,-0.2787555004056233,-0.2815257429807298,-0.2711703279836599,-0.27250903494895695
holdout_sample_i,49,B2,a1000_1500,rise_mid,phase_late,tail_mid,unsaturated,high_20nA,0.2880582180844636,15.0,0.0013239405830396342,0.30612244897959184,0.0005671337178694743,0.0,0.01096389930033419,0.30612244897959184,0.008925497705745203,2.0408163265306123,0.0005671337178694743,0.0,gradient_boosted_trees,-0.28673427750142394,-0.2874910843665941,-0.2770943187841294,-0.2791327203787184
holdout_sample_i,26,B2,a1000_1500,rise_mid,phase_mid,tail_compact,unsaturated,high_20nA,0.29078012013956794,14.903846153846153,0.003923468405295158,1.1538461538461537,0.0016663340483981763,0.19230769230769232,0.017648705946166365,1.6346153846153846,0.011665337743465178,2.5,0.0016663340483981763,0.19230769230769232,gradient_boosted_trees,-0.28685665173427277,-0.2891137860911698,-0.2731314141934016,-0.27911478239610277
holdout_sample_i,113,B2,a1000_1500,rise_mid,phase_mid,tail_mid,unsaturated,high_20nA,0.2885675467831299,15.0,0.001301981009978141,0.17699115044247787,0.0007676813059027332,0.0,0.014427085071750428,0.7079646017699115,0.006931541557488411,1.9026548672566372,0.0007676813059027332,0.0,gradient_boosted_trees,-0.28726556577315177,-0.2877998654772272,-0.27414046171137946,-0.2816360052256415
holdout_sample_i,135,B2,a1000_1500,rise_narrow,phase_early,tail_compact,unsaturated,high_20nA,5.553371959574083,2.2794117647058822,0.6750866201432312,3.5294117647058822,0.6635747190437042,3.014705882352941,0.5375206804377776,3.75,0.8343524694881017,2.8676470588235294,0.6635747190437042,3.014705882352941,mlp,-4.878285339430851,-4.8897972405303785,-5.015851279136305,-4.719019490085981
holdout_sample_i,49,B2,a1000_1500,rise_narrow,phase_late,tail_compact,unsaturated,high_20nA,1.8803847855546563,3.4693877551020407,0.22933378479987226,1.2755102040816326,0.23919512378928837,0.7653061224489796,0.08726632523314268,1.2755102040816326,0.3005386863462105,2.5,0.23919512378928837,0.7653061224489796,mlp,-1.651051000754784,-1.6411896617653678,-1.7931184603215136,-1.5798460992084458
holdout_sample_i,112,B2,a1000_1500,rise_narrow,phase_mid,tail_compact,unsaturated,high_20nA,1.6769370855883559,0.11160714285714286,0.13260836793111078,0.625,0.08068251785330953,0.5357142857142857,0.06003510496182581,0.6696428571428571,0.17527854298971887,1.4955357142857142,0.08068251785330953,0.5357142857142857,mlp,-1.544328717657245,-1.5962545677350464,-1.6169019806265301,-1.501658542598637
