run,n_eval,n_minority,empirical_q_mse,empirical_q_template_shift,empirical_timing_sigma68_ns,empirical_accepted_support_fraction,empirical_minority_false_support_rate,ridge_q_mse,ridge_q_template_shift,ridge_timing_sigma68_ns,ridge_accepted_support_fraction,ridge_minority_false_support_rate,gradient_boosted_trees_q_mse,gradient_boosted_trees_q_template_shift,gradient_boosted_trees_timing_sigma68_ns,gradient_boosted_trees_accepted_support_fraction,gradient_boosted_trees_minority_false_support_rate,mlp_q_mse,mlp_q_template_shift,mlp_timing_sigma68_ns,mlp_accepted_support_fraction,mlp_minority_false_support_rate,shuffled_template_ridge_q_mse,shuffled_template_ridge_q_template_shift,shuffled_template_ridge_timing_sigma68_ns,shuffled_template_ridge_accepted_support_fraction,shuffled_template_ridge_minority_false_support_rate,cnn_early_1d_q_mse,cnn_early_1d_q_template_shift,cnn_early_1d_timing_sigma68_ns,cnn_early_1d_accepted_support_fraction,cnn_early_1d_minority_false_support_rate,support_gated_mixture_q_mse,support_gated_mixture_q_template_shift,support_gated_mixture_timing_sigma68_ns,support_gated_mixture_accepted_support_fraction,support_gated_mixture_minority_false_support_rate,fold
44,1672,154,0.12122333569861804,0.0,1.25,1.0,0.0,0.033235416579331364,-0.08798791911928668,0.0,0.805622009569378,0.006493506493506494,0.030347035423322146,-0.09087630027529589,0.0,0.805622009569378,0.006493506493506494,0.03642449189742056,-0.08479884380119748,0.0,0.805622009569378,0.18181818181818182,0.12278843669325436,0.0015651009946363195,2.5,0.805622009569378,0.045454545454545456,0.036840783748918145,-0.08438255194969989,1.25,0.805622009569378,0.01948051948051948,0.046041787886131655,-0.07518154781248639,1.25,0.805622009569378,0.006493506493506494,holdout_sample_i
45,3065,1547,0.17069853071718405,0.0,2.69999999999996,1.0,0.0,0.07801099663771648,-0.09268753407946759,2.5,0.531810766721044,0.007756948933419522,0.08569497257003597,-0.08500355814714808,2.5,0.531810766721044,0.003878474466709761,0.08518283129205195,-0.08551569942513208,2.5,0.531810766721044,0.15190691661279895,0.16212092529611777,-0.0085776054210663,3.75,0.531810766721044,0.053652230122818355,0.07122234052667786,-0.09947619019050619,2.5,0.531810766721044,0.027795733678086618,0.1270255401499971,-0.04367299056718696,2.5,0.531810766721044,0.003878474466709761,holdout_sample_i
46,687,12,0.05596230204015888,0.0,1.25,1.0,0.0,0.012566834907991977,-0.043395467132166916,0.0,0.87627365356623,0.0,0.009922973827117551,-0.04603932821304133,0.0,0.87627365356623,0.0,0.017934468437870443,-0.03802783360228844,1.25,0.87627365356623,0.08333333333333333,0.050400805033044116,-0.005561497007114774,1.25,0.87627365356623,0.0,0.017333060900794065,-0.03862924113936482,1.25,0.87627365356623,0.0,0.016331757656385806,-0.03963054438377307,0.0,0.87627365356623,0.0,holdout_sample_i
47,1678,160,0.0682514466746288,0.0,1.25,1.0,0.0,0.02073118447750044,-0.04752026219712836,0.0,0.8283671036948749,0.0,0.018144560446172197,-0.0501068862284566,0.0,0.8283671036948749,0.0,0.026934015378165563,-0.04131743129646323,1.25,0.8283671036948749,0.2,0.06364730007833586,-0.0046041465962929455,1.25,0.8283671036948749,0.05,0.024223891568097514,-0.04402755510653129,1.25,0.8283671036948749,0.01875,0.02896907654564349,-0.039282370128985306,0.0,0.8283671036948749,0.0,holdout_sample_i
48,2474,956,0.14510321225495093,0.0,1.25,1.0,0.0,0.06033105321805609,-0.08477215903689483,1.25,0.6220695230396119,0.0031380753138075313,0.06577048618534632,-0.07933272606960459,1.25,0.6220695230396119,0.006276150627615063,0.06736479086192947,-0.07773842139302148,1.25,0.6220695230396119,0.14958158995815898,0.13648630026773564,-0.008616911987215273,2.5,0.6220695230396119,0.0700836820083682,0.05773323392137747,-0.08736997833357345,1.25,0.6220695230396119,0.02092050209205021,0.0927343712732865,-0.05236884098166443,1.25,0.6220695230396119,0.006276150627615063,holdout_sample_i
49,2554,1036,0.14120973273382592,0.0,1.25,1.0,0.0,0.06003872302944643,-0.08117100970437949,1.25,0.6123727486296007,0.004826254826254826,0.06469192976123993,-0.07651780297258598,1.25,0.6123727486296007,0.006756756756756757,0.06601916340746257,-0.07519056932636335,1.25,0.6123727486296007,0.17277992277992277,0.1339112722480318,-0.007298460485794144,2.5,0.6123727486296007,0.04922779922779923,0.05771759629965988,-0.08349213643416602,1.25,0.6123727486296007,0.0222007722007722,0.09699908137487626,-0.04421065135894966,1.25,0.6123727486296007,0.006756756756756757,holdout_sample_i
50,2647,1129,0.11544799634206314,0.0,2.5,1.0,0.0,0.06689942002429929,-0.04854857631776385,1.25,0.5700793350963355,0.005314437555358724,0.0734494774345366,-0.041998518907526546,1.25,0.5700793350963355,0.008857395925597875,0.07482532930394906,-0.040622667038114076,1.25,0.5700793350963355,0.13108945969884853,0.10772281379607909,-0.007725182545984066,2.5,0.5700793350963355,0.04162976085031001,0.06209421684027671,-0.05335377950178644,1.25,0.5700793350963355,0.02037201062887511,0.10260283398750024,-0.01284516235456291,2.5,0.5700793350963355,0.008857395925597875,holdout_sample_i
51,2058,540,0.09185197984037331,0.0,1.25,1.0,0.0,0.04284355997082117,-0.04900841986955214,1.25,0.684645286686103,0.011111111111111112,0.04494691358252359,-0.04690506625784974,0.0,0.684645286686103,0.014814814814814815,0.05032393220826341,-0.04152804763210992,1.25,0.684645286686103,0.14814814814814814,0.09255413509821311,0.00070215525783977,1.25,0.684645286686103,0.06111111111111111,0.042783365971797736,-0.04906861386857559,1.25,0.684645286686103,0.024074074074074074,0.06284409458296185,-0.029007885257411475,1.25,0.684645286686103,0.014814814814814815,holdout_sample_i
52,1777,259,0.06740784974709677,0.0,1.25,1.0,0.0,0.028400791788638996,-0.03900705795845776,0.0,0.7467642093415869,0.007722007722007722,0.027318881973239593,-0.040088967773857176,0.0,0.7467642093415869,0.015444015444015444,0.03457243946606446,-0.032835410281032304,1.25,0.7467642093415869,0.13127413127413126,0.07019786333276366,0.002790013585666892,1.25,0.7467642093415869,0.05791505791505792,0.030824923580267408,-0.03658292616682936,1.25,0.7467642093415869,0.019305019305019305,0.04599602328366148,-0.021411826463435292,1.25,0.7467642093415869,0.015444015444015444,holdout_sample_i
53,2493,975,0.10836054647832813,0.0,2.5,1.0,0.0,0.06378885531454548,-0.04457169116378268,1.25,0.6169273967107902,0.006153846153846154,0.07229567210683463,-0.03606487437149352,1.25,0.6169273967107902,0.0071794871794871795,0.07368598455079456,-0.034674561927533584,1.25,0.6169273967107902,0.14871794871794872,0.09970949752410337,-0.008651048954224768,1.25,0.6169273967107902,0.05128205128205128,0.059774628775436024,-0.04858591770289212,1.25,0.6169273967107902,0.02358974358974359,0.09713465941118905,-0.011225887067139092,1.25,0.6169273967107902,0.0071794871794871795,holdout_sample_i
