fold,stave,method,n_eval,q_mse,q_template_shift,timing_sigma68_ns,accepted_support_fraction,minority_false_support_rate
holdout_sample_i,B2,empirical,20409,0.0677313945545864,0.0,1.25,1.0,0.0
holdout_sample_i,B2,ridge,20409,0.015836431752107343,-0.051894962802479065,0.0,0.8656475084521534,0.0
holdout_sample_i,B2,gradient_boosted_trees,20409,0.011294476086001861,-0.05643691846858454,0.0,0.8656475084521534,0.0
holdout_sample_i,B2,mlp,20409,0.020466085645473284,-0.04726530890911312,1.25,0.8656475084521534,0.0
holdout_sample_i,B2,shuffled_template_ridge,20409,0.07260342842230802,0.004872033867721608,2.5,0.8656475084521534,0.0
holdout_sample_i,B2,cnn_early_1d,20409,0.021700700945664474,-0.04603069360892194,1.25,0.8656475084521534,0.0
holdout_sample_i,B2,support_gated_mixture,20409,0.020461245562786147,-0.04727014899180026,0.0,0.8656475084521534,0.0
holdout_sample_i,B4,empirical,6451,0.2387650976171362,0.0,6.25,1.0,0.0
holdout_sample_i,B4,ridge,6451,0.14482327275065177,-0.09394182486648443,6.25,0.26941559448147573,0.0060455743295613085
holdout_sample_i,B4,gradient_boosted_trees,6451,0.1679970563552434,-0.07076804126189283,6.25,0.26941559448147573,0.0032553092543791662
holdout_sample_i,B4,mlp,6451,0.15844088457192654,-0.0803242130452097,7.5,0.26941559448147573,0.18322740660362735
holdout_sample_i,B4,shuffled_template_ridge,6451,0.2000382190439527,-0.03872687857318355,8.75,0.26941559448147573,0.07673228956750891
holdout_sample_i,B4,cnn_early_1d,6451,0.12543178396972438,-0.11333331364741185,5.0,0.26941559448147573,0.035033328166175784
holdout_sample_i,B4,support_gated_mixture,6451,0.23613102936136074,-0.002634068255775447,6.25,0.26941559448147573,0.0032553092543791662
holdout_sample_i,B6,empirical,3094,0.15437189696815823,0.0,6.25,1.0,0.0
holdout_sample_i,B6,ridge,3094,0.10666943336768225,-0.04770246360047599,3.75,0.1632191338073691,0.007110536522301228
holdout_sample_i,B6,gradient_boosted_trees,3094,0.12957432906879568,-0.024797567899362553,6.25,0.1632191338073691,0.02068519715578539
holdout_sample_i,B6,mlp,3094,0.12114140119121354,-0.03323049577694469,6.25,0.1632191338073691,0.13380736910148675
holdout_sample_i,B6,shuffled_template_ridge,3094,0.1511051864475137,-0.003266710520644543,6.25,0.1632191338073691,0.03167420814479638
holdout_sample_i,B6,cnn_early_1d,3094,0.09184398654189571,-0.06252791042626253,3.75,0.1632191338073691,0.008726567550096962
holdout_sample_i,B6,support_gated_mixture,3094,0.15513420309081938,0.0007623061226611606,6.25,0.1632191338073691,0.02068519715578539
holdout_sample_i,B8,empirical,1299,0.19252076616898517,0.0,6.25,1.0,0.0
holdout_sample_i,B8,ridge,1299,0.12090767653059475,-0.07161308963839041,6.25,0.0,0.0
holdout_sample_i,B8,gradient_boosted_trees,1299,0.13697664534789683,-0.055544120821088304,6.25,0.0,0.0
holdout_sample_i,B8,mlp,1299,0.12666030389803387,-0.0658604622709513,6.25,0.0,0.0
holdout_sample_i,B8,shuffled_template_ridge,1299,0.16335323065491741,-0.029167535514067762,7.5,0.0,0.0
holdout_sample_i,B8,cnn_early_1d,1299,0.10389790474748462,-0.08862286142150055,5.0,0.0,0.0
holdout_sample_i,B8,support_gated_mixture,1299,0.19252076616898517,0.0,6.25,0.0,0.0
holdout_sample_ii,B2,empirical,21252,0.09562417483109249,0.0,2.5,1.0,0.0
holdout_sample_ii,B2,ridge,21252,0.026210738447920327,-0.06941343638317217,1.25,0.8620365142104273,0.0
holdout_sample_ii,B2,gradient_boosted_trees,21252,0.021687122713996556,-0.07393705211709593,1.25,0.8620365142104273,0.0
holdout_sample_ii,B2,mlp,21252,0.028356071748151815,-0.06726810308294068,1.25,0.8620365142104273,0.0
holdout_sample_ii,B2,shuffled_template_ridge,21252,0.07729619773580682,-0.018327977095285667,1.25,0.8620365142104273,0.0
holdout_sample_ii,B2,cnn_early_1d,21252,0.02135948605145625,-0.07426468877963625,1.25,0.8620365142104273,0.0
holdout_sample_ii,B2,support_gated_mixture,21252,0.03336270729215147,-0.06226146753894102,1.25,0.8620365142104273,0.0
holdout_sample_ii,B4,empirical,16222,0.0875769378883902,0.0,1.25,1.0,0.0
holdout_sample_ii,B4,ridge,16222,0.04963578903030409,-0.03794114885808612,1.25,0.9034027863395389,0.11989890272469486
holdout_sample_ii,B4,gradient_boosted_trees,16222,0.047205929050388624,-0.04037100883800158,1.25,0.9034027863395389,0.08167920108494636
holdout_sample_ii,B4,mlp,16222,0.047848068858022785,-0.03972886903036741,1.25,0.9034027863395389,0.5339662187153249
holdout_sample_ii,B4,shuffled_template_ridge,16222,0.09412479509173943,0.006547857203349227,1.25,0.9034027863395389,0.7246332141536186
holdout_sample_ii,B4,cnn_early_1d,16222,0.03356584225870876,-0.05401109562968144,1.25,0.9034027863395389,0.005732955245962274
holdout_sample_ii,B4,support_gated_mixture,16222,0.051171186075250334,-0.03640575181313987,1.25,0.9034027863395389,0.08167920108494636
holdout_sample_ii,B6,empirical,11148,0.0721351395192412,0.0,1.25,1.0,0.0
holdout_sample_ii,B6,ridge,11148,0.04439172212436361,-0.027743417394877606,1.25,0.7726049515608181,0.1900789379260854
holdout_sample_ii,B6,gradient_boosted_trees,11148,0.04382055848970898,-0.028314581029532233,1.25,0.7726049515608181,0.19797273053462505
holdout_sample_ii,B6,mlp,11148,0.04386282159232894,-0.028272317926912278,1.25,0.7726049515608181,0.501345532831001
holdout_sample_ii,B6,shuffled_template_ridge,11148,0.08477741582214303,0.012642276302901812,1.25,0.7726049515608181,0.6438823107283818
holdout_sample_ii,B6,cnn_early_1d,11148,0.028069539472580878,-0.04406560004666034,1.25,0.7726049515608181,0.003588087549336204
holdout_sample_ii,B6,support_gated_mixture,11148,0.06690572679161164,-0.005229412727629584,1.25,0.7726049515608181,0.19797273053462505
holdout_sample_ii,B8,empirical,4506,0.08244736850974513,0.0,1.25,1.0,0.0
holdout_sample_ii,B8,ridge,4506,0.04869364784184498,-0.03375372066790014,1.25,0.47070572569906793,0.1085219707057257
holdout_sample_ii,B8,gradient_boosted_trees,4506,0.04595495869235681,-0.03649240981738832,1.25,0.47070572569906793,0.09276520195295163
holdout_sample_ii,B8,mlp,4506,0.046726924244167446,-0.035720444265577675,1.25,0.47070572569906793,0.3479804704837994
holdout_sample_ii,B8,shuffled_template_ridge,4506,0.08694440490364941,0.004497036393904285,2.5,0.47070572569906793,0.4056813138038171
holdout_sample_ii,B8,cnn_early_1d,4506,0.03272424600422469,-0.04972312250552043,1.25,0.47070572569906793,0.02463382157123835
holdout_sample_ii,B8,support_gated_mixture,4506,0.07916648929272686,-0.003280879217018252,1.25,0.47070572569906793,0.09276520195295163
