method,n,bias,res68,mae,res68_ci95,bias_ci95,mae_ci95
mlp,167683,-0.010931015014648438,0.36996081619262694,0.6121326945860022,"[0.3194833109974863, 0.4540676560616499]","[-0.019207456707954408, -0.00020842477679253537]","[0.5221370829940412, 0.7032995891407097]"
gradient_boosted_trees,167683,0.016442622243608707,0.4027491523297435,0.45499658782858654,"[0.3683445696482977, 0.4357922094266886]","[-0.01261902965843883, 0.044550136350526987]","[0.40308534726306244, 0.511396937515081]"
traditional_cfd_timewalk_template,167683,-0.033096943714937765,0.5485379703006269,0.9996159508105473,"[0.4825756817222639, 0.6385077271397555]","[-0.10251013086777397, 0.0]","[0.8550926263234851, 1.1246097832928237]"
gated_residual_cnn,167683,-0.02950751781463623,0.9853989431381226,1.3508893349443678,"[0.8583285830283167, 1.2248848998248578]","[-0.13188612991571433, 0.07093397057056403]","[1.1708683440528835, 1.5361522001260906]"
waveform_transformer,167683,0.04658469676971411,1.1214621379852294,1.4312441794624244,"[0.9707129472208026, 1.4301586535260238]","[-0.09262487453222287, 0.15986843544244747]","[1.2459281565328195, 1.6453440166576419]"
ridge,167683,0.33023725836853046,1.1546012049631464,1.3666647951203865,"[1.060687704529943, 1.2900278873917537]","[0.1542959363469577, 0.4864764858476832]","[1.2093214880642715, 1.5283936173219947]"
1d_cnn,167683,0.011200995445251216,1.184188652299205,1.5145151032882331,"[0.9976422053027155, 1.591990833334206]","[-0.14311612512813576, 0.1343411739915609]","[1.3106098284914791, 1.7625172588837323]"
analytic_saturation_timewalk,167683,-0.11044620788968773,1.598876823815881,2.399324320569288,"[1.232270340389334, 2.1889789397212485]","[-0.3913344435372634, 0.12176314261899791]","[1.9732692816330657, 2.818294959593873]"
tail_shape_timing,167683,-0.20812692105572328,1.9378631511831703,2.492806749338776,"[1.6667645415188734, 2.477450713090319]","[-0.763618474437406, 0.3295675042828166]","[2.135504279337203, 2.90366947892214]"
