stratum,method,n,bias,res68,mae,res68_ci95,bias_ci95,mae_ci95
all_heldout,mlp,167683,-0.010931015014648438,0.36996081619262694,0.6121326945860022,"[0.31832678861379626, 0.4532410472631454]","[-0.018767568185925544, -0.0004276875406503829]","[0.5224822839469928, 0.6974729068796263]"
all_heldout,traditional_cfd_timewalk_template,167683,-0.033096943714937765,0.5485379703006269,0.9996159508105473,"[0.4931709239649182, 0.6312413514419937]","[-0.09594108710435584, 0.0]","[0.88186084932906, 1.113279770759145]"
all_heldout,gradient_boosted_trees,167683,0.016442622243608707,0.4027491523297435,0.45499658782858654,"[0.36322961072492177, 0.4364701972986418]","[-0.011836451603580322, 0.0421606570584605]","[0.3910540792285207, 0.5098674144059974]"
all_heldout,1d_cnn,167683,0.011200995445251216,1.184188652299205,1.5145151032882331,"[0.9932825086164474, 1.526279346644878]","[-0.1195623443126679, 0.12270467328280199]","[1.3057659077689048, 1.7402223530379135]"
all_heldout,waveform_transformer,167683,0.04658469676971411,1.1214621379852294,1.4312441794624244,"[0.9532763907313347, 1.437726739522438]","[-0.08723110648989689, 0.16722106319665897]","[1.2293512883597248, 1.6436148765446157]"
all_heldout,gated_residual_cnn,167683,-0.02950751781463623,0.9853989431381226,1.3508893349443678,"[0.8461468880176547, 1.2656975984573362]","[-0.13325224226713187, 0.05741386997699719]","[1.1674909582424218, 1.5547200756702557]"
shape_atom_edge,mlp,74183,0.009290158748626709,0.38687593400478365,0.6538023084572366,"[0.3230885938388109, 0.4991146588568956]","[-0.0033669829368591308, 0.02816865891218185]","[0.558773300494809, 0.7382627551685889]"
shape_atom_edge,traditional_cfd_timewalk_template,74183,-0.15617583006002977,0.5484363266480784,0.9909994477613854,"[0.42593928032203454, 0.7274046735333819]","[-0.21968747899287655, -0.09190123058386113]","[0.8323239454446411, 1.1237166035165118]"
shape_atom_edge,gradient_boosted_trees,74183,-0.016256416446143618,0.4805762831854154,0.5906750190002845,"[0.42803394187658395, 0.5574781571489033]","[-0.04432626662580781, 0.00904835595587795]","[0.5141344346747874, 0.6586180490356495]"
shape_atom_edge,1d_cnn,74183,-0.3249669671058655,1.4730178356170653,1.6187105537739575,"[1.1759527717232705, 1.917848354072571]","[-0.4068560227751732, -0.20079723524706058]","[1.3546515511802024, 1.8550939152210855]"
