method,base_method,drift_order,n,pred_mean_ns,target_mean_ns
s02e_binned_timewalk_drift0,s02b_template,0,33,-8.43617769684481,-7.491100103940438
s02e_binned_timewalk_drift0,s02b_template,0,33,-4.176047858190444,-3.740515606911011
s02e_binned_timewalk_drift0,s02b_template,0,33,1.3900518687179655,1.4972759371548385
s02e_binned_timewalk_drift0,s02b_template,0,33,2.543196507619,2.5748002276401616
s02e_binned_timewalk_drift0,s02b_template,0,33,3.413023007062166,3.1908744369925235
s02e_binned_timewalk_drift0,s02b_template,0,33,4.61121000214867,3.9686651090639247
s02e_binned_timewalk_drift1,s02b_template,1,33,-10.923399251163605,-7.491100103940438
s02e_binned_timewalk_drift1,s02b_template,1,33,-6.601687150654492,-3.740515606911011
s02e_binned_timewalk_drift1,s02b_template,1,33,2.199371034973838,1.5679915255875991
s02e_binned_timewalk_drift1,s02b_template,1,33,3.5197735805459964,2.390027806046343
s02e_binned_timewalk_drift1,s02b_template,1,33,4.5633291755167065,3.256092912228595
s02e_binned_timewalk_drift1,s02b_template,1,33,5.877980540208384,4.017503466988912
s02e_binned_timewalk_drift2,s02b_template,2,33,-1058.0891708436318,-7.491100103940438
s02e_binned_timewalk_drift2,s02b_template,2,33,-1053.7718076888013,-3.740515606911011
s02e_binned_timewalk_drift2,s02b_template,2,33,506.5322922407977,2.597587730077511
s02e_binned_timewalk_drift2,s02b_template,2,33,508.24201364343014,4.077591633288028
s02e_binned_timewalk_drift2,s02b_template,2,33,541.639295925784,1.5675946883700034
s02e_binned_timewalk_drift2,s02b_template,2,33,543.5126627761019,2.988841659115905
s02e_global_timewalk_drift0,template_phase,0,33,-4.373546846564455,-4.586338363323943
s02e_global_timewalk_drift0,template_phase,0,33,-3.6118038529893672,-4.260580787566357
s02e_global_timewalk_drift0,template_phase,0,33,1.4488566838811252,1.9346373122062523
s02e_global_timewalk_drift0,template_phase,0,33,2.232630276481243,2.2913997075695915
s02e_global_timewalk_drift0,template_phase,0,33,2.5729216920203775,2.495213371141221
s02e_global_timewalk_drift0,template_phase,0,33,2.918480539224521,2.12566875997323
s02e_global_timewalk_drift1,template_phase,1,33,-7.590410900347623,-4.586338363323943
s02e_global_timewalk_drift1,template_phase,1,33,-6.807319496570484,-4.260580787566357
s02e_global_timewalk_drift1,template_phase,1,33,2.794675892734741,1.9168825679402925
s02e_global_timewalk_drift1,template_phase,1,33,3.7358699645104596,2.253286989923225
s02e_global_timewalk_drift1,template_phase,1,33,4.464940154907209,2.4471555965722303
s02e_global_timewalk_drift1,template_phase,1,33,4.699470483682142,2.229593996454547
s02e_global_timewalk_drift2,template_phase,2,33,-639.1482713284911,1.9168825679402925
s02e_global_timewalk_drift2,template_phase,2,33,-638.0933243209885,2.0456704467281677
s02e_global_timewalk_drift2,template_phase,2,33,-386.76816348384466,2.5558194317472815
s02e_global_timewalk_drift2,template_phase,2,33,-386.49735707597574,2.3285467044745527
s02e_global_timewalk_drift2,template_phase,2,33,1021.5567030412395,-4.586338363323943
s02e_global_timewalk_drift2,template_phase,2,33,1022.3236506361864,-4.260580787566357
