quantity,reproduced_sigma68_ns,reference_sigma68_ns,delta_ns,pass
S02 global-template traditional template_phase,2.889152765080617,2.889152765080617,0.0,True
S02 ML ridge,1.8461136615528861,1.8461136615528786,7.549516567451064e-15,True
S02b binned-template timewalk,3.403701345862392,3.4037013456536833,2.0870860595323393e-10,True
S02b global-template timewalk,1.6354173420044433,1.635417339803972,2.200471360680467e-09,True
