stave,bin,n_train_pulses,amp_low_adc,amp_high_adc,seed_cfd20_median_samples,seed_iqr_samples,aligned_cfd20_sigma68_samples
B4,0,939,,1942.625,3.800443458980044,3.370105389079603,0.06850612164387349
B4,1,938,1942.625,2373.0,5.008714403580268,2.1187278073899396,0.004915507627466979
B4,2,935,2373.0,2711.5,5.0620408163265305,1.350088684368981,0.012371789911285304
B4,3,942,2711.5,,4.957420306763202,1.3194280737246906,0.022693262269567773
B6,0,939,,2050.875,5.334426229508197,3.5685280397551815,0.05575862642472829
B6,1,937,2050.875,2471.5,5.368599717114568,2.45316720379628,0.0593658779847938
B6,2,937,2471.5,2823.5,5.426491405460061,1.786730814920408,0.0685273804405922
B6,3,941,2823.5,,5.344501718213058,1.6363588275391958,0.06741279366540773
B8,0,937,,2808.5,5.2684713375796175,3.4574169858254034,0.04477006923591677
B8,1,939,2808.5,3347.0,5.391354945968413,2.1653118267729554,0.07232241650111658
B8,2,938,3347.0,4111.5,5.384511500348961,1.601005122991693,0.08258642700948743
B8,3,940,4111.5,,5.21341262628233,1.742496725747697,0.0644094146416003
