feature,coefficient,method,base_method,drift_order,train_pulses,heldout_pulses
intercept,0.0,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
B4_intercept,-87.88820498077908,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
B4_log_amp,159.84133435441868,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
B4_log_amp2,-83.79529669827325,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
B4_inv_amp,-4.263450789737855,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
B4_peak_sample,0.4609579692925436,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
B4_area_over_amp,3.246257316254131,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
B4_template_sse,0.792042629794743,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
B6_intercept,42.76682206290986,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
B6_log_amp,-68.66941668468428,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
B6_log_amp2,21.022220334136545,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
B6_inv_amp,-1.787742268140399,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
B6_peak_sample,-0.7495857132097893,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
B6_area_over_amp,-0.7315536114238853,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
B6_template_sse,0.28179206388699823,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
B8_intercept,45.12138463577629,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
B8_log_amp,-64.83124767580578,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
B8_log_amp2,15.845874940398703,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
B8_inv_amp,-2.921930431406828,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
B8_peak_sample,-0.6779812656717389,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
B8_area_over_amp,-1.4403037825859277,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
B8_template_sse,0.20908632303577485,s02e_binned_timewalk_drift0,s02b_template,0,11262,198
intercept,0.0,s02e_binned_timewalk_drift1,s02b_template,1,11262,198
B4_intercept,-88.00845845683817,s02e_binned_timewalk_drift1,s02b_template,1,11262,198
B4_log_amp,159.74182619384422,s02e_binned_timewalk_drift1,s02b_template,1,11262,198
B4_log_amp2,-83.19198435690461,s02e_binned_timewalk_drift1,s02b_template,1,11262,198
B4_inv_amp,-4.217561785382025,s02e_binned_timewalk_drift1,s02b_template,1,11262,198
B4_peak_sample,0.4574038093239342,s02e_binned_timewalk_drift1,s02b_template,1,11262,198
B4_area_over_amp,3.1215605568787645,s02e_binned_timewalk_drift1,s02b_template,1,11262,198
B4_template_sse,0.7594295982533297,s02e_binned_timewalk_drift1,s02b_template,1,11262,198
