run,raw_events,events_ge2_downstream,events_0_downstream,events_1_downstream,events_2_downstream,events_3_downstream,B4_B6,B4_B8,B6_B8
44,4294,31,4178,85,24,7,27,8,10
45,48181,306,47034,841,212,94,291,97,106
46,1441,1,1431,9,0,1,1,1,1
47,10970,26,10845,99,17,9,24,10,10
48,31713,190,31005,518,132,58,182,60,64
49,32354,210,31584,560,154,56,203,58,61
50,44804,215,43950,639,155,60,208,62,65
51,20569,106,20169,294,72,34,101,36,37
52,10005,51,9819,135,29,22,49,22,24
53,39612,189,38885,538,130,59,180,61,66
54,37413,181,36697,535,131,50,175,52,54
55,24416,129,23937,350,85,44,127,44,46
56,51823,276,50773,774,184,92,268,94,98
57,31284,219,30508,557,155,64,212,66,69
