heldout_run,check,value,unit
44,train_heldout_run_overlap,0.0,runs
44,train_heldout_event_id_overlap,0.0,events
44,fit_targets_include_event_residuals,0.0,bool
44,features_include_run_event_or_other_stave_time,0.0,bool
44,n_single_stave_features,36.0,features
45,train_heldout_run_overlap,0.0,runs
45,train_heldout_event_id_overlap,0.0,events
45,fit_targets_include_event_residuals,0.0,bool
45,features_include_run_event_or_other_stave_time,0.0,bool
45,n_single_stave_features,36.0,features
46,train_heldout_run_overlap,0.0,runs
46,train_heldout_event_id_overlap,0.0,events
46,fit_targets_include_event_residuals,0.0,bool
46,features_include_run_event_or_other_stave_time,0.0,bool
46,n_single_stave_features,36.0,features
47,train_heldout_run_overlap,0.0,runs
47,train_heldout_event_id_overlap,0.0,events
47,fit_targets_include_event_residuals,0.0,bool
47,features_include_run_event_or_other_stave_time,0.0,bool
47,n_single_stave_features,36.0,features
48,train_heldout_run_overlap,0.0,runs
48,train_heldout_event_id_overlap,0.0,events
48,fit_targets_include_event_residuals,0.0,bool
48,features_include_run_event_or_other_stave_time,0.0,bool
48,n_single_stave_features,36.0,features
49,train_heldout_run_overlap,0.0,runs
49,train_heldout_event_id_overlap,0.0,events
49,fit_targets_include_event_residuals,0.0,bool
49,features_include_run_event_or_other_stave_time,0.0,bool
49,n_single_stave_features,36.0,features
50,train_heldout_run_overlap,0.0,runs
50,train_heldout_event_id_overlap,0.0,events
50,fit_targets_include_event_residuals,0.0,bool
50,features_include_run_event_or_other_stave_time,0.0,bool
50,n_single_stave_features,36.0,features
51,train_heldout_run_overlap,0.0,runs
51,train_heldout_event_id_overlap,0.0,events
51,fit_targets_include_event_residuals,0.0,bool
51,features_include_run_event_or_other_stave_time,0.0,bool
51,n_single_stave_features,36.0,features
52,train_heldout_run_overlap,0.0,runs
52,train_heldout_event_id_overlap,0.0,events
52,fit_targets_include_event_residuals,0.0,bool
52,features_include_run_event_or_other_stave_time,0.0,bool
52,n_single_stave_features,36.0,features
53,train_heldout_run_overlap,0.0,runs
53,train_heldout_event_id_overlap,0.0,events
53,fit_targets_include_event_residuals,0.0,bool
53,features_include_run_event_or_other_stave_time,0.0,bool
53,n_single_stave_features,36.0,features
54,train_heldout_run_overlap,0.0,runs
54,train_heldout_event_id_overlap,0.0,events
54,fit_targets_include_event_residuals,0.0,bool
54,features_include_run_event_or_other_stave_time,0.0,bool
54,n_single_stave_features,36.0,features
55,train_heldout_run_overlap,0.0,runs
55,train_heldout_event_id_overlap,0.0,events
55,fit_targets_include_event_residuals,0.0,bool
55,features_include_run_event_or_other_stave_time,0.0,bool
55,n_single_stave_features,36.0,features
56,train_heldout_run_overlap,0.0,runs
56,train_heldout_event_id_overlap,0.0,events
56,fit_targets_include_event_residuals,0.0,bool
56,features_include_run_event_or_other_stave_time,0.0,bool
56,n_single_stave_features,36.0,features
57,train_heldout_run_overlap,0.0,runs
57,train_heldout_event_id_overlap,0.0,events
57,fit_targets_include_event_residuals,0.0,bool
57,features_include_run_event_or_other_stave_time,0.0,bool
57,n_single_stave_features,36.0,features
