heldout_run,stave,traditional_model,increasing,n_train
44,B4,isotonic,True,2041
44,B6,isotonic,True,2079
44,B8,isotonic,True,721
45,B4,isotonic,True,1775
45,B6,isotonic,False,1806
45,B8,isotonic,True,623
46,B4,isotonic,True,2068
46,B6,isotonic,True,2108
46,B8,isotonic,True,731
47,B4,isotonic,True,2044
47,B6,isotonic,True,2084
47,B8,isotonic,True,721
48,B4,isotonic,True,1885
48,B6,isotonic,True,1921
48,B8,isotonic,True,666
49,B4,isotonic,True,1864
49,B6,isotonic,True,1901
49,B8,isotonic,True,669
50,B4,isotonic,True,1859
50,B6,isotonic,True,1896
50,B8,isotonic,True,665
51,B4,isotonic,True,1966
51,B6,isotonic,False,2005
51,B8,isotonic,True,693
52,B4,isotonic,True,2020
52,B6,isotonic,False,2058
52,B8,isotonic,True,708
53,B4,isotonic,True,1887
53,B6,isotonic,False,1922
53,B8,isotonic,True,664
54,B4,isotonic,True,1892
54,B6,isotonic,False,1930
54,B8,isotonic,True,676
55,B4,isotonic,True,1942
55,B6,isotonic,True,1980
55,B8,isotonic,True,686
56,B4,isotonic,True,1799
56,B6,isotonic,True,1835
56,B8,isotonic,True,632
57,B4,isotonic,True,1855
57,B6,isotonic,True,1892
57,B8,isotonic,True,661
