method,metric,bootstrap_unit,value,ci_low,ci_high,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,report_value,delta_ns,pass
cfd20_base,pooled_leave_one_run_out_pairwise_sigma68_ns,heldout_run,3.1502666141199165,3.0246200862795556,3.272949602890979,11460,-2.8019233458297848,3.1502666141199165,6.204310730057545,0.05794066317626527,311.69816920836234,17.565462106753824,3.1502666141199165,0.0,True
ml_single_stave_proxy,pooled_leave_one_run_out_pairwise_sigma68_ns,heldout_run,2.8290554427248673,2.6870854392111987,2.9632253010205285,11460,-3.2891042878844665,2.8290554427248673,3.1813618039894007,0.06762652705061083,1.0506107544988437,70.00149813371883,2.8290554427248673,0.0,True
traditional_template_phase,pooled_leave_one_run_out_pairwise_sigma68_ns,heldout_run,2.7414145300852155,2.68944645179862,2.992319268962799,11460,-3.7226235857461702,2.7414145300852155,3.308372978304417,0.08132635253054102,1.4378711374428605,145.19549907160268,2.7414145300852155,0.0,True
