run,group,events_total,selected_pulses,downstream_ge2_events,clean_events,violating_events,ambiguous_events
31,sample_i_calib,39990,27871,166,59,52,55
32,sample_i_calib,41921,28240,154,66,46,42
33,sample_i_calib,57173,48737,194,34,105,55
34,sample_i_calib,39765,34118,153,36,79,38
35,sample_i_calib,27786,11667,123,56,21,46
36,sample_i_calib,21764,10391,116,53,27,36
37,sample_i_calib,50513,24537,313,133,91,89
39,sample_i_calib,30321,14218,212,89,48,75
40,sample_i_calib,32613,14708,231,99,49,83
41,sample_i_calib,33997,16146,223,95,44,84
42,sample_i_calib,33972,18112,231,80,66,85
44,sample_i_analysis,4294,2038,31,12,9,10
45,sample_i_analysis,48181,24333,306,125,87,94
46,sample_i_analysis,1441,687,1,0,0,1
47,sample_i_analysis,10970,5276,26,10,7,9
48,sample_i_analysis,31713,14000,190,86,35,69
49,sample_i_analysis,32354,14815,210,98,39,73
50,sample_i_analysis,44804,35217,215,56,102,57
51,sample_i_analysis,20569,14740,106,38,42,26
52,sample_i_analysis,10005,7152,51,15,23,13
53,sample_i_analysis,39612,32200,189,50,90,49
54,sample_i_analysis,37413,30440,181,47,84,50
55,sample_i_analysis,24416,17387,129,37,52,40
56,sample_i_analysis,51823,40148,276,89,118,69
57,sample_i_analysis,31284,13833,219,106,45,68
58,sample_ii_analysis,34141,16781,207,92,42,73
59,sample_ii_analysis,42303,21377,2227,1099,260,868
60,sample_ii_analysis,36074,17029,2084,1184,81,819
61,sample_ii_analysis,36535,18965,2379,1573,100,706
62,sample_ii_analysis,37584,19089,2219,1168,155,896
63,sample_ii_analysis,37030,18817,1076,455,175,446
64,sample_ii_calib,35943,14630,650,313,101,236
65,sample_ii_analysis,38424,13038,266,130,39,97
