method,current_stratum,saturation_bin,amp_bin_label,peak_phase_bin,q_proxy_bin,n,n_runs,q_delta,tail_delta,live10_delta_ns,timing_delta_ns,secondary_error_delta,action_label,reason
cnn_tail_knockout_no_tail_phase_model,high_20nA,boundary,a4700_6800,late,q_low,247,12,-0.010156171669790368,-0.014905991076160764,-9.838056680161943,0.38677840391745594,-0.025135681278327396,accept,reconstruction_and_controls_pass
cnn_tail_knockout_no_tail_phase_model,high_20nA,boundary,a4700_6800,nominal,q_low,84,12,-0.0030393743110137157,-0.004731075629399761,-10.0,0.16164021886626753,0.0031376587464766407,accept,reconstruction_and_controls_pass
cnn_tail_knockout_no_tail_phase_model,high_20nA,boundary,a6800_10000,nominal,q_low,85,12,-0.0067918808834311435,-0.010047340178496985,-10.0,0.2773612487612018,-0.003306260117435583,accept,reconstruction_and_controls_pass
cnn_tail_knockout_no_tail_phase_model,high_20nA,saturated_proxy,a6800_10000,late,q_mid,224,12,-0.006079177235426637,-0.009331365093822925,-10.0,0.35883916568486157,0.0033950735696038634,accept,reconstruction_and_controls_pass
cnn_tail_knockout_no_tail_phase_model,high_20nA,saturated_proxy,a6800_10000,nominal,q_mid,88,12,-0.015193582871644941,-0.02190756898639709,-10.0,-0.00710329020043858,-0.022062317633419325,accept,reconstruction_and_controls_pass
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a4700_6800,late,q_low,140,12,-0.005298150639840157,-0.008108485140898205,-7.214285714285714,0.41112065433689804,-0.016687225375502355,accept,reconstruction_and_controls_pass
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a4700_6800,late,q_mid,305,12,-0.007599856807424906,-0.011700292641566017,-7.442622950819672,0.44525312738333944,-0.015399732834514604,accept,reconstruction_and_controls_pass
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a4700_6800,nominal,q_low,45,12,-0.0024723661296507846,-0.0036669002949363642,-10.0,0.3046567181750197,-0.007726724362453772,accept,reconstruction_and_controls_pass
cnn_tail_knockout_no_tail_phase_model,sample_ii,saturated_proxy,a6800_10000,late,q_high,54,7,-0.02778434604406357,-0.03997968737588207,-8.88888888888889,-0.4541353440984214,0.003943807159101336,accept,reconstruction_and_controls_pass
cnn_tail_knockout_no_tail_phase_model,sample_ii,unsaturated,a2200_3200,very_late,q_mid,394,7,-0.009878780668368874,-0.015317306738651783,-1.5736040609137056,0.26759235560187355,0.021417135583713925,accept,reconstruction_and_controls_pass
cnn_tail_knockout_no_tail_phase_model,sample_ii,unsaturated,a3200_4700,very_late,q_high,153,7,-0.007964005161999462,-0.011878236352509723,-0.9803921568627451,0.389269412746388,-0.024406186303434812,accept,reconstruction_and_controls_pass
cnn_tail_knockout_no_tail_phase_model,sample_ii,unsaturated,a4700_6800,late,q_mid,335,7,-0.004011125332423217,-0.006436415290242434,-5.462686567164179,0.47924140911666346,-0.0203892522885102,accept,reconstruction_and_controls_pass
cnn_tail_knockout_no_tail_phase_model,high_20nA,boundary,a4700_6800,late,q_high,4,2,-0.016010970289946778,-0.02072681629886993,5.0,0.31006532848994117,-0.0171530402923359,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,boundary,a4700_6800,late,q_mid,33,11,-0.009796557322352581,-0.014700565422834669,-10.0,0.40753295136284606,-0.013590931287029465,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,boundary,a4700_6800,nominal,q_high,5,4,0.012066649530521237,0.015102999772016823,10.0,0.43755679030464645,0.01440525550833166,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,boundary,a4700_6800,nominal,q_mid,15,10,0.006693784238350583,0.00869262392640623,6.0,0.231080167751894,0.027220159914296837,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,boundary,a4700_6800,very_late,q_high,9,7,-0.026818995752365755,-0.040873615583224006,-4.444444444444445,6.928958078611567,0.0003532141428471163,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,boundary,a4700_6800,very_late,q_low,8,5,-0.17182895834487932,-0.6734643764202556,0.0,1.9911264953701107,-0.00968084568192339,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,boundary,a6800_10000,early,q_high,1,1,0.007681362769182999,0.022950514004780695,10.0,0.12255134865481582,0.0718680277708548,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,boundary,a6800_10000,late,q_high,25,9,-0.024732911485959512,-0.034918427180438055,-6.8,0.5974798337418379,-0.010069518286286234,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,boundary,a6800_10000,late,q_low,186,12,-0.008806549884438207,-0.012976864936351733,-9.408602150537634,0.5386609215031289,-0.006699656753436305,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_no_tail_phase_model,high_20nA,boundary,a6800_10000,late,q_mid,73,12,-0.0072561972884382705,-0.010704742450496725,-10.0,0.7465246604022313,0.0015342914753612145,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_no_tail_phase_model,high_20nA,boundary,a6800_10000,nominal,q_high,16,6,0.028253364623250347,0.039364397672239336,2.5,0.2050741381691698,0.062355702825400816,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,boundary,a6800_10000,nominal,q_mid,21,8,-0.0005359260550588047,-0.0016177063148300475,-3.3333333333333335,0.28936432986162436,0.005569856401490457,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,boundary,a6800_10000,very_late,q_high,2,2,0.12461320902494825,0.1813839994596713,-5.0,3.7872289344175245,0.0984669151348179,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,boundary,a6800_10000,very_late,q_low,18,8,-0.046788739421504494,-0.03062839357310503,-0.5555555555555556,1.819033311439368,0.021888403555398242,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,boundary,a6800_10000,very_late,q_mid,1,1,-0.004799683888753292,-0.02178878443581722,0.0,0.0570417998400829,0.022716479332394013,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,saturated_proxy,a10000_15000,early,q_high,1,1,0.03649887442588806,0.1084563365349402,10.0,0.7434374628971145,0.1209093544538431,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,saturated_proxy,a10000_15000,nominal,q_high,3,3,0.015092383412753799,-0.013776528752512363,-10.0,0.286073281724281,0.0635992322163939,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,saturated_proxy,a6800_10000,late,q_high,36,12,-0.03101508438684582,-0.04073817400433986,-9.444444444444445,0.12363510471305261,-0.005376721877493488,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,saturated_proxy,a6800_10000,late,q_low,7,4,-0.005758250586125042,-0.008301503480577385,-10.0,0.3886146490768689,0.008453400471659215,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,saturated_proxy,a6800_10000,nominal,q_high,24,8,0.06032621714414335,0.08460865485577436,-6.666666666666667,1.079216566566509,0.1420999408932619,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,saturated_proxy,a6800_10000,nominal,q_low,1,1,-0.0061988823992365,-0.0092355022206902,-10.0,0.0890523028686418,0.0035700553251661014,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,saturated_proxy,a6800_10000,very_late,q_high,4,4,0.10508887480725261,0.14887073184504657,-2.5,2.7203766004310923,0.11597120770960842,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,saturated_proxy,a6800_10000,very_late,q_mid,1,1,-0.011645052168104408,-0.06453976035118103,0.0,10.67297051053955,0.028930462683131486,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a1000_1500,late,q_high,248,12,-0.016220537053014978,-0.019971609968964545,7.701612903225806,1.0182831154011245,0.0016069749728825494,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a1000_1500,late,q_mid,2,2,0.0050019564805552,0.006046070209281051,5.0,0.631825768788552,0.008447536818194351,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a1000_1500,nominal,q_high,114,12,-0.022639115991924343,-0.028564277008675226,-2.280701754385965,1.2617396987812668,3.9141486626755964e-05,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a1000_1500,very_late,q_high,201,12,-0.0020107291900466236,-0.004229690492571337,5.82089552238806,0.9769402699792316,-0.0024257273738034863,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a1500_2200,early,q_high,134,12,-0.058930268647283575,-0.08474150306655331,-3.955223880597015,0.8406214150371515,-0.0020185931789443276,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a1500_2200,early,q_low,36,11,,,,,,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a1500_2200,late,q_high,302,12,-0.0033568518212931425,-0.00499101348396334,6.953642384105961,0.8377352639539887,0.006665423247587698,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a1500_2200,late,q_mid,2,2,0.00342740811174735,0.0046829198571769,0.0,0.7188962528371512,0.00920863195301855,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a1500_2200,nominal,q_high,135,12,-0.005870359325893064,-0.006318178532714574,-1.037037037037037,1.027852601061314,0.0046827794064725125,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a1500_2200,very_late,q_high,196,12,-0.01598450963409261,-0.02639473423093742,1.2755102040816326,0.767875605424164,-0.0035591390695246484,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a2200_3200,early,q_high,49,12,-0.05682814530854045,-0.07321687543317326,-5.918367346938775,0.6805169436098951,0.011568296978446843,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a2200_3200,early,q_low,10,9,,,,,,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a2200_3200,late,q_mid,41,12,0.008251494502842235,0.011673646767893921,-0.975609756097561,0.5749301189101633,0.027438725659084923,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a2200_3200,nominal,q_high,108,12,-0.009178963644543665,-0.013327505560716742,6.574074074074074,0.7096191882240913,-0.0004715212118372393,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a3200_4700,early,q_high,12,8,-0.005731320047440618,-0.005918865784620642,-0.8333333333333334,0.600333753440272,-0.012744075737745999,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a3200_4700,late,q_low,1,1,-0.0106811579316855,-0.014388462359255,-10.0,0.47505958243435403,-0.012529769754339299,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a3200_4700,nominal,q_mid,40,12,0.0032215025796390523,0.003851623980041885,-2.25,0.581518879101796,0.036972488627619135,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a3200_4700,very_late,q_low,223,12,-0.22807412896698756,-0.7157087766885052,22.19730941704036,2.8524304576002906,0.03792918517554884,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a3200_4700,very_late,q_mid,148,12,-0.007843783099842586,-0.02307775229977141,21.62162162162162,0.9334915366595748,0.0312571418705066,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a4700_6800,early,q_high,4,3,-0.0256928800372407,-0.033876211883930044,-7.5,0.35744320584141454,-0.034064370622336054,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a4700_6800,late,q_high,18,12,0.02840458742791305,0.04105466937533382,-7.777777777777778,0.4514871169628126,0.10356336268346744,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a4700_6800,nominal,q_high,23,10,0.011878600246403987,0.015387330668352331,5.217391304347826,0.344413809400603,0.02352678294533597,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a4700_6800,very_late,q_high,8,7,0.0029343254023962203,-0.02595542631667068,5.0,4.240828527244601,0.03604432200113726,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,high_20nA,unsaturated,a4700_6800,very_late,q_mid,28,8,-0.02016528257640826,-0.032359709812971274,8.571428571428571,0.3778585187001993,-0.005237717185409617,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,boundary,a4700_6800,late,q_low,21,2,0.0016099391726865555,-0.00041093250388358484,-6.666666666666667,1.2437155701876175,-0.007177654769822567,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,boundary,a4700_6800,late,q_mid,6,2,0.00047757129726649916,-0.00198476575315,-6.666666666666667,1.1321143187850706,-0.007252240610148783,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,boundary,a4700_6800,nominal,q_low,23,2,0.0042497464896315475,0.0021054116010233957,-10.0,1.4123754053127506,-0.0016023623604180131,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,boundary,a4700_6800,nominal,q_mid,4,2,0.006194729741443625,0.006341375237426325,0.0,1.684564065770201,0.0014707279239350498,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,boundary,a6800_10000,late,q_high,7,2,0.057726555887390604,0.07874746975444614,-10.0,1.5556084585973653,0.022529341684375214,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,boundary,a6800_10000,late,q_low,29,2,0.0045498879790114586,0.0030733493295650857,-2.413793103448276,1.3883154401089046,0.018005401113962313,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,boundary,a6800_10000,late,q_mid,8,2,-0.04700344768763684,-0.07081076347403172,-5.0,1.0940312139849766,-0.008698509584332534,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,boundary,a6800_10000,nominal,q_high,1,1,0.0626491176731446,0.0826401809851329,-10.0,0.4903626631611814,0.1432640199087133,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,boundary,a6800_10000,nominal,q_low,15,2,-0.0013308850281378867,-0.004065201783345814,-10.0,1.2772685559829644,0.014309779812442832,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,boundary,a6800_10000,nominal,q_mid,4,2,0.000759737785248175,-0.0023030343775947747,-10.0,1.6538730620219777,0.026810326918413275,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,boundary,a6800_10000,very_late,q_high,1,1,0.2698951468748205,0.37461779514948523,-10.0,-1.984395835838999,0.2258356317482285,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,saturated_proxy,a6800_10000,late,q_high,4,2,0.009390168878085442,0.007698059985131928,-10.0,0.3090807313027222,0.002333933702652849,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,saturated_proxy,a6800_10000,late,q_low,1,1,0.0088641029946944,0.0020587357381978994,-10.0,1.729546232482857,-0.018772870355967496,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,saturated_proxy,a6800_10000,late,q_mid,32,2,0.009251851707470934,0.007470056326190265,-8.75,0.9717267738848576,-0.0005030475643710341,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,saturated_proxy,a6800_10000,nominal,q_high,3,2,0.08497053329997202,0.11189447581354117,-6.666666666666667,0.828903497572635,0.1668456165558562,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,saturated_proxy,a6800_10000,nominal,q_mid,18,2,-0.0010555399934840226,-0.00844154444833595,-9.444444444444445,1.1736577682999199,-0.022601817047229737,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,unsaturated,a1000_1500,early,q_high,10,2,0.46217194635421055,0.5438203292397359,8.0,2.2269286396287846,0.0,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,unsaturated,a1000_1500,early,q_low,7,2,,,,,,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,unsaturated,a1000_1500,late,q_mid,1,1,0.0161337443860248,0.016722476956519197,10.0,3.1954067406051,-0.0071927893459476,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,unsaturated,a1000_1500,nominal,q_high,2,1,0.0023996899561846974,-0.0013464981546768492,5.0,3.373083097065095,0.015149801108072897,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,unsaturated,a1000_1500,very_late,q_high,16,2,0.010142738240613788,0.00610208047137625,12.5,3.7955481047210418,-0.0010495376813741998,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,unsaturated,a1000_1500,very_late,q_low,3,2,0.10587464173634842,-0.017907460530598995,23.333333333333332,-0.053662810854155175,0.0320069238967634,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,unsaturated,a1000_1500,very_late,q_mid,3,2,-0.013202211260795571,-0.04733779678742097,0.0,2.0637334975795487,-0.0236888612624023,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,unsaturated,a1500_2200,early,q_high,5,2,0.10100512653589251,0.08567491953189557,4.0,2.8232219204955165,0.005679740073972902,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,unsaturated,a1500_2200,early,q_low,2,1,,,,,,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,unsaturated,a1500_2200,nominal,q_high,3,1,0.012653783867683501,0.014540161889715103,6.666666666666667,2.8080672932285338,0.02824530611137717,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,unsaturated,a1500_2200,very_late,q_high,13,2,0.01840653092957114,0.01553707116615628,3.076923076923077,1.9243802214330594,0.012592541058480962,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,unsaturated,a1500_2200,very_late,q_low,7,1,-0.05690415561908767,-0.04691700424466814,1.4285714285714286,1.6460347490334388,-0.02468228849707276,diagnostic_only,low_support
cnn_tail_knockout_no_tail_phase_model,low_2nA,unsaturated,a1500_2200,very_late,q_mid,11,2,-0.01011697343825144,-0.03625818072733555,0.0,1.7345218810130254,-0.022454813396421268,diagnostic_only,low_support
