method,n_runs,n_rows,q_template_mse,q_template_mse_ci_low,q_template_mse_ci_high,tail_mse,tail_mse_ci_low,tail_mse_ci_high,live10_abs_error_ns,live10_abs_error_ns_ci_low,live10_abs_error_ns_ci_high,tau_eff_abs_error_ns,tau_eff_abs_error_ns_ci_low,tau_eff_abs_error_ns_ci_high,timing_abs_error_ns,timing_abs_error_ns_ci_low,timing_abs_error_ns_ci_high,secondary_abs_error,secondary_abs_error_ci_low,secondary_abs_error_ci_high,too_good_trigger_rate,too_good_trigger_rate_ci_low,too_good_trigger_rate_ci_high,timing_sigma68_ns,timing_sigma68_ns_ci_low,timing_sigma68_ns_ci_high
sentinel_amplitude_only_ridge,21,13351,0.08378456711821308,0.07304492956668816,0.09504634177502008,0.14507522889524432,0.12139366339814009,0.1694728057839389,24.713146652497286,22.19364584257078,27.3113881948308,10.732783221645391,9.63857792274354,11.861185186132628,0.6613845046922899,0.6054960656535853,0.715892713318109,0.05345554758139082,0.04944793459642571,0.05793781553873192,0.03935222888158646,0.033927252187471134,0.045536815730324594,0.5310722311646591,0.5023105850700857,0.5634081422296154
gradient_boosted_trees_no_tail_phase_model,21,13351,0.086917286137366,0.07329005889228836,0.09878558633876504,0.14981678174406282,0.12213591764703036,0.17518686533440708,25.712195223936305,23.003618253516223,28.057888987605047,11.166664503374681,9.990344471311014,12.185386361170888,0.6215369920313302,0.580423635397835,0.6580727288634327,0.05404670001814569,0.04986360569638559,0.05788519910039442,0.04415753540365082,0.03438809210705509,0.053323801115302945,0.3426290395629684,0.30377191621416594,0.38378765996314423
sentinel_shuffled_current_ridge,21,13351,0.08572959610792276,0.07460185753864602,0.0973574947475672,0.1510566969159398,0.1262713640738514,0.1775570722299039,24.565015822570455,22.111989039404165,27.185989055987704,10.66845081960842,9.603114823718416,11.806725032097656,0.626515695978178,0.5823337518863524,0.6737168405791241,0.05078044131843825,0.04663550622810428,0.05524351691287188,0.04790092481742603,0.03834186998345087,0.056667867612894614,0.5856462055303056,0.5498404840599608,0.6241003664512812
ridge_no_tail_phase_model,21,13351,0.08619794668842998,0.07478040888724506,0.09784526816221187,0.15164726223597047,0.1255239820155328,0.1758977460602558,24.59377139036326,22.212758909710367,27.062156850635027,10.68093920402483,9.646878622334505,11.752945388631073,0.6516529111057691,0.6089048206952535,0.6914248348790046,0.051168406997827036,0.0471928539873884,0.0550834336587926,0.04605320572831767,0.038528391010743186,0.05334593241766287,0.6253085028379124,0.5847918224780666,0.6623080239840663
phase_stability_gated_cnn_gbt_ensemble,21,13351,0.10260779867968918,0.08792303078654279,0.1174990153090386,0.17687948643814336,0.14748218704306099,0.2077356004537219,21.257497447688895,19.06615945420472,23.3198240193531,9.232013840603745,8.280327842048626,10.12767089055996,0.6161566133463554,0.5436849298695605,0.7161547177633218,0.04534470754566566,0.04165460166923638,0.0487160255240875,0.03886416476444731,0.02979684736441699,0.04795770637948542,0.4845532494896616,0.4280379604267911,0.5543456499632097
mlp_no_tail_phase_model,21,13351,0.10023872702895152,0.08228928410375756,0.11919548003031147,0.18020592523823822,0.14627815654881138,0.21472708563400117,24.63071863613496,22.32073347543266,27.012223299865642,10.696985188985002,9.693771380413594,11.731259523070097,1.1316478869790088,1.0096500538955495,1.2953487551926568,0.054639393592810406,0.05038908148644278,0.05910888854833566,0.07432347508643952,0.06353975054752889,0.0853388667873053,1.0953979278309947,0.9950345071097744,1.2121479936385482
traditional_empirical_template,21,13351,0.11074706894581578,0.09435696636474149,0.1255729486177519,0.19686671580297718,0.16204895364689217,0.22955112048529291,23.849647145975162,21.54336276279319,25.815879437157033,10.357770150836648,9.356163569521076,11.211693985036923,0.27777855993051664,0.24539233370914793,0.3094009586443134,0.04358327420689585,0.040121082810239454,0.04650541656444702,0.0,0.0,0.0,0.10077266461423642,0.09683241645907836,0.10478807822477339
cnn_tail_knockout_no_tail_phase_model,21,13351,0.1125113683012582,0.09428997826918248,0.12801962233744477,0.1979021090823981,0.1576787706559052,0.23123827976974354,24.729299543344183,22.221017825940663,26.966352920906477,10.739798333006982,9.650465424079822,11.711338270605319,1.1770438051188645,1.0185063497547417,1.3741707726332824,0.05560713662091278,0.05127912858805632,0.060197119584909184,0.06357727570034151,0.05268905131246572,0.07613427625585348,0.8167917442862214,0.7601748808475451,0.8952941971811471
sentinel_gbt_rising_edge_ablation,21,13351,0.13937454884761002,0.11822536133505539,0.15960196748239083,0.21931800734107953,0.1799774467240371,0.2565292108113112,26.241823200558812,23.853487708636685,28.346122561081188,11.396679011083425,10.359438086007955,12.310564611630829,0.6426496780103624,0.6123575065015587,0.6751193194538772,0.049827950506383445,0.04657810877392934,0.05285066012171682,0.05361328688901543,0.0461874409036235,0.06093258314352053,0.23947155496299377,0.22232149966649895,0.26033451010391695
sentinel_shuffled_live10_ridge,21,13351,0.13691562277698469,0.11804096001713656,0.15411807322118698,0.2316448493406074,0.19413731730589867,0.2673198061434803,23.986780542674243,21.724596513155344,26.20109875517429,10.417326428307708,9.434872387237988,11.378992609174356,1.312675678222084,1.2813755687198674,1.3416179071532999,0.04358327422393902,0.04028759836947845,0.046504699195665605,0.0008402164444821181,0.00027572475912505267,0.0015434978957917893,1.2008748510827243,1.160522121585904,1.2373786861490121
sentinel_ridge_rising_edge_ablation,21,13351,0.1457210036961415,0.1250227469679374,0.16390947489722146,0.23261963347480807,0.19483836091615916,0.26477286295594493,25.95785812769995,23.693031037032224,27.845427354953944,11.273354546887564,10.289752638945574,12.093115446494359,0.5995866127914938,0.5491612984771926,0.6476328442621605,0.051565544258772564,0.049125246162029006,0.05376482729099882,0.05034608702476489,0.03871112288645469,0.06447349694998969,0.3641670771299085,0.34170051094694165,0.3852325615093897
