method,action_label,n,total,support_fraction
cnn_tail_knockout_no_tail_phase_model,accept,2154,13351,0.16133622949591792
cnn_tail_knockout_no_tail_phase_model,diagnostic_only,5495,13351,0.41157965695453524
cnn_tail_knockout_no_tail_phase_model,veto,5702,13351,0.42708411354954684
gradient_boosted_trees_no_tail_phase_model,accept,2747,13351,0.2057523780990188
gradient_boosted_trees_no_tail_phase_model,diagnostic_only,5100,13351,0.3819938581379672
gradient_boosted_trees_no_tail_phase_model,veto,5504,13351,0.412253763763014
mlp_no_tail_phase_model,accept,1561,13351,0.11692008089281702
mlp_no_tail_phase_model,diagnostic_only,6089,13351,0.45607070631413377
mlp_no_tail_phase_model,veto,5701,13351,0.4270092127930492
phase_stability_gated_cnn_gbt_ensemble,accept,4522,13351,0.3387012208823309
phase_stability_gated_cnn_gbt_ensemble,diagnostic_only,2414,13351,0.18081042618530446
phase_stability_gated_cnn_gbt_ensemble,veto,6415,13351,0.48048835293236464
ridge_no_tail_phase_model,accept,2638,13351,0.19758819564077598
ridge_no_tail_phase_model,diagnostic_only,5473,13351,0.40993184031158714
ridge_no_tail_phase_model,veto,5240,13351,0.39247996404763685
sentinel_amplitude_only_ridge,accept,2707,13351,0.20275634783911317
sentinel_amplitude_only_ridge,diagnostic_only,5404,13351,0.4047636881132499
sentinel_amplitude_only_ridge,veto,5240,13351,0.39247996404763685
sentinel_gbt_peak_phase_swapped,accept,446,13351,0.03340573739794772
sentinel_gbt_peak_phase_swapped,diagnostic_only,1891,13351,0.14163733053703842
sentinel_gbt_peak_phase_swapped,veto,11014,13351,0.8249569320650139
sentinel_gbt_rising_edge_ablation,accept,3157,13351,0.23646168826305144
sentinel_gbt_rising_edge_ablation,diagnostic_only,3960,13351,0.29660699573065685
sentinel_gbt_rising_edge_ablation,veto,6234,13351,0.4669313160062917
sentinel_mlp_peak_phase_swapped,diagnostic_only,1382,13351,0.10351284547973935
sentinel_mlp_peak_phase_swapped,veto,11969,13351,0.8964871545202606
sentinel_mlp_rising_edge_ablation,accept,1305,13351,0.09774548722942102
sentinel_mlp_rising_edge_ablation,diagnostic_only,4895,13351,0.3666392030559509
sentinel_mlp_rising_edge_ablation,veto,7151,13351,0.5356153097146281
sentinel_ridge_peak_phase_swapped,accept,46,13351,0.003445434798891469
sentinel_ridge_peak_phase_swapped,diagnostic_only,1833,13351,0.13729308666017526
sentinel_ridge_peak_phase_swapped,veto,11472,13351,0.8592614785409333
sentinel_ridge_rising_edge_ablation,accept,2588,13351,0.19384315781589395
sentinel_ridge_rising_edge_ablation,diagnostic_only,4365,13351,0.3269418021122013
sentinel_ridge_rising_edge_ablation,veto,6398,13351,0.47921504007190474
sentinel_run_only_ridge,accept,2618,13351,0.19609018051082316
sentinel_run_only_ridge,diagnostic_only,3488,13351,0.2612538386637705
sentinel_run_only_ridge,veto,7245,13351,0.5426559808254063
sentinel_shuffled_current_ridge,accept,2752,13351,0.206126881881507
sentinel_shuffled_current_ridge,diagnostic_only,5494,13351,0.4115047561980376
sentinel_shuffled_current_ridge,veto,5105,13351,0.3823683619204554
sentinel_shuffled_live10_ridge,accept,426,13351,0.031907722267994904
sentinel_shuffled_live10_ridge,diagnostic_only,3062,13351,0.2293461163957756
sentinel_shuffled_live10_ridge,veto,9863,13351,0.7387461613362295
